time,DD_0_7_4,DD_2_7_4
1.000000000000,4.862080113,4.325024156
31.41666666667,4.873661330,4.388213315
61.83333333333,4.878966269,4.410959482
92.25000000000,4.882344613,4.426196633
122.6666666667,4.884738002,4.437246252
153.0833333333,4.886563554,4.445819108
183.5000000000,4.888022086,4.452704397
213.9166666667,4.887506444,4.449016717
244.3333333333,4.887749807,4.450579610
274.7500000000,4.888130864,4.452528843
305.1666666667,4.888530823,4.454507599
335.5833333333,4.888910089,4.456357257
366.0000000000,4.889219842,4.457844776
