, "id", "k", "i", "j", "f", "Active"
1, 1, 1, 1, 1, 8.9, 1
2, 2, 1, 1, 2, 8.7, 1
3, 3, 1, 1, 3, 8.4, 1
4, 4, 1, 1, 4, 8.0, 1
5, 5, 1, 1, 5, 7.6, 1
6, 6, 1, 1, 6, 7.2, 1
7, 7, 1, 1, 7, 6.6, 1
8, 8, 1, 1, 8, 6.1, 1
9, 9, 1, 1, 9, 5.5, 1
10, 10, 1, 1, 10, 5.0, 1
11, 11, 1, 1, 11, 4.6, 1
12, 12, 1, 1, 12, 4.5, 1
13, 13, 1, 1, 13, 4.5, 1
14, 14, 1, 1, 14, 4.7, 1
15, 15, 1, 1, 15, 5.0, 1
16, 16, 1, 1, 16, 5.3, 1
17, 17, 1, 1, 17, 5.5, 1
18, 18, 1, 1, 18, 5.6, 1
19, 19, 1, 1, 19, 5.6, 1
20, 20, 1, 1, 20, 5.5, 1
21, 21, 1, 2, 1, 9.2, 1
22, 22, 1, 2, 2, 9.0, 1
23, 23, 1, 2, 3, 8.7, 1
24, 24, 1, 2, 4, 8.3, 1
25, 25, 1, 2, 5, 7.9, 1
26, 26, 1, 2, 6, 7.4, 1
27, 27, 1, 2, 7, 6.8, 1
28, 28, 1, 2, 8, 6.2, 1
29, 29, 1, 2, 9, 5.5, 1
30, 30, 1, 2, 10, 4.7, 1
31, 31, 1, 2, 11, 4.2, 1
32, 32, 1, 2, 12, 4.1, 1
33, 33, 1, 2, 13, 4.2, 1
34, 34, 1, 2, 14, 4.6, 1
35, 35, 1, 2, 15, 5.0, 1
36, 36, 1, 2, 16, 5.3, 1
37, 37, 1, 2, 17, 5.6, 1
38, 38, 1, 2, 18, 5.7, 1
39, 39, 1, 2, 19, 5.6, 1
40, 40, 1, 2, 20, 5.5, 1
41, 41, 1, 3, 1, 9.6, 1
42, 42, 1, 3, 2, 9.4, 1
43, 43, 1, 3, 3, 9.1, 1
44, 44, 1, 3, 4, 8.7, 1
45, 45, 1, 3, 5, 8.2, 1
46, 46, 1, 3, 6, 7.7, 1
47, 47, 1, 3, 7, 7.1, 1
48, 48, 1, 3, 8, 6.4, 1
49, 49, 1, 3, 9, 5.5, 1
50, 50, 1, 3, 10, 4.6, 1
51, 51, 1, 3, 11, 3.7, 1
52, 52, 1, 3, 12, 3.6, 1
53, 53, 1, 3, 13, 4.0, 1
54, 54, 1, 3, 14, 4.4, 1
55, 55, 1, 3, 15, 4.9, 1
56, 56, 1, 3, 16, 5.4, 1
57, 57, 1, 3, 17, 5.8, 1
58, 58, 1, 3, 18, 5.8, 1
59, 59, 1, 3, 19, 5.6, 1
60, 60, 1, 3, 20, 5.5, 1
61, 61, 1, 4, 1, 10.0, 1
62, 62, 1, 4, 2, 9.8, 1
63, 63, 1, 4, 3, 9.5, 1
64, 64, 1, 4, 4, 9.1, 1
65, 65, 1, 4, 5, 8.6, 1
66, 66, 1, 4, 6, 8.1, 1
67, 67, 1, 4, 7, 7.4, 1
68, 68, 1, 4, 8, 6.7, 1
69, 69, 1, 4, 9, 5.9, 1
70, 70, 1, 4, 10, 4.8, 1
71, 71, 1, 4, 11, 3.0, 1
72, 72, 1, 4, 12, 3.5, 1
73, 73, 1, 4, 13, 3.9, 1
74, 74, 1, 4, 14, 4.3, 1
75, 75, 1, 4, 15, 4.8, 1
76, 76, 1, 4, 16, 5.4, 1
77, 77, 1, 4, 17, 6.0, 1
78, 78, 1, 4, 18, 5.7, 1
79, 79, 1, 4, 19, 5.5, 1
80, 80, 1, 4, 20, 5.3, 1
81, 81, 1, 5, 1, 10.5, 1
82, 82, 1, 5, 2, 10.3, 1
83, 83, 1, 5, 3, 10.0, 1
84, 84, 1, 5, 4, 9.6, 1
85, 85, 1, 5, 5, 9.1, 1
86, 86, 1, 5, 6, 8.5, 1
87, 87, 1, 5, 7, 7.8, 1
88, 88, 1, 5, 8, 7.1, 1
89, 89, 1, 5, 9, 6.5, 1
90, 90, 1, 5, 10, 6.0, 1
91, 91, 1, 5, 11, 4.4, 1
92, 92, 1, 5, 12, 3.9, 1
93, 93, 1, 5, 13, 4.0, 1
94, 94, 1, 5, 14, 4.2, 1
95, 95, 1, 5, 15, 4.6, 1
96, 96, 1, 5, 16, 5.0, 1
97, 97, 1, 5, 17, 5.4, 1
98, 98, 1, 5, 18, 5.4, 1
99, 99, 1, 5, 19, 5.2, 1
100, 100, 1, 5, 20, 5.1, 1
101, 101, 1, 6, 1, 11.0, 1
102, 102, 1, 6, 2, 10.8, 1
103, 103, 1, 6, 3, 10.5, 1
104, 104, 1, 6, 4, 10.1, 1
105, 105, 1, 6, 5, 9.5, 1
106, 106, 1, 6, 6, 8.9, 1
107, 107, 1, 6, 7, 8.2, 1
108, 108, 1, 6, 8, 7.4, 1
109, 109, 1, 6, 9, 6.8, 1
110, 110, 1, 6, 10, 6.0, 1
111, 111, 1, 6, 11, 5.0, 1
112, 112, 1, 6, 12, 4.3, 1
113, 113, 1, 6, 13, 4.1, 1
114, 114, 1, 6, 14, 4.1, 1
115, 115, 1, 6, 15, 4.3, 1
116, 116, 1, 6, 16, 4.5, 1
117, 117, 1, 6, 17, 4.8, 1
118, 118, 1, 6, 18, 4.8, 1
119, 119, 1, 6, 19, 4.8, 1
120, 120, 1, 6, 20, 4.8, 1
121, 121, 1, 7, 1, 11.5, 1
122, 122, 1, 7, 2, 11.4, 1
123, 123, 1, 7, 3, 11.1, 1
124, 124, 1, 7, 4, 10.6, 1
125, 125, 1, 7, 5, 10.0, 1
126, 126, 1, 7, 6, 9.2, 1
127, 127, 1, 7, 7, 8.4, 1
128, 128, 1, 7, 8, 7.6, 1
129, 129, 1, 7, 9, 6.8, 1
130, 130, 1, 7, 10, 6.0, 1
131, 131, 1, 7, 11, 5.2, 1
132, 132, 1, 7, 12, 4.5, 1
133, 133, 1, 7, 13, 4.1, 1
134, 134, 1, 7, 14, 3.9, 1
135, 135, 1, 7, 15, 3.9, 1
136, 136, 1, 7, 16, 4.0, 1
137, 137, 1, 7, 17, 4.2, 1
138, 138, 1, 7, 18, 4.3, 1
139, 139, 1, 7, 19, 4.4, 1
140, 140, 1, 7, 20, 4.5, 1
141, 141, 1, 8, 1, 12.1, 1
142, 142, 1, 8, 2, 12.0, 1
143, 143, 1, 8, 3, 11.8, 1
144, 144, 1, 8, 4, 11.2, 1
145, 145, 1, 8, 5, 10.5, 1
146, 146, 1, 8, 6, 9.6, 1
147, 147, 1, 8, 7, 8.7, 1
148, 148, 1, 8, 8, 7.7, 1
149, 149, 1, 8, 9, 6.8, 1
150, 150, 1, 8, 10, 5.9, 1
151, 151, 1, 8, 11, 5.1, 1
152, 152, 1, 8, 12, 4.4, 1
153, 153, 1, 8, 13, 4.0, 1
154, 154, 1, 8, 14, 3.7, 1
155, 155, 1, 8, 15, 3.5, 1
156, 156, 1, 8, 16, 3.5, 1
157, 157, 1, 8, 17, 3.7, 1
158, 158, 1, 8, 18, 3.9, 1
159, 159, 1, 8, 19, 4.0, 1
160, 160, 1, 8, 20, 4.1, 1
161, 161, 1, 9, 1, 12.6, 1
162, 162, 1, 9, 2, 12.7, 1
163, 163, 1, 9, 3, 12.4, 1
164, 164, 1, 9, 4, 11.8, 1
165, 165, 1, 9, 5, 10.9, 1
166, 166, 1, 9, 6, 9.9, 1
167, 167, 1, 9, 7, 8.8, 1
168, 168, 1, 9, 8, 7.7, 1
169, 169, 1, 9, 9, 6.7, 1
170, 170, 1, 9, 10, 5.8, 1
171, 171, 1, 9, 11, 5.0, 1
172, 172, 1, 9, 12, 4.3, 1
173, 173, 1, 9, 13, 3.7, 1
174, 174, 1, 9, 14, 3.4, 1
175, 175, 1, 9, 15, 3.2, 1
176, 176, 1, 9, 16, 3.0, 1
177, 177, 1, 9, 17, 3.3, 1
178, 178, 1, 9, 18, 3.5, 1
179, 179, 1, 9, 19, 3.7, 1
180, 180, 1, 9, 20, 3.8, 1
181, 181, 1, 10, 1, 13.0, 1
182, 182, 1, 10, 2, 13.3, 1
183, 183, 1, 10, 3, 13.2, 1
184, 184, 1, 10, 4, 12.4, 1
185, 185, 1, 10, 5, 11.2, 1
186, 186, 1, 10, 6, 10.0, 1
187, 187, 1, 10, 7, 8.8, 1
188, 188, 1, 10, 8, 7.7, 1
189, 189, 1, 10, 9, 6.6, 1
190, 190, 1, 10, 10, 5.6, 1
191, 191, 1, 10, 11, 4.7, 1
192, 192, 1, 10, 12, 4.0, 1
193, 193, 1, 10, 13, 3.4, 1
194, 194, 1, 10, 14, 3.1, 1
195, 195, 1, 10, 15, 2.9, 1
196, 196, 1, 10, 16, 2.9, 1
