, "id", "k", "i", "j", "f", "Active"
201, 201, 1, 11, 1, 13.1, 1
202, 202, 1, 11, 2, 13.5, 1
203, 203, 1, 11, 3, 14.0, 1
204, 204, 1, 11, 4, 12.6, 1
205, 205, 1, 11, 5, 11.2, 1
206, 206, 1, 11, 6, 9.9, 1
207, 207, 1, 11, 7, 8.7, 1
208, 208, 1, 11, 8, 7.5, 1
209, 209, 1, 11, 9, 6.3, 1
210, 210, 1, 11, 10, 5.3, 1
211, 211, 1, 11, 11, 4.4, 1
212, 212, 1, 11, 12, 3.6, 1
213, 213, 1, 11, 13, 3.0, 1
214, 214, 1, 11, 14, 2.8, 1
215, 215, 1, 11, 15, 2.7, 1
216, 216, 1, 11, 16, 2.7, 1
217, 217, 1, 11, 17, 2.8, 1
218, 218, 1, 11, 18, 3.0, 1
219, 219, 1, 11, 19, 3.2, 1
220, 220, 1, 11, 20, 3.4, 1
221, 221, 1, 12, 1, 12.8, 1
222, 222, 1, 12, 2, 13.1, 1
223, 223, 1, 12, 3, 13.0, 1
224, 224, 1, 12, 4, 12.1, 1
225, 225, 1, 12, 5, 10.9, 1
226, 226, 1, 12, 6, 9.6, 1
227, 227, 1, 12, 7, 8.4, 1
228, 228, 1, 12, 8, 7.1, 1
229, 229, 1, 12, 9, 6.0, 1
230, 230, 1, 12, 10, 4.9, 1
231, 231, 1, 12, 11, 4.0, 1
232, 232, 1, 12, 12, 3.2, 1
233, 233, 1, 12, 13, 2.7, 1
234, 234, 1, 12, 14, 2.5, 1
235, 235, 1, 12, 15, 2.5, 1
236, 236, 1, 12, 16, 2.5, 1
237, 237, 1, 12, 17, 2.7, 1
238, 238, 1, 12, 18, 2.9, 1
239, 239, 1, 12, 19, 3.1, 1
240, 240, 1, 12, 20, 3.2, 1
241, 241, 1, 13, 1, 12.3, 1
242, 242, 1, 13, 2, 12.3, 1
243, 243, 1, 13, 3, 12.1, 1
244, 244, 1, 13, 4, 11.4, 1
245, 245, 1, 13, 5, 10.3, 1
246, 246, 1, 13, 6, 9.2, 1
247, 247, 1, 13, 7, 8.0, 1
248, 248, 1, 13, 8, 6.8, 1
249, 249, 1, 13, 9, 5.6, 1
