time,CUNIT1,CUNIT2,CUNIT3,AQUITARD6,AQUITARD7,AQUITARD8,NODELAY4,NODELAY5,NODELAY9,NODELAY10,DELAY11,DELAY12,DELAY13,ES14,TC02,SKC02,TC03,SKC03,TC04,SKC04,TC05,SKC05,TC07,SKC07,TC08,SKC08,TC09,SKC09,TC10,SKC10,TC12,SKC12,TC14,SKC14
30.43750000000,0.1097441565E-04,0.4822321575E-06,-0.2854809167E-05,0.4266223051E-06,0.2826631837E-06,0.4363132906E-06,0.4407036777E-06,0.9450167380E-07,0.2251805685E-04,0.1341061210E-06,0.8211390062E-06,0.1441064240E-04,0.1112714040E-05,327.0168581,0.1097441565E-04,0.000000000,0.4822321575E-06,0.000000000,-0.2854809167E-05,0.000000000,0.2031592769E-05,0.7697500849E-06,0.3401969215E-05,0.3307467541E-05,0.4266223051E-06,0.000000000,0.2826631837E-06,0.000000000,0.4363132906E-06,0.000000000,0.4939367435E-03,0.4570080443E-03,0.7788859762E-05,0.6542039601E-05
60.87500000000,0.1570479137E-04,0.2002731536E-05,-0.3334773564E-05,0.1351326744E-05,0.1064931547E-05,0.1390249377E-05,0.1194603123E-05,0.2617936761E-06,0.2759391597E-04,0.3819059016E-06,0.2249965014E-05,0.1817668314E-04,0.3201467812E-05,327.0668557,0.1570479137E-04,0.000000000,0.2002731536E-05,0.000000000,-0.3334773564E-05,0.000000000,0.5531108145E-05,0.2086540008E-05,0.9424320128E-05,0.9162526452E-05,0.1351326744E-05,0.000000000,0.1064931547E-05,0.000000000,0.1390249377E-05,0.000000000,0.6057941296E-03,0.5600235305E-03,0.2221373270E-04,0.1863035898E-04
91.31250000000,0.1798798710E-04,0.3759103572E-05,-0.2679821878E-05,0.2488463898E-05,0.2287440928E-05,0.2575134089E-05,0.1949534187E-05,0.4295689775E-06,0.3012931831E-04,0.6335319922E-06,0.3698713027E-05,0.1993835831E-04,0.5350843489E-05,327.1176254,0.1798798710E-04,0.000000000,0.3759103572E-05,0.000000000,-0.2679821878E-05,0.000000000,0.9053379012E-05,0.3405131798E-05,0.1546406935E-04,0.1503450037E-04,0.2488463898E-05,0.000000000,0.2287440928E-05,0.000000000,0.2575134089E-05,0.000000000,0.6615476599E-03,0.6114799833E-03,0.3688971159E-04,0.3090533611E-04
121.7500000000,0.1930126595E-04,0.5514062320E-05,-0.1497227480E-05,0.3731970406E-05,0.3843847291E-05,0.3879328956E-05,0.2704659646E-05,0.5973737306E-06,0.3229181423E-04,0.8853023324E-06,0.5148517113E-05,0.2138659649E-04,0.7503371201E-05,327.1684241,0.1930126595E-04,0.000000000,0.5514062320E-05,0.000000000,-0.1497227480E-05,0.000000000,0.1257723988E-04,0.4724063124E-05,0.2150487880E-04,0.2090750507E-04,0.3731970406E-05,0.000000000,0.3843847291E-05,0.000000000,0.3879328956E-05,0.000000000,0.7090466429E-03,0.6553682321E-03,0.5157602366E-04,0.4318735012E-04
152.1875000000,0.2022367785E-04,0.7212481239E-05,-0.7640993118E-07,0.5036981720E-05,0.5640402715E-05,0.5253166196E-05,0.3459869195E-05,0.7651940357E-06,0.3439945000E-04,0.1137078595E-05,0.6598513366E-05,0.2278790425E-04,0.9656052876E-05,327.2192241,0.2022367785E-04,0.000000000,0.7212481239E-05,0.000000000,-0.7640993118E-07,0.000000000,0.1610152389E-04,0.6043141324E-05,0.2754624810E-04,0.2678105407E-04,0.5036981720E-05,0.000000000,0.5640402715E-05,0.000000000,0.5253166196E-05,0.000000000,0.7553304386E-03,0.6981430844E-03,0.6626278452E-04,0.5546965305E-04
182.6250000000,0.2098451054E-04,0.8852844952E-05,0.1447838347E-05,0.6380967880E-05,0.7605992605E-05,0.6671069012E-05,0.4215115140E-05,0.9330241776E-06,0.3649900980E-04,0.1388855115E-05,0.8048583308E-05,0.2418226850E-04,0.1180874187E-04,327.2700241,0.2098451054E-04,0.000000000,0.8852844952E-05,0.000000000,0.1447838347E-05,0.000000000,0.1962598154E-04,0.7362283097E-05,0.3358797152E-04,0.3265494735E-04,0.6380967880E-05,0.000000000,0.7605992605E-05,0.000000000,0.6671069012E-05,0.000000000,0.8014353118E-03,0.7407540335E-03,0.8094956549E-04,0.6775196851E-04
213.0625000000,0.2167589099E-04,0.1044614391E-04,0.3014222789E-05,0.7750869219E-05,0.9689464523E-05,0.8118146924E-05,0.4970375913E-05,0.1100860857E-05,0.3859738053E-04,0.1640631646E-05,0.9498683079E-05,0.2557560892E-04,0.1396143121E-04,327.3208241,0.2167589099E-04,0.000000000,0.1044614391E-04,0.000000000,0.3014222789E-05,0.000000000,0.2315050976E-04,0.8681450768E-05,0.3962993029E-04,0.3852906944E-04,0.7750869219E-05,0.000000000,0.9689464523E-05,0.000000000,0.8118146924E-05,0.000000000,0.8475138394E-03,0.7833408500E-03,0.9563634738E-04,0.8003428453E-04
243.5000000000,0.2233565422E-04,0.1200390011E-04,0.4595697799E-05,0.9138397038E-05,0.1185481188E-04,0.9584994120E-05,0.5725642000E-05,0.1268701982E-05,0.4069557617E-04,0.1892408177E-05,0.1094879364E-04,0.2696879852E-04,0.1611412056E-04,327.3716241,0.2233565422E-04,0.000000000,0.1200390011E-04,0.000000000,0.4595697799E-05,0.000000000,0.2667506336E-04,0.1000062772E-04,0.4567204911E-04,0.4440334713E-04,0.9138397038E-05,0.000000000,0.1185481188E-04,0.000000000,0.9584994120E-05,0.000000000,0.8935884877E-03,0.8259241130E-03,0.1103231293E-03,0.9231660058E-04
273.9375000000,0.2297986431E-04,0.1353540955E-04,0.6180863737E-05,0.1053803533E-04,0.1407692357E-04,0.1106538918E-04,0.6480909391E-05,0.1436546162E-05,0.4279374602E-04,0.2144184709E-05,0.1239890695E-04,0.2836196591E-04,0.1826680991E-04,327.4224241,0.2297986431E-04,0.000000000,0.1353540955E-04,0.000000000,0.6180863737E-05,0.000000000,0.3019962330E-04,0.1131980695E-04,0.5171427787E-04,0.5027773171E-04,0.1053803533E-04,0.000000000,0.1407692357E-04,0.000000000,0.1106538918E-04,0.000000000,0.9396625648E-03,0.8685068528E-03,0.1250099112E-03,0.1045989166E-03
304.3750000000,0.2361568833E-04,0.1504762708E-04,0.7765300631E-05,0.1194603072E-04,0.1633835833E-04,0.1255511859E-04,0.7236176529E-05,0.1604392449E-05,0.4489191208E-04,0.2395961241E-05,0.1384901988E-04,0.2975513004E-04,0.2041949927E-04,327.4732241,0.2361568833E-04,0.000000000,0.1504762708E-04,0.000000000,0.7765300631E-05,0.000000000,0.3372418215E-04,0.1263898574E-04,0.5775658250E-04,0.5615219006E-04,0.1194603072E-04,0.000000000,0.1633835833E-04,0.000000000,0.1255511859E-04,0.000000000,0.9857365577E-03,0.9110895156E-03,0.1396966932E-03,0.1168812327E-03
