time,STAGE,INFLOW,RAINFALL,RUNOFF,LAK,WITHDRAWAL,EVAPORATION,STORAGE,VOLUME,SURFACE-AREA,WETTED-AREA,CONDUCTANCE
1.000000000000,302.0437785,0.000000000,2048.465617,0.000000000,1542.101582,0.000000000,-480.8723056,0.000000000,4853208.372,763500.0000,540000.0000,13694.60149
32.00000000000,301.9897271,0.000000000,494.2061613,0.000000000,1595.149389,0.000000000,-196.7053063,1331.233223,4811940.142,763500.0000,540000.0000,13694.60149
61.00000000000,301.9406694,0.000000000,668.7206897,0.000000000,1596.412844,0.000000000,-311.9523555,1291.571175,4774484.578,763500.0000,540000.0000,13694.60149
92.00000000000,301.9193464,0.000000000,1851.709161,0.000000000,1443.878743,0.000000000,-873.1646632,525.1654191,4758204.450,763500.0000,540000.0000,13694.60149
122.0000000000,301.9214627,0.000000000,2333.612300,0.000000000,1164.648774,0.000000000,-1055.726856,-53.86016597,4759820.255,763500.0000,540000.0000,13694.60149
153.0000000000,301.9772658,0.000000000,4385.297710,0.000000000,768.2161394,0.000000000,-2204.319550,-1374.377051,4802425.944,763500.0000,540000.0000,13694.60149
183.0000000000,301.8683932,0.000000000,1131.252500,0.000000000,753.2968920,0.000000000,-3070.006963,2770.808042,4719301.703,763500.0000,540000.0000,13694.60149
214.0000000000,301.7024879,0.000000000,287.7656129,0.000000000,412.3718627,0.000000000,-3820.913943,4086.085631,4592633.048,763500.0000,540000.0000,13694.60149
245.0000000000,301.6448689,0.000000000,1770.384097,0.000000000,530.7012151,0.000000000,-2496.501291,1419.101654,4548640.897,763500.0000,540000.0000,13694.60149
275.0000000000,301.5857197,0.000000000,659.3586000,0.000000000,568.2128652,0.000000000,-1412.150205,1505.346625,4503480.498,763500.0000,540000.0000,13694.60149
306.0000000000,301.6561743,0.000000000,3484.466226,0.000000000,904.9704266,0.000000000,-685.9654397,-1735.228169,4557272.571,763500.0000,540000.0000,13694.60149
336.0000000000,301.6294854,0.000000000,866.2162000,0.000000000,1027.651470,0.000000000,-349.7190749,679.2312289,4536895.634,763500.0000,540000.0000,13694.60149
367.0000000000,301.6156104,0.000000000,1238.643290,0.000000000,1194.249628,0.000000000,-213.0057804,341.7291276,4526302.032,763500.0000,540000.0000,13694.60149
