,0
127,"[(0, 60, 3), 769.849, 0.0]"
128,"[(0, 0, 4), 789.173, 0.0]"
129,"[(0, 60, 4), 769.985, 0.0]"
130,"[(0, 0, 5), 789.241, 0.0]"
131,"[(0, 60, 5), 770.053, 0.0]"
132,"[(0, 0, 6), 789.276, 0.0]"
133,"[(0, 60, 6), 770.088, 0.0]"
134,"[(0, 0, 7), 789.298, 0.0]"
135,"[(0, 60, 7), 770.11, 0.0]"
136,"[(0, 0, 8), 789.321, 0.0]"
137,"[(0, 60, 8), 770.133, 0.0]"
138,"[(0, 0, 9), 789.344, 0.0]"
139,"[(0, 60, 9), 770.156, 0.0]"
140,"[(0, 0, 10), 789.367, 0.0]"
141,"[(0, 60, 10), 770.179, 0.0]"
142,"[(0, 0, 11), 789.389, 0.0]"
143,"[(0, 60, 11), 770.201, 0.0]"
144,"[(0, 0, 12), 789.412, 0.0]"
145,"[(0, 60, 12), 770.224, 0.0]"
146,"[(0, 0, 13), 789.435, 0.0]"
147,"[(0, 60, 13), 770.247, 0.0]"
148,"[(0, 0, 14), 789.458, 0.0]"
149,"[(0, 60, 14), 770.269, 0.0]"
150,"[(0, 0, 15), 789.48, 0.0]"
151,"[(0, 60, 15), 770.292, 0.0]"
152,"[(0, 0, 16), 789.503, 0.0]"
153,"[(0, 60, 16), 770.315, 0.0]"
154,"[(0, 0, 17), 789.526, 0.0]"
155,"[(0, 60, 17), 770.338, 0.0]"
156,"[(0, 0, 18), 789.549, 0.0]"
157,"[(0, 60, 18), 770.36, 0.0]"
158,"[(0, 0, 19), 789.571, 0.0]"
159,"[(0, 60, 19), 770.383, 0.0]"
160,"[(0, 0, 20), 789.594, 0.0]"
161,"[(0, 60, 20), 770.406, 0.0]"
162,"[(0, 0, 21), 789.617, 0.0]"
163,"[(0, 60, 21), 770.429, 0.0]"
164,"[(0, 0, 22), 789.64, 0.0]"
165,"[(0, 60, 22), 770.451, 0.0]"
166,"[(0, 0, 23), 789.662, 0.0]"
167,"[(0, 60, 23), 770.474, 0.0]"
168,"[(0, 0, 24), 789.685, 0.0]"
169,"[(0, 60, 24), 770.497, 0.0]"
170,"[(0, 0, 25), 789.708, 0.0]"
171,"[(0, 60, 25), 770.52, 0.0]"
172,"[(0, 0, 26), 789.731, 0.0]"
173,"[(0, 60, 26), 770.542, 0.0]"
174,"[(0, 0, 27), 789.753, 0.0]"
175,"[(0, 60, 27), 770.565, 0.0]"
176,"[(0, 0, 28), 789.776, 0.0]"
177,"[(0, 60, 28), 770.588, 0.0]"
178,"[(0, 0, 29), 789.799, 0.0]"
179,"[(0, 60, 29), 770.611, 0.0]"
180,"[(0, 0, 30), 789.821, 0.0]"
181,"[(0, 60, 30), 770.633, 0.0]"
182,"[(0, 0, 31), 789.844, 0.0]"
183,"[(0, 60, 31), 770.656, 0.0]"
184,"[(0, 0, 32), 789.867, 0.0]"
185,"[(0, 60, 32), 770.679, 0.0]"
186,"[(0, 0, 33), 789.89, 0.0]"
187,"[(0, 60, 33), 770.702, 0.0]"
188,"[(0, 0, 34), 789.924, 0.0]"
189,"[(0, 60, 34), 770.736, 0.0]"
190,"[(0, 0, 35), 789.992, 0.0]"
191,"[(0, 60, 35), 770.804, 0.0]"
192,"[(0, 0, 36), 790.129, 0.0]"
193,"[(0, 60, 36), 770.941, 0.0]"
194,"[(0, 0, 37), 790.402, 0.0]"
195,"[(0, 60, 37), 771.214, 0.0]"
196,"[(0, 0, 38), 790.948, 0.0]"
197,"[(0, 60, 38), 771.76, 0.0]"
198,"[(1, 0, 0), 787.399, 0.0]"
199,"[(1, 0, 39), 791.767, 0.0]"
200,"[(1, 1, 0), 785.319, 0.0]"
201,"[(1, 1, 39), 789.687, 0.0]"
202,"[(1, 2, 0), 783.239, 0.0]"
203,"[(1, 2, 39), 787.607, 0.0]"
204,"[(1, 3, 0), 781.367, 0.0]"
205,"[(1, 3, 39), 785.735, 0.0]"
206,"[(1, 4, 0), 780.119, 0.0]"
207,"[(1, 4, 39), 784.487, 0.0]"
208,"[(1, 5, 0), 779.495, 0.0]"
209,"[(1, 5, 39), 783.863, 0.0]"
210,"[(1, 6, 0), 779.183, 0.0]"
211,"[(1, 6, 39), 783.551, 0.0]"
212,"[(1, 7, 0), 779.027, 0.0]"
213,"[(1, 7, 39), 783.395, 0.0]"
214,"[(1, 8, 0), 778.949, 0.0]"
215,"[(1, 8, 39), 783.317, 0.0]"
216,"[(1, 9, 0), 778.897, 0.0]"
217,"[(1, 9, 39), 783.265, 0.0]"
218,"[(1, 10, 0), 778.845, 0.0]"
219,"[(1, 10, 39), 783.213, 0.0]"
220,"[(1, 11, 0), 778.793, 0.0]"
221,"[(1, 11, 39), 783.161, 0.0]"
222,"[(1, 12, 0), 778.741, 0.0]"
223,"[(1, 12, 39), 783.109, 0.0]"
224,"[(1, 13, 0), 778.689, 0.0]"
225,"[(1, 13, 39), 783.057, 0.0]"
226,"[(1, 14, 0), 778.637, 0.0]"
227,"[(1, 14, 39), 783.005, 0.0]"
228,"[(1, 15, 0), 778.585, 0.0]"
229,"[(1, 15, 39), 782.953, 0.0]"
230,"[(1, 16, 0), 778.533, 0.0]"
231,"[(1, 16, 39), 782.901, 0.0]"
232,"[(1, 17, 0), 778.481, 0.0]"
233,"[(1, 17, 39), 782.849, 0.0]"
234,"[(1, 18, 0), 778.429, 0.0]"
235,"[(1, 18, 39), 782.797, 0.0]"
236,"[(1, 19, 0), 778.377, 0.0]"
237,"[(1, 19, 39), 782.745, 0.0]"
238,"[(1, 20, 0), 778.325, 0.0]"
239,"[(1, 20, 39), 782.693, 0.0]"
240,"[(1, 21, 0), 778.273, 0.0]"
241,"[(1, 21, 39), 782.641, 0.0]"
242,"[(1, 22, 0), 778.221, 0.0]"
243,"[(1, 22, 39), 782.589, 0.0]"
244,"[(1, 23, 0), 778.169, 0.0]"
245,"[(1, 23, 39), 782.537, 0.0]"
246,"[(1, 24, 0), 778.117, 0.0]"
247,"[(1, 24, 39), 782.485, 0.0]"
248,"[(1, 25, 0), 778.065, 0.0]"
249,"[(1, 25, 39), 782.433, 0.0]"
250,"[(1, 26, 0), 778.013, 0.0]"
251,"[(1, 26, 39), 782.381, 0.0]"
252,"[(1, 27, 0), 777.961, 0.0]"
253,"[(1, 27, 39), 782.329, 0.0]"
254,"[(1, 28, 0), 777.909, 0.0]"
255,"[(1, 28, 39), 782.277, 0.0]"
256,"[(1, 29, 0), 777.857, 0.0]"
257,"[(1, 29, 39), 782.225, 0.0]"
258,"[(1, 30, 0), 777.805, 0.0]"
259,"[(1, 30, 39), 782.173, 0.0]"
260,"[(1, 31, 0), 777.753, 0.0]"
261,"[(1, 31, 39), 782.121, 0.0]"
262,"[(1, 32, 0), 777.701, 0.0]"
263,"[(1, 32, 39), 782.069, 0.0]"
264,"[(1, 33, 0), 777.649, 0.0]"
265,"[(1, 33, 39), 782.017, 0.0]"
266,"[(1, 34, 0), 777.597, 0.0]"
267,"[(1, 34, 39), 781.965, 0.0]"
268,"[(1, 35, 0), 777.545, 0.0]"
269,"[(1, 35, 39), 781.913, 0.0]"
270,"[(1, 36, 0), 777.493, 0.0]"
271,"[(1, 36, 39), 781.861, 0.0]"
272,"[(1, 37, 0), 777.441, 0.0]"
273,"[(1, 37, 39), 781.809, 0.0]"
274,"[(1, 38, 0), 777.389, 0.0]"
275,"[(1, 38, 39), 781.757, 0.0]"
276,"[(1, 39, 0), 777.337, 0.0]"
277,"[(1, 39, 39), 781.705, 0.0]"
278,"[(1, 40, 0), 777.285, 0.0]"
279,"[(1, 40, 39), 781.653, 0.0]"
280,"[(1, 41, 0), 777.233, 0.0]"
281,"[(1, 41, 39), 781.601, 0.0]"
282,"[(1, 42, 0), 777.181, 0.0]"
283,"[(1, 42, 39), 781.549, 0.0]"
284,"[(1, 43, 0), 777.129, 0.0]"
285,"[(1, 43, 39), 781.497, 0.0]"
286,"[(1, 44, 0), 777.077, 0.0]"
287,"[(1, 44, 39), 781.445, 0.0]"
288,"[(1, 45, 0), 777.025, 0.0]"
289,"[(1, 45, 39), 781.393, 0.0]"
290,"[(1, 46, 0), 776.973, 0.0]"
291,"[(1, 46, 39), 781.341, 0.0]"
292,"[(1, 47, 0), 776.921, 0.0]"
293,"[(1, 47, 39), 781.289, 0.0]"
294,"[(1, 48, 0), 776.869, 0.0]"
295,"[(1, 48, 39), 781.237, 0.0]"
296,"[(1, 49, 0), 776.817, 0.0]"
297,"[(1, 49, 39), 781.185, 0.0]"
298,"[(1, 50, 0), 776.765, 0.0]"
299,"[(1, 50, 39), 781.133, 0.0]"
300,"[(1, 51, 0), 776.713, 0.0]"
301,"[(1, 51, 39), 781.081, 0.0]"
302,"[(1, 52, 0), 776.661, 0.0]"
303,"[(1, 52, 39), 781.029, 0.0]"
304,"[(1, 53, 0), 776.583, 0.0]"
305,"[(1, 53, 39), 780.951, 0.0]"
306,"[(1, 54, 0), 776.427, 0.0]"
307,"[(1, 54, 39), 780.795, 0.0]"
308,"[(1, 55, 0), 776.115, 0.0]"
309,"[(1, 55, 39), 780.483, 0.0]"
310,"[(1, 56, 0), 775.491, 0.0]"
311,"[(1, 56, 39), 779.859, 0.0]"
312,"[(1, 57, 0), 774.243, 0.0]"
313,"[(1, 57, 39), 778.611, 0.0]"
314,"[(1, 58, 0), 772.371, 0.0]"
315,"[(1, 58, 39), 776.739, 0.0]"
316,"[(1, 59, 0), 770.291, 0.0]"
317,"[(1, 59, 39), 774.659, 0.0]"
318,"[(1, 60, 0), 768.211, 0.0]"
319,"[(1, 60, 39), 772.579, 0.0]"
320,"[(1, 0, 1), 788.218, 0.0]"
321,"[(1, 60, 1), 769.03, 0.0]"
322,"[(1, 0, 2), 788.764, 0.0]"
323,"[(1, 60, 2), 769.576, 0.0]"
324,"[(1, 0, 3), 789.037, 0.0]"
325,"[(1, 60, 3), 769.849, 0.0]"
326,"[(1, 0, 4), 789.173, 0.0]"
327,"[(1, 60, 4), 769.985, 0.0]"
328,"[(1, 0, 5), 789.241, 0.0]"
329,"[(1, 60, 5), 770.053, 0.0]"
330,"[(1, 0, 6), 789.276, 0.0]"
331,"[(1, 60, 6), 770.088, 0.0]"
332,"[(1, 0, 7), 789.298, 0.0]"
333,"[(1, 60, 7), 770.11, 0.0]"
334,"[(1, 0, 8), 789.321, 0.0]"
335,"[(1, 60, 8), 770.133, 0.0]"
336,"[(1, 0, 9), 789.344, 0.0]"
337,"[(1, 60, 9), 770.156, 0.0]"
338,"[(1, 0, 10), 789.367, 0.0]"
339,"[(1, 60, 10), 770.179, 0.0]"
340,"[(1, 0, 11), 789.389, 0.0]"
341,"[(1, 60, 11), 770.201, 0.0]"
342,"[(1, 0, 12), 789.412, 0.0]"
343,"[(1, 60, 12), 770.224, 0.0]"
344,"[(1, 0, 13), 789.435, 0.0]"
345,"[(1, 60, 13), 770.247, 0.0]"
346,"[(1, 0, 14), 789.458, 0.0]"
347,"[(1, 60, 14), 770.269, 0.0]"
348,"[(1, 0, 15), 789.48, 0.0]"
349,"[(1, 60, 15), 770.292, 0.0]"
350,"[(1, 0, 16), 789.503, 0.0]"
351,"[(1, 60, 16), 770.315, 0.0]"
352,"[(1, 0, 17), 789.526, 0.0]"
353,"[(1, 60, 17), 770.338, 0.0]"
354,"[(1, 0, 18), 789.549, 0.0]"
355,"[(1, 60, 18), 770.36, 0.0]"
356,"[(1, 0, 19), 789.571, 0.0]"
357,"[(1, 60, 19), 770.383, 0.0]"
358,"[(1, 0, 20), 789.594, 0.0]"
359,"[(1, 60, 20), 770.406, 0.0]"
360,"[(1, 0, 21), 789.617, 0.0]"
361,"[(1, 60, 21), 770.429, 0.0]"
362,"[(1, 0, 22), 789.64, 0.0]"
363,"[(1, 60, 22), 770.451, 0.0]"
364,"[(1, 0, 23), 789.662, 0.0]"
365,"[(1, 60, 23), 770.474, 0.0]"
366,"[(1, 0, 24), 789.685, 0.0]"
367,"[(1, 60, 24), 770.497, 0.0]"
368,"[(1, 0, 25), 789.708, 0.0]"
369,"[(1, 60, 25), 770.52, 0.0]"
370,"[(1, 0, 26), 789.731, 0.0]"
371,"[(1, 60, 26), 770.542, 0.0]"
372,"[(1, 0, 27), 789.753, 0.0]"
373,"[(1, 60, 27), 770.565, 0.0]"
374,"[(1, 0, 28), 789.776, 0.0]"
375,"[(1, 60, 28), 770.588, 0.0]"
376,"[(1, 0, 29), 789.799, 0.0]"
377,"[(1, 60, 29), 770.611, 0.0]"
378,"[(1, 0, 30), 789.821, 0.0]"
379,"[(1, 60, 30), 770.633, 0.0]"
380,"[(1, 0, 31), 789.844, 0.0]"
381,"[(1, 60, 31), 770.656, 0.0]"
382,"[(1, 0, 32), 789.867, 0.0]"
383,"[(1, 60, 32), 770.679, 0.0]"
384,"[(1, 0, 33), 789.89, 0.0]"
385,"[(1, 60, 33), 770.702, 0.0]"
386,"[(1, 0, 34), 789.924, 0.0]"
387,"[(1, 60, 34), 770.736, 0.0]"
388,"[(1, 0, 35), 789.992, 0.0]"
389,"[(1, 60, 35), 770.804, 0.0]"
390,"[(1, 0, 36), 790.129, 0.0]"
391,"[(1, 60, 36), 770.941, 0.0]"
392,"[(1, 0, 37), 790.402, 0.0]"
393,"[(1, 60, 37), 771.214, 0.0]"
394,"[(1, 0, 38), 790.948, 0.0]"
395,"[(1, 60, 38), 771.76, 0.0]"
396,"[(2, 0, 0), 787.399, 0.0]"
397,"[(2, 0, 39), 791.767, 0.0]"
398,"[(2, 1, 0), 785.319, 0.0]"
399,"[(2, 1, 39), 789.687, 0.0]"
400,"[(2, 2, 0), 783.239, 0.0]"
401,"[(2, 2, 39), 787.607, 0.0]"
402,"[(2, 3, 0), 781.367, 0.0]"
403,"[(2, 3, 39), 785.735, 0.0]"
404,"[(2, 4, 0), 780.119, 0.0]"
405,"[(2, 4, 39), 784.487, 0.0]"
406,"[(2, 5, 0), 779.495, 0.0]"
407,"[(2, 5, 39), 783.863, 0.0]"
408,"[(2, 6, 0), 779.183, 0.0]"
409,"[(2, 6, 39), 783.551, 0.0]"
410,"[(2, 7, 0), 779.027, 0.0]"
411,"[(2, 7, 39), 783.395, 0.0]"
412,"[(2, 8, 0), 778.949, 0.0]"
413,"[(2, 8, 39), 783.317, 0.0]"
414,"[(2, 9, 0), 778.897, 0.0]"
415,"[(2, 9, 39), 783.265, 0.0]"
416,"[(2, 10, 0), 778.845, 0.0]"
417,"[(2, 10, 39), 783.213, 0.0]"
418,"[(2, 11, 0), 778.793, 0.0]"
419,"[(2, 11, 39), 783.161, 0.0]"
420,"[(2, 12, 0), 778.741, 0.0]"
421,"[(2, 12, 39), 783.109, 0.0]"
422,"[(2, 13, 0), 778.689, 0.0]"
423,"[(2, 13, 39), 783.057, 0.0]"
424,"[(2, 14, 0), 778.637, 0.0]"
425,"[(2, 14, 39), 783.005, 0.0]"
426,"[(2, 15, 0), 778.585, 0.0]"
427,"[(2, 15, 39), 782.953, 0.0]"
428,"[(2, 16, 0), 778.533, 0.0]"
429,"[(2, 16, 39), 782.901, 0.0]"
430,"[(2, 17, 0), 778.481, 0.0]"
431,"[(2, 17, 39), 782.849, 0.0]"
432,"[(2, 18, 0), 778.429, 0.0]"
433,"[(2, 18, 39), 782.797, 0.0]"
434,"[(2, 19, 0), 778.377, 0.0]"
435,"[(2, 19, 39), 782.745, 0.0]"
436,"[(2, 20, 0), 778.325, 0.0]"
437,"[(2, 20, 39), 782.693, 0.0]"
438,"[(2, 21, 0), 778.273, 0.0]"
439,"[(2, 21, 39), 782.641, 0.0]"
440,"[(2, 22, 0), 778.221, 0.0]"
441,"[(2, 22, 39), 782.589, 0.0]"
442,"[(2, 23, 0), 778.169, 0.0]"
443,"[(2, 23, 39), 782.537, 0.0]"
444,"[(2, 24, 0), 778.117, 0.0]"
445,"[(2, 24, 39), 782.485, 0.0]"
446,"[(2, 25, 0), 778.065, 0.0]"
447,"[(2, 25, 39), 782.433, 0.0]"
448,"[(2, 26, 0), 778.013, 0.0]"
449,"[(2, 26, 39), 782.381, 0.0]"
450,"[(2, 27, 0), 777.961, 0.0]"
451,"[(2, 27, 39), 782.329, 0.0]"
452,"[(2, 28, 0), 777.909, 0.0]"
453,"[(2, 28, 39), 782.277, 0.0]"
454,"[(2, 29, 0), 777.857, 0.0]"
455,"[(2, 29, 39), 782.225, 0.0]"
456,"[(2, 30, 0), 777.805, 0.0]"
457,"[(2, 30, 39), 782.173, 0.0]"
458,"[(2, 31, 0), 777.753, 0.0]"
459,"[(2, 31, 39), 782.121, 0.0]"
460,"[(2, 32, 0), 777.701, 0.0]"
461,"[(2, 32, 39), 782.069, 0.0]"
462,"[(2, 33, 0), 777.649, 0.0]"
463,"[(2, 33, 39), 782.017, 0.0]"
464,"[(2, 34, 0), 777.597, 0.0]"
465,"[(2, 34, 39), 781.965, 0.0]"
466,"[(2, 35, 0), 777.545, 0.0]"
467,"[(2, 35, 39), 781.913, 0.0]"
468,"[(2, 36, 0), 777.493, 0.0]"
469,"[(2, 36, 39), 781.861, 0.0]"
470,"[(2, 37, 0), 777.441, 0.0]"
471,"[(2, 37, 39), 781.809, 0.0]"
472,"[(2, 38, 0), 777.389, 0.0]"
473,"[(2, 38, 39), 781.757, 0.0]"
474,"[(2, 39, 0), 777.337, 0.0]"
475,"[(2, 39, 39), 781.705, 0.0]"
476,"[(2, 40, 0), 777.285, 0.0]"
477,"[(2, 40, 39), 781.653, 0.0]"
478,"[(2, 41, 0), 777.233, 0.0]"
479,"[(2, 41, 39), 781.601, 0.0]"
480,"[(2, 42, 0), 777.181, 0.0]"
481,"[(2, 42, 39), 781.549, 0.0]"
482,"[(2, 43, 0), 777.129, 0.0]"
483,"[(2, 43, 39), 781.497, 0.0]"
484,"[(2, 44, 0), 777.077, 0.0]"
485,"[(2, 44, 39), 781.445, 0.0]"
486,"[(2, 45, 0), 777.025, 0.0]"
487,"[(2, 45, 39), 781.393, 0.0]"
488,"[(2, 46, 0), 776.973, 0.0]"
489,"[(2, 46, 39), 781.341, 0.0]"
490,"[(2, 47, 0), 776.921, 0.0]"
491,"[(2, 47, 39), 781.289, 0.0]"
492,"[(2, 48, 0), 776.869, 0.0]"
493,"[(2, 48, 39), 781.237, 0.0]"
494,"[(2, 49, 0), 776.817, 0.0]"
495,"[(2, 49, 39), 781.185, 0.0]"
496,"[(2, 50, 0), 776.765, 0.0]"
497,"[(2, 50, 39), 781.133, 0.0]"
498,"[(2, 51, 0), 776.713, 0.0]"
499,"[(2, 51, 39), 781.081, 0.0]"
500,"[(2, 52, 0), 776.661, 0.0]"
501,"[(2, 52, 39), 781.029, 0.0]"
502,"[(2, 53, 0), 776.583, 0.0]"
503,"[(2, 53, 39), 780.951, 0.0]"
504,"[(2, 54, 0), 776.427, 0.0]"
505,"[(2, 54, 39), 780.795, 0.0]"
506,"[(2, 55, 0), 776.115, 0.0]"
507,"[(2, 55, 39), 780.483, 0.0]"
508,"[(2, 56, 0), 775.491, 0.0]"
509,"[(2, 56, 39), 779.859, 0.0]"
510,"[(2, 57, 0), 774.243, 0.0]"
511,"[(2, 57, 39), 778.611, 0.0]"
512,"[(2, 58, 0), 772.371, 0.0]"
513,"[(2, 58, 39), 776.739, 0.0]"
514,"[(2, 59, 0), 770.291, 0.0]"
515,"[(2, 59, 39), 774.659, 0.0]"
516,"[(2, 60, 0), 768.211, 0.0]"
517,"[(2, 60, 39), 772.579, 0.0]"
518,"[(2, 0, 1), 788.218, 0.0]"
519,"[(2, 60, 1), 769.03, 0.0]"
520,"[(2, 0, 2), 788.764, 0.0]"
521,"[(2, 60, 2), 769.576, 0.0]"
522,"[(2, 0, 3), 789.037, 0.0]"
523,"[(2, 60, 3), 769.849, 0.0]"
524,"[(2, 0, 4), 789.173, 0.0]"
525,"[(2, 60, 4), 769.985, 0.0]"
526,"[(2, 0, 5), 789.241, 0.0]"
527,"[(2, 60, 5), 770.053, 0.0]"
528,"[(2, 0, 6), 789.276, 0.0]"
529,"[(2, 60, 6), 770.088, 0.0]"
530,"[(2, 0, 7), 789.298, 0.0]"
531,"[(2, 60, 7), 770.11, 0.0]"
532,"[(2, 0, 8), 789.321, 0.0]"
533,"[(2, 60, 8), 770.133, 0.0]"
534,"[(2, 0, 9), 789.344, 0.0]"
535,"[(2, 60, 9), 770.156, 0.0]"
536,"[(2, 0, 10), 789.367, 0.0]"
537,"[(2, 60, 10), 770.179, 0.0]"
538,"[(2, 0, 11), 789.389, 0.0]"
539,"[(2, 60, 11), 770.201, 0.0]"
540,"[(2, 0, 12), 789.412, 0.0]"
541,"[(2, 60, 12), 770.224, 0.0]"
542,"[(2, 0, 13), 789.435, 0.0]"
543,"[(2, 60, 13), 770.247, 0.0]"
544,"[(2, 0, 14), 789.458, 0.0]"
545,"[(2, 60, 14), 770.269, 0.0]"
546,"[(2, 0, 15), 789.48, 0.0]"
547,"[(2, 60, 15), 770.292, 0.0]"
548,"[(2, 0, 16), 789.503, 0.0]"
549,"[(2, 60, 16), 770.315, 0.0]"
550,"[(2, 0, 17), 789.526, 0.0]"
551,"[(2, 60, 17), 770.338, 0.0]"
552,"[(2, 0, 18), 789.549, 0.0]"
553,"[(2, 60, 18), 770.36, 0.0]"
554,"[(2, 0, 19), 789.571, 0.0]"
555,"[(2, 60, 19), 770.383, 0.0]"
556,"[(2, 0, 20), 789.594, 0.0]"
557,"[(2, 60, 20), 770.406, 0.0]"
558,"[(2, 0, 21), 789.617, 0.0]"
