,0,1,2,3,4,5,6,7
0,"(0, 8, 5)","(0, 0, 0)",1,50.0,25.0,50.0,0.0,75.0
1,"(0, 9, 5)","(0, 1, 0)",1,50.0,25.0,50.0,0.0,75.0
2,"(0, 10, 5)","(0, 2, 0)",1,50.0,25.0,50.0,0.0,75.0
3,"(0, 11, 5)","(0, 3, 0)",1,50.0,25.0,50.0,0.0,75.0
4,"(0, 12, 5)","(0, 4, 0)",1,50.0,25.0,50.0,0.0,75.0
5,"(0, 13, 5)","(0, 5, 0)",1,50.0,25.0,50.0,0.0,75.0
6,"(0, 14, 5)","(0, 6, 0)",1,50.0,25.0,50.0,0.0,75.0
7,"(0, 15, 5)","(0, 7, 0)",1,50.0,25.0,50.0,0.0,75.0
8,"(0, 16, 5)","(0, 8, 0)",1,50.0,25.0,50.0,0.0,75.0
9,"(0, 17, 5)","(0, 9, 0)",1,50.0,25.0,50.0,0.0,75.0
10,"(0, 18, 5)","(0, 10, 0)",1,50.0,25.0,50.0,0.0,75.0
11,"(0, 19, 5)","(0, 11, 0)",1,50.0,25.0,50.0,0.0,75.0
12,"(0, 20, 5)","(0, 12, 0)",1,50.0,25.0,50.0,0.0,75.0
13,"(0, 21, 5)","(0, 13, 0)",1,50.0,25.0,50.0,0.0,75.0
14,"(0, 22, 5)","(0, 14, 0)",1,50.0,25.0,50.0,0.0,75.0
15,"(0, 23, 5)","(0, 15, 0)",1,50.0,25.0,50.0,0.0,75.0
16,"(0, 24, 5)","(0, 16, 0)",1,50.0,25.0,50.0,0.0,75.0
17,"(0, 25, 5)","(0, 17, 0)",1,50.0,25.0,50.0,0.0,75.0
18,"(0, 26, 5)","(0, 18, 0)",1,50.0,25.0,50.0,0.0,75.0
19,"(0, 27, 5)","(0, 19, 0)",1,50.0,25.0,50.0,0.0,75.0
20,"(0, 28, 5)","(0, 20, 0)",1,50.0,25.0,50.0,0.0,75.0
21,"(0, 29, 5)","(0, 21, 0)",1,50.0,25.0,50.0,0.0,75.0
22,"(0, 30, 5)","(0, 22, 0)",1,50.0,25.0,50.0,0.0,75.0
23,"(0, 31, 5)","(0, 23, 0)",1,50.0,25.0,50.0,0.0,75.0
24,"(0, 32, 5)","(0, 24, 0)",1,50.0,25.0,50.0,0.0,75.0
25,"(0, 33, 5)","(0, 25, 0)",1,50.0,25.0,50.0,0.0,75.0
26,"(0, 34, 5)","(0, 26, 0)",1,50.0,25.0,50.0,0.0,75.0
27,"(0, 35, 5)","(0, 27, 0)",1,50.0,25.0,50.0,0.0,75.0
28,"(0, 36, 5)","(0, 28, 0)",1,50.0,25.0,50.0,0.0,75.0
29,"(0, 37, 5)","(0, 29, 0)",1,50.0,25.0,50.0,0.0,75.0
30,"(0, 38, 5)","(0, 30, 0)",1,50.0,25.0,50.0,0.0,75.0
31,"(0, 39, 5)","(0, 31, 0)",1,50.0,25.0,50.0,0.0,75.0
32,"(0, 40, 5)","(0, 32, 0)",1,50.0,25.0,50.0,0.0,75.0
33,"(0, 41, 5)","(0, 33, 0)",1,50.0,25.0,50.0,0.0,75.0
34,"(0, 42, 5)","(0, 34, 0)",1,50.0,25.0,50.0,0.0,75.0
35,"(0, 43, 5)","(0, 35, 0)",1,50.0,25.0,50.0,0.0,75.0
36,"(0, 44, 5)","(0, 36, 0)",1,50.0,25.0,50.0,0.0,75.0
37,"(0, 45, 5)","(0, 37, 0)",1,50.0,25.0,50.0,0.0,75.0
38,"(0, 46, 5)","(0, 38, 0)",1,50.0,25.0,50.0,0.0,75.0
39,"(0, 47, 5)","(0, 39, 0)",1,50.0,25.0,50.0,0.0,75.0
40,"(0, 48, 5)","(0, 40, 0)",1,50.0,25.0,50.0,0.0,75.0
41,"(0, 49, 5)","(0, 41, 0)",1,50.0,25.0,50.0,0.0,75.0
42,"(0, 50, 5)","(0, 42, 0)",1,50.0,25.0,50.0,0.0,75.0
43,"(0, 51, 5)","(0, 43, 0)",1,50.0,25.0,50.0,0.0,75.0
44,"(0, 52, 5)","(0, 44, 0)",1,50.0,25.0,50.0,0.0,75.0
45,"(1, 8, 5)","(1, 0, 0)",1,50.0,25.0,50.0,0.0,75.0
46,"(1, 9, 5)","(1, 1, 0)",1,50.0,25.0,50.0,0.0,75.0
47,"(1, 10, 5)","(1, 2, 0)",1,50.0,25.0,50.0,0.0,75.0
48,"(1, 11, 5)","(1, 3, 0)",1,50.0,25.0,50.0,0.0,75.0
49,"(1, 12, 5)","(1, 4, 0)",1,50.0,25.0,50.0,0.0,75.0
50,"(1, 13, 5)","(1, 5, 0)",1,50.0,25.0,50.0,0.0,75.0
51,"(1, 14, 5)","(1, 6, 0)",1,50.0,25.0,50.0,0.0,75.0
52,"(1, 15, 5)","(1, 7, 0)",1,50.0,25.0,50.0,0.0,75.0
53,"(1, 16, 5)","(1, 8, 0)",1,50.0,25.0,50.0,0.0,75.0
54,"(1, 17, 5)","(1, 9, 0)",1,50.0,25.0,50.0,0.0,75.0
55,"(1, 18, 5)","(1, 10, 0)",1,50.0,25.0,50.0,0.0,75.0
56,"(1, 19, 5)","(1, 11, 0)",1,50.0,25.0,50.0,0.0,75.0
57,"(1, 20, 5)","(1, 12, 0)",1,50.0,25.0,50.0,0.0,75.0
58,"(1, 21, 5)","(1, 13, 0)",1,50.0,25.0,50.0,0.0,75.0
59,"(1, 22, 5)","(1, 14, 0)",1,50.0,25.0,50.0,0.0,75.0
60,"(1, 23, 5)","(1, 15, 0)",1,50.0,25.0,50.0,0.0,75.0
61,"(1, 24, 5)","(1, 16, 0)",1,50.0,25.0,50.0,0.0,75.0
62,"(1, 25, 5)","(1, 17, 0)",1,50.0,25.0,50.0,0.0,75.0
63,"(1, 26, 5)","(1, 18, 0)",1,50.0,25.0,50.0,0.0,75.0
64,"(1, 27, 5)","(1, 19, 0)",1,50.0,25.0,50.0,0.0,75.0
65,"(1, 28, 5)","(1, 20, 0)",1,50.0,25.0,50.0,0.0,75.0
66,"(1, 29, 5)","(1, 21, 0)",1,50.0,25.0,50.0,0.0,75.0
67,"(1, 30, 5)","(1, 22, 0)",1,50.0,25.0,50.0,0.0,75.0
68,"(1, 31, 5)","(1, 23, 0)",1,50.0,25.0,50.0,0.0,75.0
69,"(1, 32, 5)","(1, 24, 0)",1,50.0,25.0,50.0,0.0,75.0
70,"(1, 33, 5)","(1, 25, 0)",1,50.0,25.0,50.0,0.0,75.0
71,"(1, 34, 5)","(1, 26, 0)",1,50.0,25.0,50.0,0.0,75.0
72,"(1, 35, 5)","(1, 27, 0)",1,50.0,25.0,50.0,0.0,75.0
73,"(1, 36, 5)","(1, 28, 0)",1,50.0,25.0,50.0,0.0,75.0
74,"(1, 37, 5)","(1, 29, 0)",1,50.0,25.0,50.0,0.0,75.0
75,"(1, 38, 5)","(1, 30, 0)",1,50.0,25.0,50.0,0.0,75.0
76,"(1, 39, 5)","(1, 31, 0)",1,50.0,25.0,50.0,0.0,75.0
77,"(1, 40, 5)","(1, 32, 0)",1,50.0,25.0,50.0,0.0,75.0
78,"(1, 41, 5)","(1, 33, 0)",1,50.0,25.0,50.0,0.0,75.0
79,"(1, 42, 5)","(1, 34, 0)",1,50.0,25.0,50.0,0.0,75.0
80,"(1, 43, 5)","(1, 35, 0)",1,50.0,25.0,50.0,0.0,75.0
81,"(1, 44, 5)","(1, 36, 0)",1,50.0,25.0,50.0,0.0,75.0
82,"(1, 45, 5)","(1, 37, 0)",1,50.0,25.0,50.0,0.0,75.0
83,"(1, 46, 5)","(1, 38, 0)",1,50.0,25.0,50.0,0.0,75.0
84,"(1, 47, 5)","(1, 39, 0)",1,50.0,25.0,50.0,0.0,75.0
85,"(1, 48, 5)","(1, 40, 0)",1,50.0,25.0,50.0,0.0,75.0
86,"(1, 49, 5)","(1, 41, 0)",1,50.0,25.0,50.0,0.0,75.0
87,"(1, 50, 5)","(1, 42, 0)",1,50.0,25.0,50.0,0.0,75.0
88,"(1, 51, 5)","(1, 43, 0)",1,50.0,25.0,50.0,0.0,75.0
