,totim,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019
0,0.3831380695111,6.823042708e-05,0.009474210526,-8.904156557e-05,-8.904156557e-05,0.9372796376,0.997969398,0.9999342583,0.9999978716,0.9999999311,0.9999999978,0.9999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999,0.9999999978,0.9999999311,0.9999978716,0.9999342583,0.997969398,0.9372796376
1,0.7854330424977,0.0001353229748,0.01,-8.338725595e-05,-8.338725595e-05,0.8777605889,0.9939601541,0.9997338924,0.9999889933,0.9999995626,0.9999999831,0.9999999994,1.0,1.0,1.0,1.0,1.0,0.9999999994,0.9999999831,0.9999995626,0.9999889933,0.9997338924,0.9939601541,0.8777605889
2,1.207842764134,0.0002012529453,0.01,-7.804030908e-05,-7.804030908e-05,0.8214769377,0.9880406326,0.9993279152,0.9999659094,0.9999983835,0.9999999269,0.9999999968,0.9999999999,1.0,1.0,1.0,0.9999999999,0.9999999968,0.9999999269,0.9999983835,0.9999659094,0.9993279152,0.9880406326,0.8214769377
3,1.651372971851,0.0002660098044,0.01,-7.300163317e-05,-7.300163317e-05,0.7684382439,0.980294818,0.9986443894,0.9999180269,0.9999954565,0.9999997635,0.9999999883,0.9999999994,1.0,1.0,1.0,0.9999999994,0.9999999883,0.9999997635,0.9999954565,0.9999180269,0.9986443894,0.980294818,0.7684382439
4,2.117079689955,0.0003295972415,0.01,-6.826983022e-05,-6.826983022e-05,0.7186297918,0.9708212091,0.9976116788,0.9998313688,0.9999892461,0.9999993635,0.9999999644,0.9999999981,0.9999999999,1.0,0.9999999999,0.9999999981,0.9999999644,0.9999993635,0.9999892461,0.9998313688,0.9976116788,0.9708212091,0.7186297918
5,2.606071743964,0.0003920329809,0.01,-6.384126172e-05,-6.384126172e-05,0.6720132813,0.9597314064,0.9961597637,0.9996883997,0.9999774212,0.9999984957,0.9999999061,0.9999999944,0.9999999997,1.0,0.9999999997,0.9999999944,0.9999999061,0.9999984957,0.9999774212,0.9996883997,0.9961597637,0.9597314064,0.6720132813
6,3.119513400673,0.0004533483436,0.01,-5.971015587e-05,-5.971015587e-05,0.6285279565,0.9471484183,0.994221588,0.999467939,0.9999566359,0.9999967749,0.9999997767,0.9999999854,0.9999999991,0.9999999999,0.9999999991,0.9999999854,0.9999997767,0.9999967749,0.9999566359,0.999467939,0.994221588,0.9471484183,0.6285279565
7,3.658627140218,0.0005135875696,0.01,-5.586875418e-05,-5.586875418e-05,0.5880921493,0.933204723,0.9917343974,0.999145178,0.9999222943,0.9999935937,0.9999995108,0.9999999649,0.9999999976,0.9999999997,0.9999999976,0.9999999649,0.9999995108,0.9999935937,0.9999222943,0.999145178,0.9917343974,0.933204723,0.5880921493
8,4.22469656674,0.0005728069159,0.01,-5.230749402e-05,-5.230749402e-05,0.5506052002,0.918040135,0.9886410276,0.9986918105,0.9998683065,0.9999880369,0.999998998,0.9999999214,0.9999999941,0.9999999992,0.9999999941,0.9999999214,0.999998998,0.9999880369,0.9998683065,0.9986918105,0.9886410276,0.918040135,0.5506052002
9,4.819069464588,0.0006310735553,0.01,-4.901522229e-05,-4.901522229e-05,0.5159497083,0.9017995301,0.9848910987,0.9980762866,0.9997868442,0.9999787757,0.9999980589,0.9999998344,0.9999999866,0.999999998,0.9999999866,0.9999998344,0.9999980589,0.9999787757,0.9997868442,0.9980762866,0.9848910987,0.9017995301,0.5159497083
