1,a2,a3,a4,a5,a6,a7,a8
0.03831380695111,0.0001954846949,0.0003909693898,0.0009774234745,0.001954846949,0.003909693898,0.009774234745,0.01954846949
0.07854330424977,0.0002971226289,0.0005942452579,0.001485613145,0.002971226289,0.005942452579,0.01485613145,0.02971226289
0.12078427641339999,0.0003761114574,0.0007522229148,0.001880557287,0.003761114574,0.007522229148,0.01880557287,0.03761114574
0.1651372971851,0.0004443583298,0.0008887166595,0.002221791649,0.004443583298,0.008887166595,0.02221791649,0.04443583298
0.2117079689955,0.0005062723995,0.001012544799,0.002531361997,0.005062723995,0.01012544799,0.02531361997,0.05062723995
0.2606071743964,0.0005640423092,0.001128084618,0.002820211546,0.005640423092,0.01128084618,0.02820211546,0.05640423092
0.3119513400673,0.0006189390411,0.001237878082,0.003094695206,0.006189390411,0.01237878082,0.03094695206,0.06189390411
0.3658627140218,0.0006717781852,0.00134355637,0.003358890926,0.006717781852,0.0134355637,0.03358890926,0.06717781852
0.42246965667399994,0.0007231210736,0.001446242147,0.003615605368,0.007231210736,0.01446242147,0.03615605368,0.07231210736
0.4819069464588,0.000773374836,0.001546749672,0.00386687418,0.00773374836,0.01546749672,0.0386687418,0.0773374836
0.5443161007328,0.0008228471628,0.001645694326,0.004114235814,0.008228471628,0.01645694326,0.04114235814,0.08228471628
0.6098457127206,0.0008717785152,0.00174355703,0.004358892576,0.008717785152,0.0174355703,0.04358892576,0.08717785152
0.6786518053077,0.0009203621647,0.001840724329,0.004601810823,0.009203621647,0.01840724329,0.04601810823,0.09203621646
0.7508982025241999,0.0009687572398,0.00193751448,0.004843786199,0.009687572398,0.0193751448,0.04843786199,0.09687572398
0.8267569196014999,0.001017097543,0.002034195087,0.005085487717,0.01017097543,0.02034195087,0.05085487717,0.1017097543
0.9064085725327001,0.001065497699,0.002130995399,0.005327488497,0.01065497699,0.02130995399,0.05327488497,0.1065497699
0.9900428081105,0.001114057556,0.002228115113,0.005570287782,0.01114057556,0.02228115113,0.05570287782,0.1114057556
1.077858755467,0.001162865413,0.002325730826,0.005814327065,0.01162865413,0.02325730826,0.05814327065,0.1162865413
1.170065500192,0.001212000432,0.002424000864,0.006060002161,0.01212000432,0.02424000864,0.06060002161,0.1212000432
1.266882582152,0.001261534477,0.002523068953,0.006307672383,0.01261534477,0.02523068953,0.06307672383,0.1261534477
1.3685405182109998,0.001311533531,0.002623067061,0.006557667653,0.01311533531,0.02623067061,0.06557667653,0.1311533531
1.475281351073,0.001362058814,0.002724117628,0.006810294069,0.01362058814,0.02724117628,0.06810294069,0.1362058814
1.587359225577,0.001413167669,0.002826335337,0.007065838343,0.01413167669,0.02826335337,0.07065838343,0.1413167669
1.705040993807,0.001464914272,0.002929828544,0.00732457136,0.01464914272,0.02929828544,0.0732457136,0.1464914272
1.8286068504489998,0.001517350217,0.003034700433,0.007586751083,0.01517350217,0.03034700433,0.07586751083,0.1517350217
1.958350999922,0.001570524987,0.003141049973,0.007852624933,0.01570524987,0.03141049973,0.07852624933,0.1570524987
2.0945823568699997,0.001624486354,0.003248972708,0.00812243177,0.01624486354,0.03248972708,0.0812243177,0.1624486354
2.237625281664,0.00167928071,0.003358561419,0.008396403548,0.0167928071,0.03358561419,0.08396403547,0.1679280709
2.3878203526979997,0.001734953342,0.003469906685,0.008674766712,0.01734953342,0.03469906685,0.08674766712,0.1734953342
2.545525177285,0.00179154868,0.003583097359,0.008957743398,0.0179154868,0.03583097359,0.08957743398,0.179154868
2.7111152431,0.00184911049,0.00369822098,0.009245552451,0.0184911049,0.0369822098,0.09245552451,0.184911049
2.884984812206,0.001907682063,0.003815364125,0.009538410314,0.01907682063,0.03815364125,0.09538410314,0.1907682063
3.067547859767,0.00196730636,0.003934612721,0.009836531802,0.0196730636,0.03934612721,0.09836531802,0.196730636
3.2592390597070002,0.002028026157,0.004056052314,0.01014013078,0.02028026157,0.04056052314,0.1014013078,0.2028026157
3.460514819643,0.002089884157,0.004179768313,0.01044942078,0.02089884157,0.04179768313,0.1044942078,0.2089884156
3.671854367577,0.002152923103,0.004305846205,0.01076461551,0.02152923103,0.04305846205,0.1076461551,0.2152923103
3.8937608929070002,0.002217185874,0.004434371747,0.01108592937,0.02217185874,0.04434371747,0.1108592937,0.2217185874
4.126762744503,0.00228271557,0.004565431141,0.01141357785,0.0228271557,0.04565431141,0.1141357785,0.228271557
4.371414688679,0.002349555597,0.004699111194,0.01174777798,0.02349555597,0.04699111194,0.1174777798,0.2349555597
4.628299230064,0.002417749732,0.004835499464,0.01208874866,0.02417749732,0.04835499464,0.1208874866,0.2417749732
4.898027998519,0.002487342197,0.004974684395,0.01243671099,0.02487342197,0.04974684395,0.1243671099,0.2487342197
5.181243205396,0.00255837772,0.00511675544,0.0127918886,0.0255837772,0.0511675544,0.127918886,0.255837772
5.478619172617,0.002630901589,0.005261803178,0.01315450795,0.02630901589,0.05261803178,0.1315450795,0.2630901589
5.790863938198,0.002704959709,0.005409919417,0.01352479854,0.02704959709,0.05409919417,0.1352479854,0.2704959709
6.118720942058999,0.002780598646,0.005561197291,0.01390299323,0.02780598646,0.05561197291,0.1390299323,0.2780598646
6.462970796114,0.00285786567,0.00571573134,0.01428932835,0.0285786567,0.0571573134,0.1428932835,0.285786567
6.824433142869999,0.002936808789,0.005873617579,0.01468404395,0.02936808789,0.05873617579,0.1468404395,0.2936808789
7.203968606965001,0.003017476772,0.006034953544,0.01508738386,0.03017476772,0.06034953544,0.1508738386,0.3017476772
7.602480844264,0.003099919154,0.006199838309,0.01549959577,0.03099919154,0.06199838309,0.1549959577,0.3099919154
8.020918693429,0.003184186231,0.006368372463,0.01592093116,0.03184186231,0.06368372463,0.1592093116,0.3184186231
8.460278435051,0.003270329018,0.006540658036,0.01635164509,0.03270329018,0.06540658036,0.1635164509,0.3270329018
8.921606163755,0.003358399178,0.006716798357,0.01679199589,0.03358399178,0.06716798357,0.1679199589,0.3358399178
9.406000278894,0.003448448907,0.006896897814,0.01724224453,0.03448448907,0.06896897814,0.1724224453,0.3448448907
9.914614099789,0.003540530754,0.007081061509,0.01770265377,0.03540530754,0.07081061509,0.1770265377,0.3540530754
10.448658611730002,0.003634697381,0.007269394763,0.01817348691,0.03634697381,0.07269394763,0.1817348691,0.3634697381
11.00940534927,0.003731001228,0.007462002456,0.01865500614,0.03731001228,0.07462002456,0.1865500614,0.3731001228
11.59818942368,0.003829494084,0.007658988167,0.01914747042,0.03829494084,0.07658988167,0.1914747042,0.3829494084
12.21641270182,0.003930226543,0.007860453085,0.01965113271,0.03930226543,0.07860453085,0.1965113271,0.3930226543
12.86554714386,0.004033247334,0.008066494668,0.02016623667,0.04033247334,0.08066494668,0.2016623667,0.4033247334
13.547138308000001,0.004138602516,0.008277205032,0.02069301258,0.04138602516,0.08277205032,0.2069301258,0.4138602516
14.262809030349999,0.004246334528,0.008492669056,0.02123167264,0.04246334528,0.08492669056,0.2123167264,0.4246334528
15.01426328882,0.004356481101,0.008712962202,0.02178240551,0.04356481101,0.08712962202,0.2178240551,0.4356481101
15.80329026022,0.004469074027,0.008938148054,0.02234537013,0.04469074027,0.08938148054,0.2234537013,0.4469074027
16.63176858018,0.0045841378,0.0091682756,0.022920689,0.045841378,0.091682756,0.22920689,0.45841378
17.501670816140003,0.004701688147,0.009403376294,0.02350844073,0.04701688147,0.09403376294,0.2350844073,0.4701688147
18.4150681639,0.004821730463,0.009643460925,0.02410865231,0.04821730463,0.09643460925,0.2410865231,0.4821730463
19.374135379040002,0.004944258189,0.009888516377,0.02472129094,0.04944258189,0.09888516377,0.2472129094,0.4944258189
20.38115595494,0.005069251158,0.01013850232,0.02534625579,0.05069251158,0.1013850232,0.2534625579,0.5069251158
21.438527559639997,0.005196673946,0.01039334789,0.02598336973,0.05196673946,0.1039334789,0.2598336973,0.5196673946
22.54876774458,0.005326474272,0.01065294854,0.02663237136,0.05326474272,0.1065294854,0.2663237136,0.5326474272
23.71451993876,0.005458581475,0.01091716295,0.02729290737,0.05458581475,0.1091716295,0.2729290737,0.5458581475
24.93855974265,0.005592905127,0.01118581025,0.02796452564,0.05592905127,0.1118581025,0.2796452564,0.5592905127
26.223801536730004,0.005729333798,0.0114586676,0.02864666899,0.05729333798,0.114586676,0.2864666899,0.5729333798
27.573305420520004,0.005867734024,0.01173546805,0.02933867012,0.05867734024,0.1173546805,0.2933867012,0.5867734024
28.99028449849,0.006007949501,0.012015899,0.0300397475,0.06007949501,0.12015899,0.300397475,0.6007949501
30.478112530369998,0.006149800538,0.01229960108,0.03074900269,0.06149800538,0.1229960108,0.3074900269,0.6149800538
32.040331963839996,0.006293083791,0.01258616758,0.03146541896,0.06293083791,0.1258616758,0.3146541896,0.6293083792
33.68066236898,0.006437572292,0.01287514458,0.03218786146,0.06437572292,0.1287514458,0.3218786146,0.6437572292
35.403009294380006,0.006583015796,0.01316603159,0.03291507898,0.06583015796,0.1316603159,0.3291507898,0.6583015796
37.21147356605,0.00672914145,0.0134582829,0.03364570725,0.0672914145,0.134582829,0.3364570725,0.672914145
39.11036105131,0.006875654804,0.01375130961,0.03437827402,0.06875654804,0.1375130961,0.3437827402,0.6875654804
41.10419291082,0.00702224115,0.0140444823,0.03511120575,0.0702224115,0.140444823,0.3511120575,0.702224115
43.19771636331,0.007168567216,0.01433713443,0.03584283608,0.07168567216,0.1433713443,0.3584283608,0.7168567216
45.395915988430005,0.007314283194,0.01462856639,0.03657141597,0.07314283194,0.1462856639,0.3657141597,0.7314283194
47.7040255948,0.007459025115,0.01491805023,0.03729512558,0.07459025115,0.1491805023,0.3729512558,0.7459025115
50.12754068149,0.007602417567,0.01520483513,0.03801208784,0.07602417568,0.1520483514,0.3801208784,0.7602417568
