totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-1315894.8,-9879.346,-0.08,12243922.0,-8044316.5,1155.7999,392504.25,-9879.0,-3287250.0
3683.5,-1327030.1,-9987.118,-0.08,12365797.0,-8108980.0,1186.5933,402089.2,-9988.0,-3343050.0
3712.5,-1338261.9,-9937.034,-0.08,12520579.0,-8174480.0,1109.3977,376366.66,-9937.0,-3395250.0
3743.5,-1351585.2,-9849.493,-0.07,12713979.0,-8253575.0,973.4467,331408.16,-9850.0,-3451050.0
3773.5,-1365437.9,-9784.268,-0.07,12905485.0,-8337129.5,852.8546,291495.62,-9784.0,-3505050.0
3804.5,-1379920.4,-9750.554,-0.07,13082388.0,-8425382.0,798.9304,273215.75,-9750.0,-3560850.0
3834.5,-1393076.1,-9708.211,-0.07,13213785.0,-8505308.0,849.219,288891.56,-9708.0,-3614850.0
3865.5,-1404814.1,-9818.721,-0.07,13298798.0,-8575468.0,1011.0847,341305.25,-9819.0,-3670650.0
3896.5,-1414227.4,-9990.5,-0.07,13338552.0,-8628729.0,1249.0046,419614.94,-9991.0,-3726450.0
3926.5,-1421078.8,-10152.258,-0.07,13349799.0,-8664104.0,1502.9202,504178.56,-10152.0,-3780450.0
3957.5,-1426275.9,-10306.019,-0.07,13357797.0,-8687309.0,1727.7136,580003.75,-10306.0,-3836250.0
3987.5,-1430369.1,-10410.602,-0.07,13386928.0,-8703286.0,1905.2686,641161.7,-10411.0,-3906750.0
4018.5,-1434675.0,-10450.257,-0.07,13459490.0,-8720871.0,1966.0967,663240.44,-10450.0,-3979600.0
4049.5,-1439993.9,-10335.934,-0.07,13580545.0,-8746521.0,1911.5452,646172.75,-10336.0,-4052450.0
4077.5,-1446177.9,-10228.012,-0.07,13729434.0,-8780356.0,1781.7346,603340.44,-10228.0,-4118250.0
4108.5,-1454829.6,-10080.684,-0.07,13923053.0,-8831818.0,1600.6471,543013.06,-10081.0,-4191100.0
4138.5,-1464479.5,-9983.774,-0.07,14114420.0,-8891749.0,1448.126,491977.03,-9984.0,-4261600.0
4169.5,-1474912.8,-9937.656,-0.07,14290791.0,-8957887.0,1368.9625,465152.72,-9937.0,-4334450.0
4199.5,-1484402.1,-9871.725,-0.06,14421442.0,-9018025.0,1399.2769,474664.2,-9871.0,-4404950.0
4230.5,-1492538.2,-9982.94,-0.06,14505637.0,-9068933.0,1543.0029,522108.94,-9983.0,-4477800.0
4261.5,-1498402.8,-10145.859,-0.07,14544763.0,-9103963.0,1764.9692,596341.7,-10146.0,-4550650.0
4291.5,-1501888.4,-10312.119,-0.07,14555751.0,-9122522.0,2004.7627,677492.7,-10313.0,-4621150.0
4322.5,-1503684.4,-10473.766,-0.07,14563912.0,-9129115.0,2216.6978,750197.6,-10474.0,-4694000.0
4352.5,-1504640.2,-10558.935,-0.07,14593576.0,-9130123.0,2338.3315,792789.25,-10559.0,-4764500.0
4383.5,-1506471.2,-10450.478,-0.07,14687136.0,-9137550.0,2301.3726,781482.75,-10451.0,-4837350.0
