,0,1,2,3,4,5,6,7,Left0,Left1,Left2,Right0,Right1,Right2
39,"(39, 0, 0)","(39, 0, 99)",1,0.03,0.03,1,90.0,0.06,39,0,0,39,0,99
40,"(40, 0, 0)","(40, 0, 99)",1,0.03,0.03,1,90.0,0.06,40,0,0,40,0,99
41,"(41, 0, 0)","(41, 0, 99)",1,0.03,0.03,1,90.0,0.06,41,0,0,41,0,99
42,"(42, 0, 0)","(42, 0, 99)",1,0.03,0.03,1,90.0,0.06,42,0,0,42,0,99
43,"(43, 0, 0)","(43, 0, 99)",1,0.03,0.03,1,90.0,0.06,43,0,0,43,0,99
44,"(44, 0, 0)","(44, 0, 99)",1,0.03,0.03,1,90.0,0.06,44,0,0,44,0,99
45,"(45, 0, 0)","(45, 0, 99)",1,0.03,0.03,1,90.0,0.06,45,0,0,45,0,99
46,"(46, 0, 0)","(46, 0, 99)",1,0.03,0.03,1,90.0,0.06,46,0,0,46,0,99
47,"(47, 0, 0)","(47, 0, 99)",1,0.03,0.03,1,90.0,0.06,47,0,0,47,0,99
48,"(48, 0, 0)","(48, 0, 99)",1,0.03,0.03,1,90.0,0.06,48,0,0,48,0,99
49,"(49, 0, 0)","(49, 0, 99)",1,0.03,0.03,1,90.0,0.06,49,0,0,49,0,99
50,"(50, 0, 0)","(50, 0, 99)",1,0.03,0.03,1,90.0,0.06,50,0,0,50,0,99
51,"(51, 0, 0)","(51, 0, 99)",1,0.03,0.03,1,90.0,0.06,51,0,0,51,0,99
52,"(52, 0, 0)","(52, 0, 99)",1,0.03,0.03,1,90.0,0.06,52,0,0,52,0,99
53,"(53, 0, 0)","(53, 0, 99)",1,0.03,0.03,1,90.0,0.06,53,0,0,53,0,99
54,"(54, 0, 0)","(54, 0, 99)",1,0.03,0.03,1,90.0,0.06,54,0,0,54,0,99
55,"(55, 0, 0)","(55, 0, 99)",1,0.03,0.03,1,90.0,0.06,55,0,0,55,0,99
56,"(56, 0, 0)","(56, 0, 99)",1,0.03,0.03,1,90.0,0.06,56,0,0,56,0,99
57,"(57, 0, 0)","(57, 0, 99)",1,0.03,0.03,1,90.0,0.06,57,0,0,57,0,99
58,"(58, 0, 0)","(58, 0, 99)",1,0.03,0.03,1,90.0,0.06,58,0,0,58,0,99
59,"(59, 0, 0)","(59, 0, 99)",1,0.03,0.03,1,90.0,0.06,59,0,0,59,0,99
60,"(60, 0, 0)","(60, 0, 99)",1,0.03,0.03,1,90.0,0.06,60,0,0,60,0,99
61,"(61, 0, 0)","(61, 0, 99)",1,0.03,0.03,1,90.0,0.06,61,0,0,61,0,99
62,"(62, 0, 0)","(62, 0, 99)",1,0.03,0.03,1,90.0,0.06,62,0,0,62,0,99
