time,BCKGRND
2.500000000000,3.669724770641837
5.000000000000,7.204780742360918
7.500000000000,10.61010988942951
10.00000000000,13.89047282926627
12.50000000000,17.05045547773280
15.00000000000,20.09447546020056
17.50000000000,23.02678828734838
20.00000000000,25.85149330432563
22.50000000000,28.57253942159726
25.00000000000,31.19373063548277
27.50000000000,33.71873134610637
30.00000000000,36.15107148019333
32.50000000000,38.49415142587340
35.00000000000,40.75124678639087
37.50000000000,42.92551295936641
40.00000000000,45.01998954801255
42.50000000000,47.03760461046984
45.00000000000,48.98117875320393
47.50000000000,50.85342907418631
50.00000000000,52.65697296137115
52.50000000000,54.39433175177856
55.00000000000,56.06793425629943
57.50000000000,57.68012015514983
60.00000000000,59.23314326872129
62.50000000000,60.72917470840023
65.00000000000,62.17030591176066
67.50000000000,63.55855156637388
70.00000000000,64.89585242632243
72.50000000000,66.18407802535543
75.00000000000,67.42502929047897
77.50000000000,68.62044105963469
80.00000000000,69.77198450698650
82.50000000000,70.88126947920613
85.00000000000,71.94984674602323
87.50000000000,72.97921016818647
90.00000000000,73.97079878586665
92.50000000000,74.92599883042095
95.00000000000,75.84614566233110
97.50000000000,76.73252563802434
100.0000000000,77.58637790818754
102.5000000000,78.40889615008786
105.0000000000,79.20123023632210
107.5000000000,79.96448784232763
110.0000000000,80.69973599490174
112.5000000000,81.40800256389514
115.0000000000,82.09027769916402
117.5000000000,82.74751521478998
120.0000000000,83.38063392250307
122.5000000000,83.99051891617168
125.0000000000,84.57802280915520
127.5000000000,85.14396692624942
130.0000000000,85.68914245189062
132.5000000000,86.21431153622387
135.0000000000,86.72020836058159
137.5000000000,87.20754016386196
140.0000000000,87.67698823124222
142.5000000000,88.12920884660851
145.0000000000,88.56483421003473
147.5000000000,88.98447332159211
150.0000000000,89.38871283272536
152.5000000000,89.77811786638583
155.0000000000,90.15323280706792
157.5000000000,90.51458206185342
160.0000000000,90.86267079352753
162.5000000000,91.19798562679156
165.0000000000,91.52099532855974
167.5000000000,91.83215146329054
170.0000000000,92.13188902426975
172.5000000000,92.42062704172680
175.0000000000,92.69876916863495
177.5000000000,92.96670424501437
180.0000000000,93.22480684152666
182.5000000000,93.47343778312106
185.0000000000,93.71294465346428
187.5000000000,93.94366228085912
190.0000000000,94.16591320633121
192.5000000000,94.38000813453836
195.0000000000,94.58624636813239
197.5000000000,94.78491622618168
200.0000000000,94.97629544723833
202.5000000000,95.16065157761402
205.0000000000,95.33824234540708
207.5000000000,95.50931602080408
210.0000000000,95.67411176315900
212.5000000000,95.83285995533575
215.0000000000,95.98578252578125
217.5000000000,96.13309325877920
220.0000000000,96.27499809331852
222.5000000000,96.41169541099399
225.0000000000,96.54337631334192
227.5000000000,96.67022488899819
230.0000000000,96.79241847105247
232.5000000000,96.91012788495797
235.0000000000,97.02351768734400
237.5000000000,97.13274639606448
240.0000000000,97.23796671180439
242.5000000000,97.33932573155384
245.0000000000,97.43696515424828
247.5000000000,97.53102147886219
250.0000000000,97.62162619523338
252.5000000000,97.70890596788450
255.0000000000,97.79298281309892
257.5000000000,97.87397426949811
260.0000000000,97.95199356235970
262.5000000000,98.02714976190529
265.0000000000,98.09954793577947
267.5000000000,98.16928929593350
270.0000000000,98.23647134011858
272.5000000000,98.30118798818678
275.0000000000,98.36352971339009
277.5000000000,98.42358366886117
280.0000000000,98.48143380945264
282.5000000000,98.53716100910499
285.0000000000,98.59084317390771
287.5000000000,98.64255535101125
290.0000000000,98.69236983354217
292.5000000000,98.74035626166830
295.0000000000,98.78658171995491
297.5000000000,98.83111083114845
300.0000000000,98.87400584651837
302.5000000000,98.91532673288388
305.0000000000,98.95513125644700
307.5000000000,98.99347506354908
310.0000000000,99.03041175846393
312.5000000000,99.06599297833603
315.0000000000,99.10026846536879
317.5000000000,99.13328613636365
320.0000000000,99.16509214970733
322.5000000000,99.19573096990078
325.0000000000,99.22524542972015
327.5000000000,99.25367679009661
330.0000000000,99.28106479779869
332.5000000000,99.30744774099796
335.0000000000,99.33286250279542
337.5000000000,99.35734461278382
340.0000000000,99.38092829671758
342.5000000000,99.40364652436020
345.0000000000,99.42553105557556
347.5000000000,99.44661248472798
350.0000000000,99.46692028345279
352.5000000000,99.48648284185749
355.0000000000,99.50532750821066
357.5000000000,99.52348062717471
360.0000000000,99.54096757663547
362.5000000000,99.55781280318025
365.0000000000,99.57403985627386
367.5000000000,99.58967142118054
370.0000000000,99.60472935067780
372.5000000000,99.61923469560635
375.0000000000,99.63320773429901
377.5000000000,99.64666800092952
380.0000000000,99.65963431282131
382.5000000000,99.67212479675378
385.0000000000,99.68415691430340
387.5000000000,99.69574748625487
390.0000000000,99.70691271611638
392.5000000000,99.71766821277195
395.0000000000,99.72802901230256
397.5000000000,99.73800959900635
400.0000000000,99.74762392564763
402.5000000000,99.75688543296260
405.0000000000,99.76580706844952
407.5000000000,99.77440130446902
410.0000000000,99.78268015568045
412.5000000000,99.79065519583827
415.0000000000,99.79833757397193
417.5000000000,99.80573802997226
420.0000000000,99.81286690960560
422.5000000000,99.81973417897717
425.0000000000,99.82634943846355
427.5000000000,99.83272193613392
430.0000000000,99.83886058067877
432.5000000000,99.84477395386416
435.0000000000,99.85047032252899
437.5000000000,99.85595765014190
440.0000000000,99.86124360793416
442.5000000000,99.86633558562403
445.0000000000,99.87124070174728
447.5000000000,99.87596581360914
450.0000000000,99.88051752687056
452.5000000000,99.88490220478293
455.0000000000,99.88912597708385
457.5000000000,99.89319474856639
460.0000000000,99.89711420733397
462.5000000000,99.90088983275228
465.0000000000,99.90452690310937
