time,X008
1.000000000000,0.3752255227E-23
2.000000000000,0.9035960996E-22
3.000000000000,0.1120079807E-20
4.000000000000,0.9522378414E-20
5.000000000000,0.6242012765E-19
6.000000000000,0.3363101367E-18
7.000000000000,0.1550456216E-17
8.000000000000,0.6287393193E-17
9.000000000000,0.2288196603E-16
10.00000000000,0.7588284160E-16
11.00000000000,0.2320616144E-15
12.00000000000,0.6607448908E-15
13.00000000000,0.1765405953E-14
14.00000000000,0.4455286678E-14
15.00000000000,0.1067887803E-13
16.00000000000,0.2442554324E-13
17.00000000000,0.5353044296E-13
18.00000000000,0.1128070529E-12
19.00000000000,0.2292992415E-12
20.00000000000,0.4508110951E-12
21.00000000000,0.8593580021E-12
22.00000000000,0.1591806573E-11
23.00000000000,0.2870750717E-11
24.00000000000,0.5049618970E-11
25.00000000000,0.8677129797E-11
26.00000000000,0.1458750484E-10
27.00000000000,0.2402430298E-10
28.00000000000,0.3880732873E-10
29.00000000000,0.6155376384E-10
30.00000000000,0.9596642875E-10
31.00000000000,0.1472038485E-09
32.00000000000,0.2223485174E-09
33.00000000000,0.3309913640E-09
34.00000000000,0.4859518470E-09
35.00000000000,0.7041542953E-09
36.00000000000,0.1007681987E-08
37.00000000000,0.1425030973E-08
38.00000000000,0.1992585758E-08
39.00000000000,0.2756338613E-08
40.00000000000,0.3773873473E-08
41.00000000000,0.5116634084E-08
42.00000000000,0.6872494287E-08
43.00000000000,0.9148646088E-08
44.00000000000,0.1207481849E-07
45.00000000000,0.1580683700E-07
46.00000000000,0.2053053032E-07
47.00000000000,0.2646598698E-07
48.00000000000,0.3387216100E-07
49.00000000000,0.4305182115E-07
50.00000000000,0.5435683488E-07
51.00000000000,0.6819377333E-07
52.00000000000,0.8502982005E-07
53.00000000000,0.1053989622E-06
54.00000000000,0.1299084390E-06
55.00000000000,0.1592454196E-06
56.00000000000,0.1941838777E-06
57.00000000000,0.2355916294E-06
58.00000000000,0.2844374981E-06
59.00000000000,0.3417985659E-06
60.00000000000,0.4088674735E-06
61.00000000000,0.4869597252E-06
62.00000000000,0.5775209588E-06
63.00000000000,0.6821341372E-06
64.00000000000,0.8025266192E-06
65.00000000000,0.9405770701E-06
66.00000000000,0.1098322168E-05
67.00000000000,0.1277963073E-05
68.00000000000,0.1481871612E-05
69.00000000000,0.1712596154E-05
70.00000000000,0.1972867136E-05
71.00000000000,0.2265602212E-05
72.00000000000,0.2593910992E-05
73.00000000000,0.2961099352E-05
74.00000000000,0.3370673287E-05
75.00000000000,0.3826342290E-05
76.00000000000,0.4332022238E-05
77.00000000000,0.4891837776E-05
78.00000000000,0.5510124178E-05
79.00000000000,0.6191428690E-05
80.00000000000,0.6940511345E-05
81.00000000000,0.7762345235E-05
82.00000000000,0.8662116269E-05
83.00000000000,0.9645222387E-05
84.00000000000,0.1071727226E-04
85.00000000000,0.1188408349E-04
86.00000000000,0.1315168026E-04
87.00000000000,0.1452629055E-04
88.00000000000,0.1601434282E-04
89.00000000000,0.1762246228E-04
90.00000000000,0.1935746668E-04
91.00000000000,0.2122636167E-04
92.00000000000,0.2323633579E-04
93.00000000000,0.2539475502E-04
94.00000000000,0.2770915699E-04
95.00000000000,0.3018724486E-04
96.00000000000,0.3283688087E-04
97.00000000000,0.3566607954E-04
98.00000000000,0.3868300070E-04
99.00000000000,0.4189594216E-04
100.0000000000,0.4531333223E-04
101.0000000000,0.4894372198E-04
102.0000000000,0.5279577737E-04
103.0000000000,0.5687827118E-04
104.0000000000,0.6120007480E-04
105.0000000000,0.6577014998E-04
106.0000000000,0.7059754039E-04
