total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
7,1.000000000000000,1,1,1,7,6.936002636582784,1,,1825
10,1.000000000000000,1,1,2,3,-6.744707568068371,1,,1825
14,1.000000000000000,1,1,3,4,-.7036635889796372E-01,1,,2615
17,1.000000000000000,1,1,4,3,-.4630321691879402E-01,1,,2615
20,1.000000000000000,1,1,5,3,-.3249371139472146E-01,1,,2615
23,1.000000000000000,1,1,6,3,-.2761267404563483E-01,1,,2615
26,1.000000000000000,1,1,7,3,-.5277223071676218E-01,1,,2615
30,1.000000000000000,1,1,8,4,-1.945660079727304,1,,2615
36,1.000000000000000,1,1,9,6,-1.526739321730492,1,,2117
62,1.000000000000000,1,1,10,26,-5.109761739333457,1,,2177
100,1.000000000000000,1,1,11,38,-10.59103295531678,1,,2402
165,1.000000000000000,1,1,12,65,-18.82654025506469,1,,2900
235,1.000000000000000,1,1,13,70,-8.585520626848272,1,,2616
291,1.000000000000000,1,1,14,56,-1.828366336754755,1,,960
334,1.000000000000000,1,1,15,43,-.5437739370278081,1,,2129
348,1.000000000000000,1,1,16,14,-.3275458086523919E-01,1,,1744
358,1.000000000000000,1,1,17,10,-.8146596430300690E-03,1,,11451
364,1.000000000000000,1,1,18,6,-.1784571539289459E-03,1,,8882
367,1.000000000000000,1,1,19,3,-.7191030937292453E-04,1,,2401
