total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
98,1.000000000000000,1,1,11,36,-.9381582980283434E-04,1,5162,.2807883445796634E-03,1,11224,3.306744,0.9275552
99,1.000000000000000,1,1,11,37,-.5300216076148537E-04,1,5238,.3012433657845527E-03,1,11151,0.6824220,3.331825
100,1.000000000000000,1,1,11,38,.7415395824165706E-05,1,2177,.2368917220933935E-03,1,11224,0.5104059,1.846834
101,1.000000000000000,1,1,12,1,-4.228512694047071,1,864,29.18456426976537,1,9915,1.007938,0.9071446
102,1.000000000000000,1,1,12,2,-1.237770105306227,1,6850,19.34448089742460,1,11807,1.744388,0.7309055
103,1.000000000000000,1,1,12,3,-1.579055817654959,1,2901,14.83209213012419,1,11807,2.129574,1.983474
104,1.000000000000000,1,1,12,4,-1.452358249929467,1,11879,10.61083165860358,1,11659,2.897783,0.6851873
105,1.000000000000000,1,1,12,5,-1.780163966019267,1,14873,10.56748581649036,1,11587,2.047829,3.566796
106,1.000000000000000,1,1,12,6,-1.731877499633271,1,2828,7.521283364650186,1,11513,2.797464,0.7053701
107,1.000000000000000,1,1,12,7,-1.564232228907214,1,5748,7.831846687928991,1,11441,2.120076,2.644323
108,1.000000000000000,1,1,12,8,-1.965197648261933,1,5821,6.354752995071005,1,11367,2.949933,0.7393721
109,1.000000000000000,1,1,12,9,-1.445426216592044,1,8739,5.919771636365051,1,11221,2.542000,1.297496
110,1.000000000000000,1,1,12,10,-1.078773040856410,1,8592,5.359068839358112,1,11221,1.998734,0.9988198
111,1.000000000000000,1,1,12,11,-1.701385594583920,1,8300,4.718363025935305,1,11298,1.544450,14.75651
112,1.000000000000000,1,1,12,12,-10.84557521980569,1,8665,23.29575072582598,1,11308,46.61823,0.6200910
113,1.000000000000000,1,1,12,13,9.771601173741322,1,8665,2.915925103567158,1,11235,0.4779230E-01,6.914570
114,1.000000000000000,1,1,12,14,-.6338054523396194,1,8517,1.700829028393200,1,11217,4.143277,0.6889336
115,1.000000000000000,1,1,12,15,-17.82447886999446,1,8371,-16.29483587892094,1,11217,166.0302,0.6701021
116,1.000000000000000,1,1,12,16,16.91057243757078,1,8371,1.926615319248504,1,14221,0.1875379E-01,19.47229
117,1.000000000000000,1,1,12,17,-.7516042361424630,1,14503,2.168374940640628,1,14225,11.65100,0.8153478
118,1.000000000000000,1,1,12,18,.3375081799043067,1,14503,.4682503173582544,1,11652,0.2853177,1.414309
119,1.000000000000000,1,1,12,19,-.2137241879261868,1,11582,-.4364389490248380,1,9536,4.389144,0.8230228
120,1.000000000000000,1,1,12,20,-.8275022051639787E-01,1,11655,-.4125410087451324,1,9537,1.114689,3.300614
121,1.000000000000000,1,1,12,21,-.1419468554940069,1,11656,-.3888513278353901,1,9537,3.837656,0.7108106
122,1.000000000000000,1,1,12,22,.3150503443845570,1,6545,.5607220561084529,1,14221,0.5169920,54.75703
123,1.000000000000000,1,1,12,23,-.4657035917067071E-01,1,5818,.1859446065105055,1,11661,6.247274,0.6065791
124,1.000000000000000,1,1,12,24,-.2995219365804272E-01,1,2752,-.1545346734289787,1,9837,1.001919,1.666738
125,1.000000000000000,1,1,12,25,-.1027043942480558,1,2680,-.1293404588091571,1,9839,9.924131,0.6607218
126,1.000000000000000,1,1,12,26,.3386998382407114E-01,1,5819,.1620237221791710,1,14218,0.2504991,12.14579
127,1.000000000000000,1,1,12,27,-.2590985121512192E-01,1,8664,-.1085271981389551,1,9763,3.191769,1.163498
128,1.000000000000000,1,1,12,28,-.2767537520311901E-01,1,11658,.1204543259495074,1,14219,2.413610,3.897139
129,1.000000000000000,1,1,12,29,-.3681579318464759E-01,1,11658,-.7659827724974058E-01,1,9841,5.335551,0.6254488
130,1.000000000000000,1,1,12,30,.2688469543238465E-02,1,12832,.8363959091089433E-01,1,14219,0.2916043,3.134671
131,1.000000000000000,1,1,12,31,-.2882191271589745E-01,1,11658,-.5919560057012267E-01,1,9839,10.13700,1.135177
132,1.000000000000000,1,1,12,32,-.1653998559955591E-01,1,11658,.5141987386964732E-01,1,11803,2.400630,1.865476
133,1.000000000000000,1,1,12,33,-.2225952197565240E-01,1,8665,.4233888123328414E-01,1,11731,3.043946,0.7236421
134,1.000000000000000,1,1,12,34,-.7104658843914447E-02,1,2752,.6064025017076240E-01,1,11305,0.2836880,12.20608
135,1.000000000000000,1,1,12,35,-.2918901310338680E-01,1,2752,.3666683480959072E-01,1,14218,19.58239,0.6381930
136,1.000000000000000,1,1,12,36,.4496443189112115E-02,1,8665,.3722364980247705E-01,1,14220,0.4788397,3.906428
137,1.000000000000000,1,1,12,37,.6964428327586646E-01,1,2752,.9608359127215382E-01,1,14220,-40.18123,0.7414718
138,1.000000000000000,1,1,12,38,-.8601879856769711E-01,1,2752,.2101348430332991E-01,1,11732,-0.1071573,5.651045
139,1.000000000000000,1,1,12,39,-.6062651981635360E-02,1,2752,.1771886501780327E-01,1,11731,2.888601,0.6436389
140,1.000000000000000,1,1,12,40,-.9683041261023302E-02,1,2752,.1778304268987332E-01,1,14217,1.815492,6.829136
141,1.000000000000000,1,1,12,41,.1511852773685720E-01,1,2752,.2058204898208789E-01,1,11806,-12.03489,0.9346733
142,1.000000000000000,1,1,12,42,-.2389824740479753E-01,1,2752,.9444191963134379E-02,1,14218,-0.3096256,5.468380
143,1.000000000000000,1,1,12,43,-.2078095180413748E-02,1,2752,.8325805395832222E-02,1,11731,2.561394,0.6522348
144,1.000000000000000,1,1,12,44,-.2322387746955494E-02,1,2752,.7338721436711432E-02,1,11730,1.875536,3.026091
145,1.000000000000000,1,1,12,45,-.1146626357898339E-02,1,2752,.6779225272559784E-02,1,11730,1.827810,0.9053901
146,1.000000000000000,1,1,12,46,-.2359267145975439E-02,1,2752,.5735602199790460E-02,1,11730,3.645056,1.104714
147,1.000000000000000,1,1,12,47,.5767638446170307E-03,1,6152,.5631039352461440E-02,1,11730,15.77274,0.6133428
148,1.000000000000000,1,1,12,48,-.1189960789860790E-01,1,2751,.2517983639732531E-02,1,14220,0.9625866E-02,143.8566
149,1.000000000000000,1,1,12,49,-.2516038125442074E-03,1,6773,.8320308936127371E-03,1,14159,30.47693,0.9086673
150,1.000000000000000,1,1,12,50,.1224394824134821E-04,1,9389,-.7059555380074371E-03,1,9461,0.1306001,1.029279
151,1.000000000000000,1,1,12,51,.1871004283321626E-03,1,3399,-.5302043897249115E-03,1,9610,42.92447,0.7148947
152,1.000000000000000,1,1,12,52,.7596268505684505E-04,1,3552,-.4832328313061047E-03,1,9537,0.2993406,9.584345
153,1.000000000000000,1,1,12,53,.1081142867156887E-03,1,3401,-.4339960961988952E-03,1,9686,12.05083,0.6103700
154,1.000000000000000,1,1,12,54,.8483302322794147E-04,1,6543,-.3920393881618920E-03,1,9760,1.972079,8.324672
155,1.000000000000000,1,1,12,55,-.8477953001725857E-04,1,8741,-.3817662630913381E-03,1,9836,2.836201,0.8070737
156,1.000000000000000,1,1,12,56,-.6263457845908921E-04,1,8741,-.3562738801287611E-03,1,9763,2.047165,1.056291
157,1.000000000000000,1,1,12,57,.5678645326618020E-04,1,3552,-.3293950624506461E-03,1,9838,2.088814,1.299542
158,1.000000000000000,1,1,12,58,.5489862096284304E-04,1,6693,-.2994910233431910E-03,1,9838,1.835150,3.176883
159,1.000000000000000,1,1,12,59,.4992987785185993E-04,1,710,-.2718925308827744E-03,1,9839,2.240173,2.627364
160,1.000000000000000,1,1,12,60,.4260754425634721E-04,1,6697,-.2458353200034508E-03,1,9839,2.833922,0.6175360
161,1.000000000000000,1,1,12,61,.5597210305328547E-04,1,9763,-.2089908856309185E-03,1,9839,3.491952,1.339422
162,1.000000000000000,1,1,12,62,-.8584702676365328E-04,1,9765,-.2723808352184522E-03,1,9839,-11.22308,0.6196232
163,1.000000000000000,1,1,12,63,.1746933701401778E-03,1,6773,-.2643929852963056E-03,1,14301,0.6154883E-01,32.79862
164,1.000000000000000,1,1,12,64,.6693593340042340E-04,1,6773,-.8737439484770724E-04,1,9841,-3.947582,0.8172322
165,1.000000000000000,1,1,12,65,-.6140861294939237E-06,1,6619,-.8741034850165365E-04,1,9841,-0.6405653,1.166009
166,1.000000000000000,1,1,13,1,-2.744917554577844,1,2616,22.90253684319108,1,11521,1.005462,0.9637589
167,1.000000000000000,1,1,13,2,-.9107289436786226,1,11595,13.39452641501995,1,11521,1.521997,0.7503465
168,1.000000000000000,1,1,13,3,-.7876460256978361,1,14588,8.083414555716528,1,11521,1.480302,2.020515
169,1.000000000000000,1,1,13,4,-.4488945426887364,1,14588,5.020228651685235,1,11521,2.124327,0.7267257
170,1.000000000000000,1,1,13,5,-.4727815465013673,1,2615,3.657512500559826,1,11521,1.742016,2.978578
171,1.000000000000000,1,1,13,6,-.3901919695372414,1,5608,2.506075528655397,1,11664,2.615497,0.7436257
172,1.000000000000000,1,1,13,7,-.4421803573667233,1,8600,1.932762972150307,1,11736,2.328194,2.596577
173,1.000000000000000,1,1,13,8,-.6998936570232263,1,2614,1.635518073770432,1,11369,3.438972,0.7732927
174,1.000000000000000,1,1,13,9,-.8810794548705212,1,8672,1.733048918653088,1,11295,2.906652,2.461477
175,1.000000000000000,1,1,13,10,-.9925978973657974,1,2686,-2.276400681601243,1,11521,2.437495,0.9994186
176,1.000000000000000,1,1,13,11,-.6002794165138211,1,11737,-2.667188523986423,1,11521,2.168741,1.583723
177,1.000000000000000,1,1,13,12,-.2110426308742700,1,11442,-2.446073278029548,1,11521,1.618999,1.186346
178,1.000000000000000,1,1,13,13,-.1179082863557623,1,8229,-2.101918107001122,1,11521,1.501029,1.699738
179,1.000000000000000,1,1,13,14,.1648102760141135,1,14588,-1.770364901914488,1,11522,0.7283436,5.108065
180,1.000000000000000,1,1,13,15,-.1545003740328301E-01,1,11595,-1.477850192862937,1,11593,-1.416257,0.6533582
181,1.000000000000000,1,1,13,16,.4073166302355077E-01,1,8600,-1.371603741268355,1,11522,-0.4070322,1.989611
182,1.000000000000000,1,1,13,17,.5189474378649030,1,14659,.3872187449684455,1,11070,57.21131,0.9340783
183,1.000000000000000,1,1,13,18,-.1759328093356587,1,14659,.5911837249977174,1,9149,1.539185,2.918932
184,1.000000000000000,1,1,13,19,-.1535524543149702E-01,1,8600,.5360622511137042,1,11145,2.276578,0.6695557
185,1.000000000000000,1,1,13,20,-.3695780757552676,1,14659,-1.171940065300273,1,11521,19.69973,0.9999684
186,1.000000000000000,1,1,13,21,.4885054814871071,1,8600,.4217740188399304,1,9216,0.1028525,21.36837
187,1.000000000000000,1,1,13,22,.1323722233470730,1,11581,.5734170740488282,1,9219,-18.12142,0.6207262
188,1.000000000000000,1,1,13,23,-.2788807721246568,1,11654,.3332973569336362,1,9148,-0.5346027,8.641755
189,1.000000000000000,1,1,13,24,-.7484197124151820E-01,1,11727,.1564618276144811,1,9148,2.943164,0.6310374
190,1.000000000000000,1,1,13,25,-.1065523413317147,1,11727,.6136808904200634E-01,1,11797,1.615146,1.050801
191,1.000000000000000,1,1,13,26,-.3145472960168480E-01,1,11799,.4331811868956782E-01,1,11796,2.475704,1.128954
192,1.000000000000000,1,1,13,27,-.4610061027171489E-01,1,11799,-.6019359425467455E-01,1,9148,1.883370,3.549312
193,1.000000000000000,1,1,13,28,.1961196498873782E-01,1,11727,-.3945705761703811E-01,1,9612,0.7937157,2.393936
194,1.000000000000000,1,1,13,29,-.2466855137148122E-02,1,11871,-.3807953662424629E-01,1,9686,0.9951302,1.252392
195,1.000000000000000,1,1,13,30,-.2827152161209046E-02,1,11869,-.3909629157333631E-01,1,9688,1.771715,2.995556
196,1.000000000000000,1,1,13,31,.8529663878572698E-03,1,6695,-.3400180464893721E-01,1,9688,1.499358,0.7614359
197,1.000000000000000,1,1,13,32,-.5491924266914765E-02,1,6694,-.3994303681705281E-01,1,9687,-7.295389,1.192825
198,1.000000000000000,1,1,13,33,-.3845854707615044E-01,1,6621,-.7487508282486466E-01,1,9687,7.956699,0.7294300
199,1.000000000000000,1,1,13,34,.6390325130856282E-01,1,6621,-.1699336920449299E-01,1,9687,-0.4547401,24.53574
200,1.000000000000000,1,1,13,35,-.9737707451708224E-04,1,2212,-.1544479022380294E-01,1,9687,-0.9788421,0.6172154
201,1.000000000000000,1,1,13,36,-.6996766856901240E-03,1,11799,-.1580463160032322E-01,1,9688,-2.929831,2.050793
202,1.000000000000000,1,1,13,37,.5814621887033492E-02,1,6696,.2330752263722089E-01,1,9223,0.8561857,25.93864
203,1.000000000000000,1,1,13,38,.1805472359003791E-01,1,11871,.8381834952965139E-01,1,9148,-94.82474,0.6676778
204,1.000000000000000,1,1,13,39,-.2188324651603919E-01,1,11871,-.9405490840528030E-02,1,9841,-0.1191685,4.401017
205,1.000000000000000,1,1,13,40,.4821126303285512E-02,1,11871,-.1140039065814311E-01,1,9762,-9.937422,0.6720415
206,1.000000000000000,1,1,13,41,-.1236353314669312E-01,1,11871,-.4200355121952790E-02,1,9840,-1.227038,1.363181
207,1.000000000000000,1,1,13,42,.3719261677729511E-03,1,11871,-.4127307355458848E-02,1,9840,-1.297177,0.6862160
208,1.000000000000000,1,1,13,43,.5447986738323475E-02,1,9767,-.2162429851239670E-02,1,11192,-1.792336,82.85586
209,1.000000000000000,1,1,13,44,-.1880847699075038E-03,1,11660,.1171561581703611E-02,1,11585,1.288385,0.6116570
210,1.000000000000000,1,1,13,45,-.1375858398208498E-03,1,11585,.1078673040943971E-02,1,11658,1.208565,4.809940
211,1.000000000000000,1,1,13,46,-.9831100934782128E-04,1,11732,.1029262670588417E-02,1,11732,1.264893,3.255636
212,1.000000000000000,1,1,13,47,-.3199836391234065E-04,1,11732,.1013673731465035E-02,1,11732,2.189792,0.7634983
213,1.000000000000000,1,1,13,48,-.4664002455198629E-02,1,11732,-.1855251150737172E-02,1,11438,155.8777,0.6820459
214,1.000000000000000,1,1,13,49,.8532066726608532E-02,1,11805,.2884923595789835E-02,1,11805,-0.3496826,13.82328
215,1.000000000000000,1,1,13,50,-.4297733170005090E-02,1,11806,.8169891284968202E-03,1,11806,-0.3811539,1.863350
216,1.000000000000000,1,1,13,51,-.5122064316313858E-04,1,11806,.7931399432193874E-03,1,11806,0.4355203,3.363742
217,1.000000000000000,1,1,13,52,-.4553003776519237E-04,1,11806,.7741026423818559E-03,1,11806,14.24005,0.6451956
218,1.000000000000000,1,1,13,53,-.2268724842513367E-03,1,11806,.6705381200631917E-03,1,11806,0.2833064,19.66055
219,1.000000000000000,1,1,13,54,-.2444818243418447E-03,1,11806,.5632309672786658E-03,1,11733,39.23123,0.6183700
220,1.000000000000000,1,1,13,55,-.1585065368305034E-03,1,11806,.4925735622093998E-03,1,11806,1.053872,3.462084
221,1.000000000000000,1,1,13,56,.1238479982669471E-02,1,11806,-.1109147086844825E-02,1,9839,-23.30758,0.8003584
222,1.000000000000000,1,1,13,57,-.1646946588068972E-02,1,11806,.3100344332939579E-03,1,11806,-0.3177425,1.234669
223,1.000000000000000,1,1,13,58,-.7421605785177568E-04,1,11806,.2773324124917186E-03,1,11805,0.9319086,4.349458
224,1.000000000000000,1,1,13,59,-.1777662649755485E-03,1,11806,.1988394454736462E-03,1,11806,7.119071,0.7707777
225,1.000000000000000,1,1,13,60,.2136461855409799E-04,1,11806,.2083899756247289E-03,1,11806,1.335566,3.036903
226,1.000000000000000,1,1,13,61,-.1860092460415373E-04,1,11806,.2001945440918133E-03,1,11806,0.4712346,2.194310
227,1.000000000000000,1,1,13,62,-.9422783598301681E-04,1,11806,.1587615010012578E-03,1,11806,11.76776,0.7160230
228,1.000000000000000,1,1,13,63,-.3977749698987000E-04,1,11806,-.1843603318264430E-03,1,9839,0.3933703,18.49146
229,1.000000000000000,1,1,13,64,-.6798366988558063E-04,1,11806,.1115553924600154E-03,1,11806,10.83105,0.6637743
230,1.000000000000000,1,1,13,65,-.1115234481349983E-03,1,11806,.6269077948639599E-04,1,11806,6.710898,0.6533001
