time,DD_0_7_4,DD_2_7_4
1.000000000000,4.862080113,4.325024156
31.41666666667,4.874350650,4.391971572
61.83333333333,4.880066012,4.416583499
92.25000000000,4.883730629,4.433139899
122.6666666667,4.886334045,4.445164496
153.0833333333,4.888328765,4.454522343
183.5000000000,4.889913765,4.462021489
213.9166666667,4.891217708,4.468232634
244.3333333333,4.892287056,4.473328960
274.7500000000,4.893208668,4.477750749
305.1666666667,4.893964600,4.481374328
335.5833333333,4.894668279,4.484769723
366.0000000000,4.895246815,4.487542568
