,STO-SS_IN,WEL_IN,CHD_IN,TOTAL_IN,STO-SS_OUT,WEL_OUT,CHD_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2026-01-30 22:52:00,0.0,78840000.0,0.0,78840000.0,0.0,0.0,78840000.0,78840000.0,0.00036275,0.0
2033-07-30 10:52:00,0.0,78840000.0,236520000.0,315360000.0,0.0,236520000.0,78840000.0,315360000.0,-0.00023842,-0.0
