,Unnamed: 0,hk1,rch0,ne1,rch1
0,0,1.5,0.5,0.01,1.0
1,1,1.5,0.5384615384615384,0.01,1.0
2,2,1.5,0.5769230769230769,0.01,1.0
3,3,1.5,0.6153846153846154,0.01,1.0
4,4,1.5,0.6538461538461539,0.01,1.0
5,5,1.5,0.6923076923076923,0.01,1.0
6,6,1.5,0.7307692307692308,0.01,1.0
7,7,1.5,0.7692307692307693,0.01,1.0
8,8,1.5,0.8076923076923077,0.01,1.0
9,9,1.5,0.8461538461538461,0.01,1.0
10,10,1.5,0.8846153846153846,0.01,1.0
11,11,1.5,0.9230769230769232,0.01,1.0
12,12,1.5,0.9615384615384616,0.01,1.0
13,13,1.5,1.0,0.01,1.0
14,14,1.5,1.0384615384615383,0.01,1.0
15,15,1.5,1.076923076923077,0.01,1.0
16,16,1.5,1.1153846153846154,0.01,1.0
17,17,1.5,1.1538461538461535,0.01,1.0
18,18,1.5,1.1923076923076923,0.01,1.0
19,19,1.5,1.2307692307692308,0.01,1.0
20,20,1.5,1.2692307692307692,0.01,1.0
21,21,1.5,1.3076923076923077,0.01,1.0
22,22,1.5,1.3461538461538465,0.01,1.0
23,23,1.5,1.3846153846153846,0.01,1.0
24,24,1.5,1.4230769230769231,0.01,1.0
25,25,1.5,1.4615384615384617,0.01,1.0
26,26,1.5,1.5,0.01,1.0
27,27,1.5,1.5384615384615383,0.01,1.0
28,28,1.5,1.576923076923077,0.01,1.0
29,29,1.5,1.6153846153846154,0.01,1.0
30,30,1.5,1.653846153846154,0.01,1.0
31,31,1.5,1.6923076923076923,0.01,1.0
32,32,1.5,1.7307692307692308,0.01,1.0
33,33,1.5,1.7692307692307694,0.01,1.0
34,34,1.5,1.807692307692308,0.01,1.0
35,35,1.5,1.8461538461538465,0.01,1.0
36,36,1.5,1.8846153846153848,0.01,1.0
37,37,1.5,1.9230769230769231,0.01,1.0
38,38,1.5,1.9615384615384617,0.01,1.0
39,39,1.5,2.0,0.01,1.0
40,40,1.8461538461538465,0.5,0.01,1.0
41,41,1.8461538461538465,0.5384615384615384,0.01,1.0
42,42,1.8461538461538465,0.5769230769230769,0.01,1.0
43,43,1.8461538461538465,0.6153846153846154,0.01,1.0
44,44,1.8461538461538465,0.6538461538461539,0.01,1.0
45,45,1.8461538461538465,0.6923076923076923,0.01,1.0
46,46,1.8461538461538465,0.7307692307692308,0.01,1.0
47,47,1.8461538461538465,0.7692307692307693,0.01,1.0
48,48,1.8461538461538465,0.8076923076923077,0.01,1.0
49,49,1.8461538461538465,0.8461538461538461,0.01,1.0
50,50,1.8461538461538465,0.8846153846153846,0.01,1.0
51,51,1.8461538461538465,0.9230769230769232,0.01,1.0
52,52,1.8461538461538465,0.9615384615384616,0.01,1.0
53,53,1.8461538461538465,1.0,0.01,1.0
54,54,1.8461538461538465,1.0384615384615383,0.01,1.0
55,55,1.8461538461538465,1.076923076923077,0.01,1.0
56,56,1.8461538461538465,1.1153846153846154,0.01,1.0
