time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
1.000000000000,-282.1197039877561,-6051.035645687522,-2733.207501276141,-71938.72272700736
1.083333333333,-306.4562259757957,-7007.175166376492,-3099.024261031012,-86326.98462211748
1.166666666667,-287.3088116215295,-5960.073218199221,-2811.812583784006,-70654.16274576334
1.250000000000,-265.6408887910750,-5235.691108743493,-2486.248298329628,-59803.04861144026
1.333333333333,-260.0964967311148,-5306.707298491606,-2402.687962273542,-60873.73657775141
1.416666666667,-277.9518661104341,-6172.772993511765,-2670.803319233846,-73870.01862967417
1.500000000000,-300.7134675751799,-6921.622417192828,-3012.970121700931,-85109.84487453169
1.583333333333,-308.3432079456646,-6912.348498273113,-3127.982272358579,-84976.38500199064
1.666666666667,-291.4474560341544,-6051.820469505540,-2874.392994622242,-72068.50504107079
1.750000000000,-266.0882572458448,-5177.613801095240,-2493.286344473025,-58950.03783879706
1.833333333333,-256.1404675577244,-5117.375724910202,-2343.481592228661,-58040.53526857281
1.916666666667,-270.9184386810120,-5927.851242765837,-2565.270565966300,-70196.27192572573
2.000000000000,-294.9794134465621,-6787.309790635712,-2926.887764701726,-83091.67790095472
2.083333333333,-306.2184561444321,-6927.145139868762,-3096.124988743739,-85193.38861508148
2.166666666667,-293.6272170709191,-6198.805197866046,-2907.261994546113,-74268.14870431836
2.250000000000,-271.1258712355946,-5375.313665447780,-2569.177405243291,-61910.68686169284
2.333333333333,-258.9750423743918,-5173.287485415938,-2386.350955118041,-58873.95807205712
2.416666666667,-271.2108790193931,-5889.380797505657,-2569.957038603045,-69612.96010608008
2.500000000000,-294.6369709544811,-6753.272773226980,-2922.016325813651,-82573.86826397396
2.583333333333,-308.8827100837787,-7028.101570553390,-3136.416144791106,-86700.26232372224
2.666666666667,-298.4311531581495,-6354.445636203927,-2979.739977596408,-76595.48065627381
2.750000000000,-273.0023435559261,-5381.012638793910,-2597.719542838726,-61988.40673026841
2.833333333333,-256.0736117460256,-5013.168179217884,-2343.094096613796,-56463.03712662493
2.916666666667,-264.6624223218547,-5648.153635497707,-2471.844008343659,-65983.70899542733
3.000000000000,-288.3909512583096,-6588.163723348256,-2828.381497425293,-80085.22341813911
3.083333333333,-305.7010093166980,-7003.598232547105,-3088.810965091781,-86320.36737903893
3.166666666667,-299.2714221173013,-6461.712193467412,-2992.605183914525,-78192.52625772671
3.250000000000,-277.3763988950204,-5572.944582828025,-2663.751427645837,-64856.20532134821
3.333333333333,-260.0783262342860,-5130.506849659259,-2403.654136344048,-58212.25548493961
3.416666666667,-265.5317345309399,-5624.694426773667,-2485.323729118128,-65620.45724080141
3.500000000000,-288.1162486419541,-6548.511012484630,-2824.644237962967,-79478.41695321450
3.583333333333,-307.0535495846801,-7049.615047479768,-3109.488171179969,-86998.55741221132
3.666666666667,-304.0519702100006,-6630.953390660831,-3064.789118302519,-80719.80710812344
3.750000000000,-280.2690775094806,-5623.806108050110,-2707.610803845205,-65608.06571395523
3.833333333333,-258.7198876816613,-5021.446441957147,-2383.629504478617,-56564.71741641311
3.916666666667,-259.6652981027353,-5389.272006912934,-2397.504140620422,-62076.32685768323
4.000000000000,-281.5566731114109,-6355.874254777214,-2726.322770177961,-76575.25034869494
4.083333333333,-302.6447894209875,-6974.708472929800,-3043.435437627221,-85861.30977909616
4.166666666667,-303.6708383571550,-6703.147171935732,-3059.255986946805,-81789.87537449927
4.250000000000,-283.8715872987623,-5803.691555120150,-2761.981446055778,-68294.82455151262
4.333333333333,-263.5088308677987,-5185.122396523862,-2455.894729188423,-59009.42426773502
4.416666666667,-261.3111994875480,-5392.812579515419,-2422.587119354897,-62119.11104486207
4.500000000000,-281.3437058592338,-6308.918543849593,-2723.451833600774,-75860.23585471055
4.583333333333,-303.1672273607060,-6984.125906898352,-3051.576645042280,-85991.80888872869
4.666666666667,-307.6442818152232,-6848.807846595192,-3119.239278070956,-83964.66309655532
4.750000000000,-287.8476166813306,-5909.282564960863,-2822.041774270767,-69869.08956545200
4.833333333333,-263.3807792011788,-5115.797640057946,-2454.305470484322,-57959.57093976955
4.916666666667,-256.8155066705911,-5194.338794208630,-2355.325666917327,-59130.95418118806
5.000000000000,-274.4036610039752,-6079.160202560261,-2619.386330056090,-72401.69635698435
5.083333333333,-297.8840789153959,-6871.265612459145,-2972.339871670932,-84286.38938618303
5.166666666667,-305.8677694637972,-6874.137426386447,-3092.680181053742,-84332.62120177255
5.250000000000,-290.6674052803348,-6076.960593756672,-2864.578673340855,-72373.53593898288
5.333333333333,-268.4101762710608,-5304.351584066135,-2530.111696146676,-60778.43082873621
5.416666666667,-259.4240121261038,-5238.585188301378,-2394.812531669509,-59785.59042440435
5.500000000000,-274.3520905039062,-6028.692518534121,-2618.894567782751,-71635.32975847927
