,site,time,value
0,TRGW-2-2-15,3652.5,35.15563254
1,TRGW-2-2-15,3653.5,35.15502426
2,TRGW-2-2-15,3654.5,35.15585171
3,TRGW-2-2-15,3655.5,35.15543843
4,TRGW-2-2-15,3656.5,35.15374572
5,TRGW-2-2-15,3657.5,35.15379372
6,TRGW-2-2-15,3658.5,35.15421159
7,TRGW-2-2-15,3659.5,35.15302313
8,TRGW-2-2-15,3660.5,35.15116805
9,TRGW-2-2-15,3661.5,35.15071594
10,TRGW-2-2-15,3662.5,35.15057914
11,TRGW-2-2-15,3663.5,35.14961166
12,TRGW-2-2-15,3664.5,35.14899293
13,TRGW-2-2-15,3665.5,35.14837337
14,TRGW-2-2-15,3666.5,35.14740674
15,TRGW-2-2-15,3667.5,35.14774433
16,TRGW-2-2-15,3668.5,35.14680682
17,TRGW-2-2-15,3669.5,35.146082
18,TRGW-2-2-15,3670.5,35.14550963
19,TRGW-2-2-15,3671.5,35.14430463
20,TRGW-2-2-15,3672.5,35.14365927
21,TRGW-2-2-15,3673.5,35.14232166
22,TRGW-2-2-15,3674.5,35.14151645
23,TRGW-2-2-15,3675.5,35.14262312
24,TRGW-2-2-15,3676.5,35.14149049
25,TRGW-2-2-15,3677.5,35.14024324
26,TRGW-2-2-15,3678.5,35.14042157
27,TRGW-2-2-15,3679.5,35.13959337
28,TRGW-2-2-15,3680.5,35.13905227
29,TRGW-2-2-15,3681.5,35.13829908
30,TRGW-2-2-15,3682.5,35.13823325
31,TRGW-2-2-15,3683.5,35.1378035
32,TRGW-2-2-15,3684.5,35.1382848
33,TRGW-2-2-15,3685.5,35.13668899
34,TRGW-2-2-15,3686.5,35.13606774
35,TRGW-2-2-15,3687.5,35.13633975
36,TRGW-2-2-15,3688.5,35.13566486
37,TRGW-2-2-15,3689.5,35.13642386
38,TRGW-2-2-15,3690.5,35.13462386
39,TRGW-2-2-15,3691.5,35.13437021
40,TRGW-2-2-15,3692.5,35.13430651
41,TRGW-2-2-15,3693.5,35.13361178
42,TRGW-2-2-15,3694.5,35.13322152
43,TRGW-2-2-15,3695.5,35.13290582
44,TRGW-2-2-15,3696.5,35.13201037
45,TRGW-2-2-15,3697.5,35.13164175
46,TRGW-2-2-15,3698.5,35.1327585
47,TRGW-2-2-15,3699.5,35.13433251
48,TRGW-2-2-15,3700.5,35.13735179
49,TRGW-2-2-15,3701.5,35.13881142
