1,r1,r2,r5,r10,r20,r50,r100
0.03831380695111,-6.55686999999816e-06,-1.3157009999997978e-05,-3.3649539999997154e-05,-7.270679999995741e-05,-0.00018868709999999775,-0.0012303203999999152,-0.007917151999999733
0.07854330424977,-1.146620000000171e-05,-2.299808999999247e-05,-5.864489999998432e-05,-0.00012550289999998035,-0.00031672710000003185,-0.0019439459999999464,-0.012175093999999831
0.12078427641339999,-1.5662270000003312e-05,-3.140747000000485e-05,-7.996979999999251e-05,-0.00017030559999998106,-0.00042356189999996977,-0.002513068999999979,-0.015485829000000395
0.1651372971851,-1.9453630000003342e-05,-3.900494000000018e-05,-9.92217000000007e-05,-0.00021065429999999816,-0.000519021599999954,-0.003010504999999969,-0.01834207200000007
0.2117079689955,-2.298554999999704e-05,-4.608210000000591e-05,-0.00011714719999997465,-0.0002481668999999853,-0.0006073440000000513,-0.0034644149999998874,-0.02092649300000013
0.2606071743964,-2.633994000000731e-05,-5.280319999999457e-05,-0.000134165600000017,-0.0002837442000000294,-0.000690826000000061,-0.003889211000000087,-0.023330308000000383
0.3119513400673,-2.9568430000000232e-05,-5.92717999999947e-05,-0.00015054079999998402,-0.00031794959999996084,-0.0007708790000001547,-0.0042934419999998,-0.025606700999999954
0.3658627140218,-3.270611999999819e-05,-6.555830000000689e-05,-0.0001664519999999836,-0.00035116429999999116,-0.0008484499999999312,-0.00468267800000019,-0.027789866999999857
0.42246965667399994,-3.577825999999786e-05,-7.171340000000203e-05,-0.00018202790000002196,-0.0003836614000000266,-0.0009242090000000092,-0.005060789999999926,-0.029903336999999308
0.4819069464588,-3.880379999999942e-05,-7.777490000000255e-05,-0.00019736520000001624,-0.0004156453999999872,-0.0009986560000001254,-0.005430608999999753,-0.03196414499999911
0.5443161007328,-4.179753000000015e-05,-8.377259999999779e-05,-0.00021253899999996995,-0.0004472752999999316,-0.001072176999999952,-0.005794282999999761,-0.033985115000000066
0.6098457127206,-4.4771260000004906e-05,-8.973020000000147e-05,-0.00022760949999998947,-0.00047867780000009075,-0.0011450769999997445,-0.0061534939999996485,-0.035976208999999315
0.6786518053077,-4.773470999999219e-05,-9.566710000000114e-05,-0.00024262610000000753,-0.0005099568999999624,-0.0012176060000000655,-0.006509594999999646,-0.03794537499999945
0.7508982025241999,-5.0696050000000915e-05,-0.0001015995999999967,-0.0002576302999999884,-0.0005411999999999778,-0.0012899710000000009,-0.006863698000000168,-0.039899091000000775
0.8267569196014999,-5.366230000000954e-05,-0.00010754180000001855,-0.00027265750000005085,-0.0005724820000000547,-0.0013623510000001365,-0.007216733999999836,-0.04184274999999987
0.9064085725327001,-5.663940000001817e-05,-0.00011350579999999666,-0.00028773869999998425,-0.0006038659999998974,-0.0014348969999997824,-0.0075694989999999795,-0.043780880000000855
0.9900428081105,-5.9632900000004645e-05,-0.00011950249999997421,-0.0003029011000000269,-0.0006354100000001417,-0.001507744000000047,-0.007922675999999518,-0.045717389999999636
1.077858755467,-6.264739999999394e-05,-0.00012554149999999958,-0.0003181691999999507,-0.0006671649999999765,-0.0015810119999997568,-0.008276869999999936,-0.04765566999999915
1.170065500192,-6.568760000001065e-05,-0.00013163149999999464,-0.0003335650000000148,-0.0006991779999999947,-0.0016548069999997028,-0.00863261300000015,-0.04959870000000033
1.266882582152,-6.875719999999662e-05,-0.00013778060000001376,-0.00034910920000000636,-0.0007314899999999458,-0.0017292280000000965,-0.008990387000000488,-0.05154910999999873
1.3685405182109998,-7.186010000000131e-05,-0.000143996199999984,-0.00036482029999998153,-0.0007641410000000168,-0.0018043650000000577,-0.009350622999999836,-0.053509259999998116
1.475281351073,-7.499980000001075e-05,-0.00015028540000000708,-0.00038071630000004186,-0.0007971679999999731,-0.0018803019999999449,-0.009713721000000064,-0.05548132000000039
1.587359225577,-7.817949999999046e-05,-0.00015665490000001288,-0.00039681369999999133,-0.0008306059999999352,-0.001957119999999868,-0.010080046999999537,-0.05746721000000066
1.705040993807,-8.140249999999231e-05,-0.00016311079999997702,-0.0004131287000000254,-0.000864487000000122,-0.002034891000000233,-0.010449942000000101,-0.05946873000000075
