time,elapsed_seconds,message
08:22:23,1.04e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.04e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.29e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.28e-05,commencing check of parameter bounds and gradients
08:22:23,1.16e-05,commencing calculation of upgrade vector
08:22:23,0.0004343,forming JtQJ matrix
08:22:23,1.6e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.2e-06,starting REDSVD
08:22:23,1.23e-05,retrieving REDSVD components
08:22:23,1.03e-05,triming REDSVD components to 1elements
08:22:23,8.3e-06,done REDSVD
08:22:23,1.25e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.7e-06,JS
08:22:23,8.8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.55e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.5e-06,starting REDSVD
08:22:23,1.18e-05,retrieving REDSVD components
08:22:23,9.7e-06,triming REDSVD components to 1elements
08:22:23,8e-06,done REDSVD
08:22:23,7.7e-06,SVD factorization complete
08:22:23,7.18e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.05e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.12e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.18e-05,commencing check of parameter bounds
08:22:23,8.4e-06,limiting out of bounds pars
08:22:23,1.43e-05,change limit/bound enforement for lambda 1: ,, scaling factor: 1
08:22:23,8.2e-06,checking for denormal floating point values
08:22:23,9.1e-06,transforming upgrade pars to model pars
08:22:23,1.03e-05,writing upgrade vector to csv file
08:22:23,0.0003177,beginning upgrade vector calculations, lambda = 10
08:22:23,0.001167,commencing calculation of upgrade vector
08:22:23,0.0004805,forming JtQJ matrix
08:22:23,2.04e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.8e-06,starting REDSVD
08:22:23,1.28e-05,retrieving REDSVD components
08:22:23,1.06e-05,triming REDSVD components to 1elements
08:22:23,8.6e-06,done REDSVD
08:22:23,1.24e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.7e-06,JS
08:22:23,8.6e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.55e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.1e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.4e-06,starting REDSVD
08:22:23,1.23e-05,retrieving REDSVD components
08:22:23,9.7e-06,triming REDSVD components to 1elements
08:22:23,8.1e-06,done REDSVD
08:22:23,7.6e-06,SVD factorization complete
08:22:23,7.24e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.04e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.01e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.21e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.21e-05,commencing check of parameter bounds and gradients
08:22:23,1.16e-05,commencing calculation of upgrade vector
08:22:23,0.0004324,forming JtQJ matrix
08:22:23,1.63e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.2e-06,starting REDSVD
08:22:23,1.23e-05,retrieving REDSVD components
08:22:23,1.02e-05,triming REDSVD components to 1elements
08:22:23,8.2e-06,done REDSVD
08:22:23,1.22e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.6e-06,JS
08:22:23,8.6e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.54e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.1e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.4e-06,starting REDSVD
08:22:23,1.18e-05,retrieving REDSVD components
08:22:23,1e-05,triming REDSVD components to 1elements
08:22:23,8.2e-06,done REDSVD
08:22:23,7.7e-06,SVD factorization complete
08:22:23,7.16e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.03e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.1e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.17e-05,commencing check of parameter bounds
08:22:23,8.4e-06,limiting out of bounds pars
08:22:23,1.42e-05,change limit/bound enforement for lambda 10: ,, scaling factor: 1
08:22:23,7.9e-06,checking for denormal floating point values
08:22:23,8.9e-06,transforming upgrade pars to model pars
08:22:23,1.01e-05,writing upgrade vector to csv file
08:22:23,0.000291,beginning upgrade vector calculations, lambda = 100
08:22:23,5.51e-05,commencing calculation of upgrade vector
08:22:23,0.0004381,forming JtQJ matrix
08:22:23,1.65e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.3e-06,starting REDSVD
08:22:23,1.27e-05,retrieving REDSVD components
08:22:23,1.04e-05,triming REDSVD components to 1elements
08:22:23,8.5e-06,done REDSVD
08:22:23,1.23e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.1e-06,JS
08:22:23,8.7e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.57e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.5e-06,starting REDSVD
08:22:23,1.2e-05,retrieving REDSVD components
08:22:23,9.8e-06,triming REDSVD components to 1elements
08:22:23,8.2e-06,done REDSVD
08:22:23,7.6e-06,SVD factorization complete
08:22:23,7.19e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.04e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.3e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.43e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.25e-05,commencing check of parameter bounds and gradients
08:22:23,1.14e-05,commencing calculation of upgrade vector
08:22:23,0.0004318,forming JtQJ matrix
08:22:23,1.6e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.2e-06,starting REDSVD
08:22:23,1.31e-05,retrieving REDSVD components
08:22:23,1.02e-05,triming REDSVD components to 1elements
08:22:23,8.3e-06,done REDSVD
08:22:23,1.21e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.8e-06,JS
08:22:23,8.8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.58e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.4e-06,starting REDSVD
08:22:23,1.19e-05,retrieving REDSVD components
08:22:23,9.9e-06,triming REDSVD components to 1elements
08:22:23,8.2e-06,done REDSVD
08:22:23,7.6e-06,SVD factorization complete
08:22:23,7.12e-05,commencing linear algebra multiplication to compute ugrade
08:22:23,1.04e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.9e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.11e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.19e-05,commencing check of parameter bounds
08:22:23,8.3e-06,limiting out of bounds pars
08:22:23,1.43e-05,change limit/bound enforement for lambda 100: ,, scaling factor: 1
08:22:23,7.9e-06,checking for denormal floating point values
08:22:23,8.9e-06,transforming upgrade pars to model pars
08:22:23,9.7e-06,writing upgrade vector to csv file
08:22:23,0.0002934,beginning upgrade vector calculations, lambda = 1000
08:22:23,5.44e-05,commencing calculation of upgrade vector
08:22:23,0.0004318,forming JtQJ matrix
08:22:23,1.6e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.3e-06,starting REDSVD
08:22:23,1.29e-05,retrieving REDSVD components
08:22:23,1.01e-05,triming REDSVD components to 1elements
08:22:23,8.4e-06,done REDSVD
08:22:23,1.22e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.8e-06,JS
08:22:23,8.7e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.57e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.4e-06,starting REDSVD
08:22:23,1.17e-05,retrieving REDSVD components
