,0,1
0,186801.24223602485,46956.52173913044
1,179037.26708074534,52049.689440993796
2,172981.36645962734,55900.62111801243
3,167236.0248447205,59875.77639751553
4,163198.75776397513,63354.037267080756
5,156366.4596273292,68198.75776397517
6,150931.67701863355,72298.13664596275
7,145341.6149068323,75279.50310559008
8,139596.27329192546,76273.29192546585
9,135714.2857142857,76645.96273291927
10,132919.2546583851,77515.52795031057
11,126863.35403726708,80621.11801242238
12,121894.4099378882,82857.14285714287
13,114596.27329192545,85714.28571428572
14,106987.57763975156,88695.65217391305
15,102329.19254658384,89316.7701863354
16,94565.21739130434,90683.2298136646
17,88043.47826086955,90807.45341614909
18,79503.10559006211,92670.80745341616
19,75621.11801242236,93913.04347826088
20,66925.4658385093,96024.8447204969
21,56677.01863354038,97639.75155279505
22,49068.322981366466,96894.40993788821
23,38975.155279503095,95403.72670807455
24,31677.018633540363,93043.47826086958
25,23757.763975155278,87577.6397515528
26,18478.260869565216,81614.90683229815
27,11645.962732919252,77391.30434782608
28,6211.180124223597,70559.00621118014
29,4347.826086956513,64223.60248447206
30,1863.3540372670723,60372.67080745342
31,2639.7515527950245,56024.8447204969
32,1552.7950310558936,52795.031055900625
33,776.3975155279411,41863.35403726709
34,2018.6335403726673,38136.645962732924
35,6055.900621118013,33416.14906832298
36,13354.037267080741,27826.08695652174
37,25776.397515527944,20869.565217391308
38,34161.49068322981,17639.751552795038
39,46428.57142857143,14409.93788819875
40,56366.45962732919,11304.347826086949
41,64596.27329192546,9813.664596273291
42,85559.00621118012,6832.298136645956
43,98291.9254658385,5093.167701863346
44,108540.37267080744,4347.826086956526
45,120031.05590062111,4223.6024844720405
46,129658.3850931677,4347.826086956526
47,135403.72670807454,5590.062111801232
48,146739.1304347826,12670.807453416159
49,156366.4596273292,19378.881987577628
50,163043.47826086957,21987.577639751555
51,169409.93788819876,24347.826086956527
52,178260.86956521738,29813.66459627329
53,183385.09316770182,31801.242236024846
54,186801.24223602485,35776.397515527955
