,#k,i,j,head,boundname
635,4,64,1,306.322,south
636,4,64,2,306.113,south
637,4,64,3,305.898,south
638,4,64,4,305.673,south
639,4,64,5,305.438,south
640,4,64,6,305.193,south
641,4,64,7,304.94,south
642,4,64,8,304.677,south
643,4,64,9,304.404,south
644,4,64,10,304.119,south
645,4,64,11,303.828,south
646,4,64,12,303.527,south
647,4,64,13,303.218,south
648,4,64,14,302.895,south
649,4,64,15,302.567,south
650,4,64,16,302.228,south
651,4,64,17,301.881,south
652,4,64,18,301.525,south
653,4,64,19,301.159,south
654,4,64,20,300.777,south
655,4,64,21,300.389,south
656,4,64,22,299.99,south
657,4,64,23,299.577,south
658,4,64,24,299.154,south
659,4,64,25,298.719,south
660,4,64,26,298.273,south
661,4,64,27,297.817,south
662,4,64,28,297.359,south
663,4,64,29,296.902,south
664,4,64,30,296.475,south
665,4,64,31,296.051,south
666,4,64,32,295.642,south
667,4,64,33,295.23,south
668,4,64,34,294.83,south
669,4,64,35,294.421,south
670,4,64,36,294.011,south
671,4,64,37,293.599,south
672,4,64,38,293.2,south
673,4,64,39,292.797,south
674,4,64,40,292.407,south
675,4,64,41,292.007,south
676,4,64,42,291.62,south
677,4,64,43,291.218,south
678,4,64,44,290.827,south
679,4,64,45,290.428,south
680,4,64,46,290.041,south
681,4,64,47,289.653,south
682,4,64,48,289.277,south
683,4,64,49,288.902,south
684,4,64,50,288.532,south
685,4,64,51,288.166,south
686,4,64,52,287.801,south
687,4,64,53,287.449,south
688,4,64,54,287.107,south
689,4,64,55,286.783,south
690,4,64,56,286.463,south
691,4,64,57,286.158,south
692,4,64,58,285.862,south
693,4,64,59,285.575,south
694,4,64,60,285.284,south
695,4,64,61,285.005,south
696,4,64,62,284.709,south
697,4,64,63,284.435,south
698,4,64,64,284.149,south
699,4,64,65,283.875,south
700,4,64,66,283.589,south
701,4,64,67,283.297,south
702,4,1,2,315.377,north
703,4,1,3,315.299,north
704,4,1,4,315.218,north
705,4,1,5,315.125,north
706,4,1,6,315.025,north
707,4,1,7,314.916,north
708,4,1,8,314.801,north
709,4,1,9,314.672,north
710,4,1,10,314.539,north
711,4,1,11,314.385,north
712,4,1,12,314.228,north
713,4,1,13,314.061,north
714,4,1,14,313.897,north
715,4,1,15,313.736,north
716,4,1,16,313.577,north
717,4,1,17,313.415,north
718,4,1,18,313.249,north
719,4,1,19,313.079,north
720,4,1,20,312.908,north
721,4,1,21,312.727,north
722,4,1,22,312.539,north
723,4,1,23,312.345,north
724,4,1,24,312.148,north
725,4,1,25,311.939,north
726,4,1,26,311.725,north
727,4,1,27,311.503,north
728,4,1,28,311.272,north
729,4,1,29,311.031,north
730,4,1,30,310.785,north
731,4,1,31,310.525,north
732,4,1,32,310.262,north
733,4,1,33,309.982,north
734,4,1,34,309.69,north
735,4,1,35,309.387,north
736,4,1,36,309.078,north
737,4,1,37,308.749,north
738,4,1,38,308.414,north
739,4,1,39,308.07,north
740,4,1,40,307.724,north
741,4,1,41,307.366,north
742,4,1,42,307.014,north
743,4,1,43,306.641,north
744,4,1,44,306.269,north
745,4,1,45,305.883,north
746,4,1,46,305.494,north
747,4,1,47,305.102,north
748,4,1,48,304.728,north
749,4,1,49,304.352,north
750,4,1,50,303.994,north
751,4,1,51,303.629,north
752,4,1,52,303.268,north
753,4,1,53,302.91,north
754,4,1,54,302.561,north
755,4,1,55,302.214,north
756,4,1,56,301.869,north
757,4,1,57,301.528,north
758,4,1,58,301.187,north
759,4,1,59,300.848,north
760,4,1,60,300.512,north
761,4,1,61,300.176,north
762,4,1,62,299.838,north
763,4,1,63,299.5,north
764,4,1,64,299.16,north
765,4,1,65,298.815,north
766,4,1,66,298.469,north
767,4,1,67,298.117,north
