time,WELL-P1_LN,WELL-P2_LN,WELL-P3_LN,WELL-P4_LN,WELL-P5_LN,WELL-P6_LN,WELL-P7_LN,WELL-P8_LN,WELL-P9_LN,WELL-P10_LN,WELL-P11_LN,WELL-R1_LN,WELL-R2_LN,WELL-R3_LN,WELL-R4_LN,WELL-R5_LN,WELL-R6_LN,WELL-R7_LN,WELL-R8_LN,WELL-R9_LN,WELL-R10_LN,WELL-P12_LN,WELL-S,WELL-P1_EX,WELL-P2_EX,WELL-P3_EX,WELL-P4_EX,WELL-R1_EX,WELL-R2_EX,WELL-R3_EX,WELL-R4_EX,WELL-R5_EX,WELL-P1_SKY,WELL-P2_SKY,WELL-P3_SKY,WELL-P4_SKY,WELL-R1_SKY,WELL-R2_SKY,WELL-R3_SKY,WELL-R4_SKY,WELL-PC2_AMS,WELL-PROF_P2,WELL-PC3_AMS,WELL-P1_S1,WELL-P2_S1,WELL-P3_S1,WELL-P4_S1,WELL-R1_S1,WELL-R2_S1,WELL-R3_S1,WELL-R4_S1,WELL-636,WELL-637,WELL-826,WELL-828,WELL-830,WELL-833,WELL-838,WELL-878,WELL-2503,WELL-2505,WELL-2550,WELL-2551,WELL-2559,WELL-4740,WELL-4741,WELL-5196,WELL-21/5,WELL-21/6,WELL-5352/1-2,WELL-21/14,WELL-21/16,WELL-5257/1,WELL-5257/2,WELL-5426/P1-P2,WELL-5426/R1-R2-R3,WELL-5600/P1,WELL-5600/P2,WELL-5600/P3,WELL-5600/R1,WELL-5600/R2,WELL-5600/R3,WELL-5600/R4,WELL-5600/SCA,WELL-5636/1,WELL-5636/2,WELL-5636/3,WELL-5686/P1,WELL-5686/P2,WELL-5686/R1,WELL-5686/R2,WELL-5686/SCA,WELL-5700/P1,WELL-5700/R1,WELL-5700/SCA,WELL-5740/P1,WELL-5740/P2,WELL-5740/P3,WELL-5740/P4,WELL-5740/P5,WELL-5740/P6,WELL-5740/R1,WELL-5740/R2,WELL-5740/R3,WELL-5740/R4,WELL-5740/R5,WELL-5740/R6,WELL-5740/R7,WELL-5740/R8,WELL-5883/SCA,WELL-5884/2,WELL-5884/3,WELL-80/1,WELL-80/2,WELL-80/3,WELL-80/4,WELL-80/5,WELL-80/6,WELL-80/7,WELL-80/8,WELL-82/1,WELL-82/2,WELL-82/3,WELL-82/4,WELL-SC_BONF,WELL-6,WELL-77,WELL-78,WELL-81,WELL-5814/1,WELL-5814/2,WELL-P3_S2,WELL-P2_S2,WELL-P1_S2,WELL-R1_S2,WELL-R2_S2,WELL-R3_S2,WELL-R4_S2,WELL-19/16,WELL-19/18,WELL-19/19,WELL-19/20,WELL-19/21
339754363.2838,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.500000000E-02,-0.500000000E-02,-0.200000000E-01,-0.214000000E-01,-0.300000000E-02,-0.500000000E-01,0.00000000,0.00000000,-0.500000000E-02,0.00000000,-0.100000000E-01,-0.800000000E-02,-0.120000000E-01,-0.225000000E-01,-0.225000000E-01,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,-0.800000000E-02,-0.800000000E-02,-0.800000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.240000000E-01,-0.214000000E-01,0.214000000E-01,0.214000000E-01,-0.600000000E-02,-0.600000000E-02,0.600000000E-02,0.600000000E-02,0.120000000E-01,0.00000000,0.00000000,0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.600000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.350000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02
713484162.8959,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.500000000E-02,-0.500000000E-02,-0.200000000E-01,-0.214000000E-01,-0.300000000E-02,-0.500000000E-01,0.00000000,0.00000000,-0.500000000E-02,0.00000000,-0.100000000E-01,-0.800000000E-02,-0.120000000E-01,-0.225000000E-01,-0.225000000E-01,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,-0.800000000E-02,-0.800000000E-02,-0.800000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.240000000E-01,-0.214000000E-01,0.214000000E-01,0.214000000E-01,-0.600000000E-02,-0.600000000E-02,0.600000000E-02,0.600000000E-02,0.120000000E-01,0.00000000,0.00000000,0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.600000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.350000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02
1124586942.469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.500000000E-02,-0.500000000E-02,-0.200000000E-01,-0.214000000E-01,-0.300000000E-02,-0.500000000E-01,0.00000000,0.00000000,-0.500000000E-02,0.00000000,-0.100000000E-01,-0.800000000E-02,-0.120000000E-01,-0.225000000E-01,-0.225000000E-01,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,-0.800000000E-02,-0.800000000E-02,-0.800000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.240000000E-01,-0.214000000E-01,0.214000000E-01,0.214000000E-01,-0.600000000E-02,-0.600000000E-02,0.600000000E-02,0.600000000E-02,0.120000000E-01,0.00000000,0.00000000,0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.600000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.350000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02
1576800000.000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.500000000E-02,-0.500000000E-02,-0.200000000E-01,-0.214000000E-01,-0.300000000E-02,-0.500000000E-01,0.00000000,0.00000000,-0.500000000E-02,0.00000000,-0.100000000E-01,-0.800000000E-02,-0.120000000E-01,-0.225000000E-01,-0.225000000E-01,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,-0.800000000E-02,-0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,-0.800000000E-02,-0.800000000E-02,-0.800000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.600000000E-02,0.240000000E-01,-0.214000000E-01,0.214000000E-01,0.214000000E-01,-0.600000000E-02,-0.600000000E-02,0.600000000E-02,0.600000000E-02,0.120000000E-01,0.00000000,0.00000000,0.800000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.600000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.350000000E-02,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02,-0.950000000E-02
