obsnme,obsval,weight,obgnme,datetime,oname,otype,usecol
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-03-02,2616.31262888507,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-03-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-04-02,3278.562840404808,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-04-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-05-02,3776.705398229161,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-05-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-06-02,4003.280235208877,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-06-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-07-02,3884.292361909281,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-07-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-08-02,3443.39328592218,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-08-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-09-02,2814.405686500751,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-09-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-10-02,2182.610102192732,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-10-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-11-02,1689.348154526076,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-11-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-12-02,1484.212968463238,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-12-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2022-01-02,1761.822891016682,1.0,oname:sfr_otype:lst_usecol:gage_1,2022-01-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:headwater_datetime:2020-01-02,-1015.320913144039,1.0,oname:sfr_otype:lst_usecol:headwater,2020-01-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-02-02,-1206.637862921968,1.0,oname:sfr_otype:lst_usecol:headwater,2020-02-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-03-02,-1521.896546458194,1.0,oname:sfr_otype:lst_usecol:headwater,2020-03-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-04-02,-1898.092776935767,1.0,oname:sfr_otype:lst_usecol:headwater,2020-04-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-05-02,-2198.764123021579,1.0,oname:sfr_otype:lst_usecol:headwater,2020-05-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-06-02,-2358.272025656634,1.0,oname:sfr_otype:lst_usecol:headwater,2020-06-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-07-02,-2315.576656479016,1.0,oname:sfr_otype:lst_usecol:headwater,2020-07-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-08-02,-2075.497365608828,1.0,oname:sfr_otype:lst_usecol:headwater,2020-08-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-09-02,-1709.781154950835,1.0,oname:sfr_otype:lst_usecol:headwater,2020-09-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-10-02,-1324.895629252271,1.0,oname:sfr_otype:lst_usecol:headwater,2020-10-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-11-02,-1004.697796317973,1.0,oname:sfr_otype:lst_usecol:headwater,2020-11-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-12-02,-847.7394811540516,1.0,oname:sfr_otype:lst_usecol:headwater,2020-12-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-01-02,-892.1205116104022,1.0,oname:sfr_otype:lst_usecol:headwater,2021-01-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-02-02,-1121.784282461512,1.0,oname:sfr_otype:lst_usecol:headwater,2021-02-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-03-02,-1450.57361937468,1.0,oname:sfr_otype:lst_usecol:headwater,2021-03-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-04-02,-1846.801082732861,1.0,oname:sfr_otype:lst_usecol:headwater,2021-04-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-05-02,-2161.420112160448,1.0,oname:sfr_otype:lst_usecol:headwater,2021-05-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-06-02,-2325.728559257242,1.0,oname:sfr_otype:lst_usecol:headwater,2021-06-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-07-02,-2285.91157907837,1.0,oname:sfr_otype:lst_usecol:headwater,2021-07-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-08-02,-2048.696502589591,1.0,oname:sfr_otype:lst_usecol:headwater,2021-08-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-09-02,-1684.631747487347,1.0,oname:sfr_otype:lst_usecol:headwater,2021-09-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-10-02,-1302.901735688616,1.0,oname:sfr_otype:lst_usecol:headwater,2021-10-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-11-02,-987.481225936028,1.0,oname:sfr_otype:lst_usecol:headwater,2021-11-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-12-02,-835.6982431163487,1.0,oname:sfr_otype:lst_usecol:headwater,2021-12-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2022-01-02,-970.087746665297,1.0,oname:sfr_otype:lst_usecol:headwater,2022-01-02,sfr,lst,headwater
