datetime,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
2020-12-02,34.45541039,34.81475903,34.86285421,35.31216979,34.38216565,34.21569276,34.2544302,34.09365281,34.52565615,34.33388075,33.98955051,34.06436926,33.9395769,34.38859093,34.82185969,34.87021171,35.32165199,34.38797541,34.22020257,34.26021254,34.0485858,34.53298346,34.34042481,33.94779107,34.06958192,33.94415954
2021-01-02,34.47315491,34.81303752,34.85717864,35.2625353,34.40525698,34.24458056,34.27960982,34.1233519,34.52542443,34.34722107,34.0234306,34.0935727,33.97409262,34.40512027,34.82002918,34.86432202,35.27125679,34.41128206,34.24988634,34.28554757,34.07527554,34.53231004,34.35356544,33.97819096,34.09930939,33.97961398
2021-02-02,34.57690225,34.93612607,34.98068836,35.3713546,34.53689774,34.36122695,34.41477229,34.23704735,34.66119376,34.48558429,34.13485811,34.21987717,34.09050225,34.49511363,34.94376902,34.98834867,35.37967304,34.54406167,34.36811167,34.42180777,34.17459538,34.66838161,34.49256087,34.07598534,34.22707655,34.09795395
2021-03-02,34.72716561,35.13379339,35.18240081,35.58733231,34.7259723,34.52174996,34.60725318,34.39206403,34.87651603,34.69329866,34.28257698,34.39521076,34.24546634,34.6245767,35.1425657,35.19106512,35.59569148,34.73478684,34.53051547,34.61592746,34.30943029,34.88460358,34.70149723,34.20509033,34.4043344,34.25521671
2021-04-02,34.91026403,35.38991024,35.44611334,35.89550395,34.95554817,34.71096386,34.8398789,34.57367216,35.15412759,34.95284271,34.45215653,34.60330379,34.42395399,34.78167228,35.40023184,35.45623219,35.90440404,34.96639241,34.72165803,34.85060177,34.46684007,35.16368324,34.96278147,34.35275078,34.61462139,34.43610961
2021-05-02,35.05715823,35.6082786,35.67288787,36.18173036,35.13876076,34.85702724,35.02449884,34.71283151,35.38962878,35.16627837,34.57911228,34.76547862,34.55821297,34.90716567,35.61996042,35.68433415,36.19142179,35.15122868,34.86897549,35.03689021,34.58703529,35.40064588,35.17780107,34.46284991,34.77841988,34.57195365
2021-06-02,35.13636294,35.74175157,35.81367581,36.38326707,35.23652352,34.92909415,35.12153266,34.78002848,35.53174581,35.28728787,34.63647894,34.84659557,34.61943445,34.97412394,35.75432895,35.82605831,36.39389997,35.24984792,34.94135474,35.13484237,34.64454379,35.54391782,35.29990121,34.51208442,34.86024334,34.63361236
2021-07-02,35.12178167,35.74674641,35.82256787,36.43477749,35.21776281,34.90460457,35.10094863,34.75476421,35.53586009,35.27810497,34.60690605,34.82123083,34.5887401,34.96037285,35.75945568,35.83518593,36.44616375,35.23089376,34.91613785,35.11411595,34.62173037,35.54847883,35.2909298,34.48547644,34.83439485,34.60201636
2021-08-02,35.01601505,35.62131817,35.69669835,36.32352017,35.08392667,34.78597947,34.96354481,34.63922955,35.3974092,35.13718054,34.49384299,34.69252996,34.47029481,34.86847276,35.63335029,35.70877404,36.33528682,35.09589634,34.79593642,34.97559961,34.5209322,35.40971787,35.14936075,34.38644269,34.70418953,34.48159859
2021-09-02,34.84943695,35.4005837,35.47119055,36.07931308,34.87455687,34.60905279,34.75053029,34.46852587,35.15710255,34.90626121,34.33152991,34.49877175,34.29976324,34.72489206,35.41134833,35.48213365,36.09100103,34.88469293,34.61701468,34.76075938,34.37258818,35.16837088,34.91705471,34.24480437,34.50830233,34.30855544
2021-10-02,34.67231473,35.15221932,35.21535578,35.77901823,34.65256891,34.42621476,34.52574682,34.29315736,34.88819107,34.65522019,34.16784087,34.29785197,34.12756326,34.57296272,35.16148327,35.2248886,35.79016743,34.66075521,34.43231043,34.53400778,34.22057541,34.89803488,34.66433011,34.1022618,34.30526894,34.13404866
2021-11-02,34.52311662,34.92970379,34.98418897,35.48626437,34.46621327,34.27754652,34.3380619,34.15149319,34.64856566,34.43836374,34.03864249,34.13358488,33.99149859,34.44571303,34.93757817,34.99236022,35.49655758,34.47276984,34.28233734,34.34464784,34.09815761,34.65691111,34.4458663,33.99005882,34.13937783,33.996407
2021-12-02,34.45016764,34.80516285,34.85263952,35.29620776,34.3757318,34.211028,34.24810011,34.08929689,34.51578756,34.32576375,33.98578877,34.05906432,33.93551104,34.38430077,34.8122005,34.85992926,35.30559075,34.38149581,34.21552467,34.2538331,34.04491986,34.52303882,34.33224671,33.94460426,34.06424473,33.9400702
2022-01-02,34.51002619,34.85907325,34.90385378,35.31086056,34.45070519,34.28429451,34.325799,34.16171446,34.57498761,34.39584979,34.06081038,34.13666843,34.01354473,34.43717163,34.86629735,34.91119281,35.31955472,34.45707803,34.2900978,34.33207124,34.10884393,34.58199769,34.40239357,34.01104713,34.14284466,34.01966717
