datetime,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
2020-01-02,34.51405504,34.8447438,34.88558189,35.23600676,34.47690281,34.31163389,34.36363027,34.1945155,34.59383454,34.42874967,34.0946884,34.17277207,34.04667642,34.43997952,34.85191352,34.89277454,35.24334717,34.48388768,34.31796279,34.37058368,34.1367508,34.60094197,34.43573555,34.04007115,34.17967331,34.05353245
2020-02-02,34.60682245,34.96482842,35.00806111,35.37112643,34.5884593,34.40769928,34.47568027,34.28632783,34.7191774,34.54886071,34.18251056,34.27579907,34.13944359,34.52071957,34.9726426,35.01582795,35.378654,34.59632183,34.41521892,34.48350744,34.21721189,34.72676045,34.55647264,34.11739638,34.28378669,34.14769377
2020-03-02,34.75489463,35.1659561,35.21444803,35.60867194,34.77008873,34.5600609,34.65820206,34.43204973,34.93135432,34.74901517,34.32055439,34.44150431,34.28486384,34.64834348,35.17490915,35.22325588,35.61660085,34.77943418,34.56927413,34.66749413,34.34400487,34.93986035,34.75776685,34.23805225,34.45121107,34.29516745
2020-04-02,34.93111013,35.41654595,35.47315708,35.92132915,34.98635934,34.73665093,34.87519325,34.60046972,35.19619041,34.99402861,34.47789044,34.63696229,34.45160356,34.79959497,35.42702598,35.48341548,35.93005522,34.99758788,34.74765832,34.88635817,34.49006418,35.20610598,35.00439884,34.37510586,34.64869265,34.46411991
2020-05-02,35.07446965,35.63168986,35.69691418,36.20881885,35.16349076,34.87759278,35.05218846,34.733836,35.42373213,35.19846546,34.59880892,34.79058216,34.57898576,34.92209598,35.64349497,35.70847481,36.21847135,35.17617839,34.8896886,35.0648506,34.60519167,35.43501724,35.2102893,34.47992791,34.80381035,34.59297294
2020-06-02,35.1515872,35.76318272,35.83583012,36.41076857,35.2572782,34.94631633,35.14425164,34.7973531,35.56041926,35.3137147,34.65253842,34.86672828,34.63624565,34.98728692,35.77586952,35.84831975,36.42143414,35.27077707,34.95869052,35.15777263,34.65953846,35.57280862,35.32655234,34.52602315,34.88056818,34.65059924
2020-07-02,35.13593383,35.76731451,35.84389954,36.46229605,35.23557566,34.91880334,35.11961287,34.76862819,35.56031631,35.30023833,34.61964734,34.83806984,34.60255895,34.97260259,35.7801316,35.85662137,36.47375442,35.24887025,34.93044241,35.13297687,34.63380221,35.57313062,35.3132636,34.49661116,34.85141082,34.61601066
2020-08-02,35.02936887,35.64122482,35.71743964,36.35221112,35.10018664,34.79919613,34.98015435,34.65184672,35.41970507,35.15684095,34.50563689,34.70740684,34.48296513,34.87994551,35.65335568,35.72961205,36.36403533,35.11227844,34.80922874,34.99234552,34.53182267,35.43215398,35.1691643,34.39666275,34.7191923,34.49439468
2020-09-02,34.86147536,35.41922615,35.49068798,36.10650089,34.88924161,34.62063686,34.76535731,34.47958432,35.17736035,34.92403371,34.34168316,34.51191707,34.31057121,34.73515165,35.43009292,35.50173254,36.11829799,34.89948388,34.62868604,34.77569942,34.38212357,35.18875361,34.9349441,34.25359824,34.52156247,34.31947404
2020-10-02,34.68243464,35.16855965,35.23251083,35.80344875,34.66492598,34.4357474,34.5380955,34.30216399,34.90559203,34.67027614,34.17597754,34.30872047,34.13633385,34.58148877,35.17792464,35.24214611,35.81471468,34.67321034,34.4419168,34.54645874,34.22830856,34.91555261,34.67949683,34.10928213,34.31623391,34.14290755
2020-11-02,34.53083943,34.94287909,34.99809744,35.50678261,34.47564344,34.28458416,34.3473939,34.15807279,34.66233442,34.45001615,34.04448957,34.14172232,33.99788822,34.45212666,34.95083881,35.00635687,35.51718565,34.48227554,34.28942559,34.35405893,34.10376213,34.67077968,34.45760824,33.99506866,34.14758389,34.00285451
