time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
1.000000000000,-280.8585328448511,-6008.949997960799,-2664.526632103175,-70514.39311756774
1.083333333333,-305.1934200832692,-6965.071958680985,-3030.338310892734,-84902.52834694371
1.166666666667,-286.0434840067789,-5917.938902583806,-2743.083250967475,-69229.23307445672
1.250000000000,-264.3726021813667,-5193.516605033983,-2417.452989843135,-58377.36755351404
1.333333333333,-258.8253730749827,-5264.488708874526,-2333.834802044444,-59447.25211385068
1.416666666667,-276.6784297113663,-6130.511030534444,-2601.923136012760,-72442.89674335906
1.500000000000,-299.4380722004454,-6879.318643546188,-2944.083550890717,-83682.25091232850
1.583333333333,-307.0657188405571,-6870.002078525986,-3059.081655919304,-83548.30612228932
1.666666666667,-290.1673173335253,-6009.427290217208,-2805.446522585106,-70639.72272152732
1.750000000000,-264.8050269299061,-5135.169388394375,-2424.268897941651,-57520.32079110575
1.833333333333,-254.8542404627220,-5074.878796848749,-2274.398872362545,-56609.84954328582
1.916666666667,-269.6297592354886,-5885.304428534757,-2496.153861473322,-68764.80643152002
2.000000000000,-293.6887344075882,-6744.716593354925,-2857.762905438753,-81659.64995149540
2.083333333333,-304.9257352412523,-6884.506460843157,-3026.989452008705,-83760.84215870923
2.166666666667,-292.3319498848862,-6156.118255461039,-2838.087016143802,-72834.90910517183
2.250000000000,-269.8276091159442,-5332.574754421194,-2499.937573989815,-60476.54041728874
2.333333333333,-257.6737810986780,-5130.495224485916,-2317.046195462581,-57438.84244796709
2.416666666667,-269.9071124187307,-5846.537679246905,-2500.615429339596,-68177.03961475611
2.500000000000,-293.3311709900661,-6710.382499203291,-2852.664515917790,-81137.36090881425
2.583333333333,-307.5749151270010,-6985.165699678459,-3067.056157441399,-85263.24362052389
2.666666666667,-297.1208768492530,-6311.461766524759,-2910.344288609533,-75157.79301662120
2.750000000000,-271.6890405565895,-5337.976614895887,-2528.257500594841,-60549.80629581430
2.833333333333,-254.7571930749289,-4970.077975191665,-2273.560865058979,-55023.42238457886
2.916666666667,-263.3433713201975,-5605.011459355337,-2402.266849289236,-64543.22747774513
3.000000000000,-287.0698190504385,-6544.973658059529,-2758.791279104546,-78644.11549578409
3.083333333333,-304.3779276528610,-6960.362535712797,-3019.214917927673,-84878.74849849165
