,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3.687495808118809e-11,6.070984259022471e-11,1.0023175575978929e-10,1.4543328984869877e-10,1.804525563210421e-10,1.879372805578996e-10,1.740992900436433e-10,1.4111332144368703e-10,9.992663678873537e-11,6.265839640110014e-11,3.529970456619917e-11,1.810429976527848e-11,8.550865322391074e-12,3.75619753129644e-12,1.547563597676436e-12,6.022897988030294e-13,2.2276245007245346e-13,7.870554059724365e-14,2.66811993816846e-14,8.720502057482952e-15,2.8702326649353114e-15
1,2.740123057630236e-10,4.529846683819004e-10,7.503720373491039e-10,1.0839390580128678e-09,1.3235604131894681e-09,1.345360933281008e-09,1.2164873577691998e-09,9.514464402505662e-10,6.47556192222963e-10,3.8966341833645e-10,2.1059562333902247e-10,1.0366143923008811e-10,4.703226272672305e-11,1.9869412571794384e-11,7.88281871156974e-12,2.9579416345540358e-12,1.056140984449944e-12,3.6065297193592877e-13,1.1829902756105662e-13,3.744884741595437e-14,1.191000043127764e-14
2,2.0407595320172157e-09,3.3904601789556546e-09,5.639970931946949e-09,8.110619548148566e-09,9.725891270441754e-09,9.68004378249172e-09,8.517522295694477e-09,6.427471637090961e-09,4.208266720917285e-09,2.4335902608307606e-09,1.2641524811379254e-09,5.985792559693549e-10,2.6156157959982815e-10,1.0656688705853584e-10,4.0829863493080135e-11,1.481603015870793e-11,5.122354804077827e-12,1.6957695618836577e-12,5.398550780925409e-13,1.6602595032121662e-13,5.1269211227326175e-14
3,1.343824963779926e-08,2.2468787222140306e-08,3.7584125467784054e-08,5.3781238543763474e-08,6.308624684432074e-08,6.157187217908421e-08,5.242043547879846e-08,3.80614780441283e-08,2.391548011890085e-08,1.326466629701391e-08,6.612985519391475e-09,3.0089714481877075e-09,1.2654233162998886e-09,4.969935785718021e-10,1.8385055899897973e-10,6.45117266550327e-11,2.1598189528434524e-11,6.933198135186116e-12,2.142890526290306e-12,6.405081889175625e-13,1.92223095169151e-13
4,7.545887955368899e-08,1.2720889423754536e-07,2.1432808489213425e-07,3.0498276037398477e-07,3.48858767667108e-07,3.33003327978241e-07,2.734233605557791e-07,1.9036066991807681e-07,1.1446778130211348e-07,6.076980463045812e-08,2.903491699953374e-08,1.2683024863468278e-08,5.130278448636759e-09,1.9416621210984223e-09,6.934078299982258e-10,2.352868375113826e-10,7.629435683997956e-11,2.3754938942860845e-11,7.1309596694759356e-12,2.0726105745436955e-12,6.049364958691958e-13
5,3.419790959245877e-07,5.82636002790613e-07,9.908257265877037e-07,1.4004789292338862e-06,1.5570163896902704e-06,1.4492640195296523e-06,1.143331697259352e-06,7.607329485882418e-07,4.367786131304381e-07,2.2165069774030853e-07,1.01426749422494e-07,4.2528323803836096e-08,1.6550255841224274e-08,6.03935012850534e-09,2.0837236673681097e-09,6.843793095018209e-10,2.1517152280130212e-10,6.506135124284733e-11,1.899439114657112e-11,5.376164545597054e-12,1.5286244584920217e-12
6,1.134322736079912e-06,1.9585720339300145e-06,3.37004195597189e-06,4.722740812454274e-06,5.089725461467449e-06,4.6052872478331e-06,3.479367813292889e-06,2.2084038948744423e-06,1.2102961948758806e-06,5.875651829729814e-07,2.579226310879203e-07,1.0403621189861592e-07,3.9052063499444614e-08,1.3779661563403901e-08,4.607632936009092e-09,1.4696424396694392e-09,4.4955192417683706e-10,1.3247327162325864e-10,3.77494469860293e-11,1.0443519960952039e-11,2.904233505356037e-12
7,2.221000456120905e-06,3.8933423744571905e-06,6.789282345533848e-06,9.41433149695999e-06,9.849709718040918e-06,8.661848049584123e-06,6.284639820897156e-06,3.8278530585053585e-06,2.0185636569289172e-06,9.462338509496568e-07,4.0247064770403504e-07,1.578063905167626e-07,5.774609813286685e-08,1.9913598382520515e-08,6.5219784242148416e-09,2.0414651980291484e-09,6.138685822632736e-10,1.7809016725392426e-10,5.0028773362069456e-11,1.3660702148917456e-11,3.7522566664370745e-12
8,1.1343227409970298e-06,1.9585720519181343e-06,3.3700420296629018e-06,4.722740917336216e-06,5.089725278657083e-06,4.60528713040391e-06,3.4793678126791284e-06,2.208403954402362e-06,1.2102962114523158e-06,5.875652077624949e-07,2.5792262110275553e-07,1.0403618580716758e-07,3.9052054120974094e-08,1.377966652619831e-08,4.607639704432562e-09,1.4696456214684992e-09,4.4955219200772094e-10,1.3247254034927391e-10,3.7748789934275393e-11,1.0443181265666624e-11,2.9041113107836598e-12
9,3.419791025449684e-07,5.82636018168176e-07,9.908257619610646e-07,1.4004789486550913e-06,1.5570162973670787e-06,1.4492639932831356e-06,1.1433317017016203e-06,7.607329470660217e-07,4.3677862389590813e-07,2.216507144215939e-07,1.0142674782895215e-07,4.25283052518785e-08,1.6550246253463087e-08,6.0393523894141555e-09,2.08372894834893e-09,6.843823488450192e-10,2.151721018482279e-10,6.506087020046047e-11,1.8993834055241952e-11,5.375838512511797e-12,1.5284862614797038e-12
