,STO-SS_IN,WEL_IN,CHD_IN,TOTAL_IN,STO-SS_OUT,WEL_OUT,CHD_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2023-08-27 19:11:40.810547,0.0,2190000.0,0.0,2190000.0,0.0,0.0,2190000.0,2190000.0,3.7129e-05,0.0
2023-09-22 03:31:21.621094,0.0,4380000.0,0.0,4380000.0,0.0,0.0,4380000.0,4380000.0,6.6789e-05,0.0
2023-10-17 11:52:28.784180,0.0,6570000.0,0.0,6570000.0,0.0,0.0,6570000.0,6570000.0,9.1134e-05,0.0
2023-11-11 20:13:35.947266,0.0,8760000.0,0.0,8760000.0,0.0,0.0,8760000.0,8760000.0,0.00011083,0.0
2023-12-07 04:37:35.815430,0.0,10950000.0,0.0,10950000.0,0.0,0.0,10950000.0,10950000.0,0.00012725,0.0
2024-01-01 12:47:12.158203,0.0,13140000.0,0.0,13140000.0,0.0,0.0,13140000.0,13140000.0,0.00014142,0.0
2024-01-26 21:11:11.367188,0.0,15330000.0,0.0,15330000.0,0.0,0.0,15330000.0,15330000.0,0.00015409,0.0
2024-02-21 05:35:11.894531,0.0,17520000.0,0.0,17520000.0,0.0,0.0,17520000.0,17520000.0,0.00016569,0.0
2024-03-17 13:59:12.421875,0.0,19710000.0,0.0,19710000.0,0.0,0.0,19710000.0,19710000.0,0.00017649,0.0
2024-04-11 22:08:48.105469,0.0,21900000.0,0.0,21900000.0,0.0,0.0,21900000.0,21900000.0,0.00018663,0.0
2024-05-07 06:32:48.632812,0.0,24090000.0,0.0,24090000.0,0.0,0.0,24090000.0,24090000.0,0.00019623,0.0
2024-06-01 14:56:49.160156,0.0,26280000.0,0.0,26280000.0,0.0,0.0,26280000.0,26280000.0,0.00020538,0.0
2024-06-26 23:06:24.843750,0.0,28470000.0,0.0,28470000.0,0.0,0.0,28470000.0,28470000.0,0.00021414,0.0
2024-07-22 07:30:22.734375,0.0,30660000.0,0.0,30660000.0,0.0,0.0,30660000.0,30660000.0,0.00022256,0.0
2024-08-16 15:54:23.261719,0.0,32850000.0,0.0,32850000.0,0.0,0.0,32850000.0,32850000.0,0.00023068,0.0
2024-09-11 00:18:23.789062,0.0,35040000.0,0.0,35040000.0,0.0,0.0,35040000.0,35040000.0,0.00023853,0.0
2024-10-06 08:27:59.472656,0.0,37230000.0,0.0,37230000.0,0.0,0.0,37230000.0,37230000.0,0.00024614,0.0
2024-10-31 16:52:00.000000,0.0,39420000.0,0.0,39420000.0,0.0,0.0,39420000.0,39420000.0,0.00025353,0.0
2024-11-26 01:16:00.527344,0.0,41610000.0,0.0,41610000.0,0.0,0.0,41610000.0,41610000.0,0.00026072,0.0
2024-12-21 09:25:36.210938,0.0,43800000.0,0.0,43800000.0,0.0,0.0,43800000.0,43800000.0,0.00026772,0.0
2025-01-15 17:49:34.101562,0.0,45990000.0,0.0,45990000.0,0.0,0.0,45990000.0,45990000.0,0.00027455,0.0
2025-02-10 02:13:37.265625,0.0,48180000.0,0.0,48180000.0,0.0,0.0,48180000.0,48180000.0,0.00028123,0.0
2025-03-07 10:37:35.156250,0.0,50370000.0,0.0,50370000.0,0.0,0.0,50370000.0,50370000.0,0.00028776,0.0
2025-04-01 18:47:13.476562,0.0,52560000.0,0.0,52560000.0,0.0,0.0,52560000.0,52560000.0,0.00029416,0.0
2025-04-27 03:11:11.367188,0.0,54750000.0,0.0,54750000.0,0.0,0.0,54750000.0,54750000.0,0.00030042,0.0
2025-05-22 11:35:14.531250,0.0,56940000.0,0.0,56940000.0,0.0,0.0,56940000.0,56940000.0,0.00030657,0.0
2025-06-16 19:44:47.578125,0.0,59130000.0,0.0,59130000.0,0.0,0.0,59130000.0,59130000.0,0.0003126,0.0
2025-07-12 04:08:45.468750,0.0,61320000.0,0.0,61320000.0,0.0,0.0,61320000.0,61320000.0,0.00031853,0.0
2025-08-06 12:32:48.632812,0.0,63510000.0,0.0,63510000.0,0.0,0.0,63510000.0,63510000.0,0.00032437,0.0
2025-08-31 20:56:46.523438,0.0,65700000.0,0.0,65700000.0,0.0,0.0,65700000.0,65700000.0,0.00033011,0.0
2025-09-26 05:06:24.843750,0.0,67890000.0,0.0,67890000.0,0.0,0.0,67890000.0,67890000.0,0.00033575,0.0
2025-10-21 13:30:22.734375,0.0,70080000.0,0.0,70080000.0,0.0,0.0,70080000.0,70080000.0,0.00034131,0.0
2025-11-15 21:54:25.898438,0.0,72270000.0,0.0,72270000.0,0.0,0.0,72270000.0,72270000.0,0.00034678,0.0
2025-12-11 06:18:23.789062,0.0,74460000.0,0.0,74460000.0,0.0,0.0,74460000.0,74460000.0,0.00035217,0.0
2026-01-05 14:28:02.109375,0.0,76650000.0,0.0,76650000.0,0.0,0.0,76650000.0,76650000.0,0.00035749,0.0
2026-01-30 22:52:00.000000,0.0,78840000.0,0.0,78840000.0,0.0,0.0,78840000.0,78840000.0,0.00036275,0.0
2026-02-25 01:30:22.734375,0.0,78840000.0,2169908.2,81009910.0,0.0,2169908.2,78840000.0,81009910.0,0.00032546,0.0
2026-03-22 04:23:10.312500,0.0,78840000.0,4339816.5,83179816.0,0.0,4339816.5,78840000.0,83179816.0,0.0002972,0.0
2026-04-16 07:01:38.320312,0.0,78840000.0,6509725.0,85349730.0,0.0,6509725.0,78840000.0,85349730.0,0.00027354,0.0
2026-05-11 10:52:00.000000,0.0,78840000.0,8679633.0,87519630.0,0.0,8679633.0,78840000.0,87519630.0,0.00025491,0.0
2026-06-05 13:15:57.890625,0.0,78840000.0,10849541.0,89689544.0,0.0,10849541.0,78840000.0,89689544.0,0.00023937,0.0
2026-06-30 15:39:55.781250,0.0,78840000.0,13019450.0,91859450.0,0.0,13019450.0,78840000.0,91859450.0,0.00022613,0.0
2026-07-25 18:04:04.218750,0.0,78840000.0,15189358.0,94029360.0,0.0,15189358.0,78840000.0,94029360.0,0.00021438,0.0
2026-08-19 20:28:02.109375,0.0,78840000.0,17359266.0,96199260.0,0.0,17359266.0,78840000.0,96199260.0,0.00020367,0.0
2026-09-13 22:52:00.000000,0.0,78840000.0,19529174.0,98369176.0,0.0,19529174.0,78840000.0,98369176.0,0.00019373,0.0
2026-10-09 01:15:57.890625,0.0,78840000.0,21699082.0,100539080.0,0.0,21699082.0,78840000.0,100539080.0,0.00018442,0.0
2026-11-03 06:04:04.218750,0.0,78840000.0,23868990.0,102708990.0,0.0,23868990.0,78840000.0,102708990.0,0.00017558,0.0
2026-11-28 08:28:02.109375,0.0,78840000.0,26038900.0,104878900.0,0.0,26038900.0,78840000.0,104878900.0,0.00016718,0.0
2026-12-23 10:52:00.000000,0.0,78840000.0,28208808.0,107048810.0,0.0,28208808.0,78840000.0,107048810.0,0.00015914,0.0
2027-01-17 13:15:57.890625,0.0,78840000.0,30378716.0,109218710.0,0.0,30378716.0,78840000.0,109218710.0,0.0001514,0.0
2027-02-11 15:39:55.781250,0.0,78840000.0,32548624.0,111388620.0,0.0,32548624.0,78840000.0,111388620.0,0.00014396,0.0
2027-03-08 18:04:04.218750,0.0,78840000.0,34718532.0,113558536.0,0.0,34718532.0,78840000.0,113558536.0,0.00013676,0.0
2027-04-02 20:28:02.109375,0.0,78840000.0,36888440.0,115728440.0,0.0,36888440.0,78840000.0,115728440.0,0.00012979,0.0
2027-04-28 01:15:57.890625,0.0,78840000.0,39058348.0,117898350.0,0.0,39058348.0,78840000.0,117898350.0,0.00012301,0.0
2027-05-23 03:39:55.781250,0.0,78840000.0,41228256.0,120068260.0,0.0,41228256.0,78840000.0,120068260.0,0.00011641,0.0
2027-06-17 06:04:04.218750,0.0,78840000.0,43398164.0,122238170.0,0.0,43398164.0,78840000.0,122238170.0,0.00011,0.0
2027-07-12 08:28:02.109375,0.0,78840000.0,45568070.0,124408070.0,0.0,45568070.0,78840000.0,124408070.0,0.00010373,0.0
2027-08-06 10:52:00.000000,0.0,78840000.0,47737980.0,126577980.0,0.0,47737980.0,78840000.0,126577980.0,9.7603e-05,0.0
2027-08-31 13:15:57.890625,0.0,78840000.0,49907890.0,128747890.0,0.0,49907890.0,78840000.0,128747890.0,9.1612e-05,0.0
2027-09-25 18:04:04.218750,0.0,78840000.0,52077800.0,130917800.0,0.0,52077800.0,78840000.0,130917800.0,8.5741e-05,0.0
2027-10-20 20:28:02.109375,0.0,78840000.0,54247708.0,133087704.0,0.0,54247708.0,78840000.0,133087704.0,7.9989e-05,0.0
2027-11-14 22:52:00.000000,0.0,78840000.0,56417616.0,135257620.0,0.0,56417616.0,78840000.0,135257620.0,7.4327e-05,0.0
2027-12-10 01:15:57.890625,0.0,78840000.0,58587524.0,137427520.0,0.0,58587524.0,78840000.0,137427520.0,6.8784e-05,0.0
2028-01-04 03:39:55.781250,0.0,78840000.0,60757430.0,139597420.0,0.0,60757430.0,78840000.0,139597420.0,6.336e-05,0.0
2028-01-29 06:04:04.218750,0.0,78840000.0,62927340.0,141767340.0,0.0,62927340.0,78840000.0,141767340.0,5.7995e-05,0.0
2028-02-23 08:28:02.109375,0.0,78840000.0,65097250.0,143937250.0,0.0,65097250.0,78840000.0,143937250.0,5.272e-05,0.0
2028-03-19 13:15:57.890625,0.0,78840000.0,67267150.0,146107150.0,0.0,67267150.0,78840000.0,146107150.0,4.7535e-05,0.0
2028-04-13 15:39:55.781250,0.0,78840000.0,69437064.0,148277070.0,0.0,69437064.0,78840000.0,148277070.0,4.2439e-05,0.0
2028-05-08 18:04:04.218750,0.0,78840000.0,71606980.0,150446980.0,0.0,71606980.0,78840000.0,150446980.0,3.7402e-05,0.0
2028-06-02 20:28:02.109375,0.0,78840000.0,73776880.0,152616880.0,0.0,73776880.0,78840000.0,152616880.0,3.2425e-05,0.0
2028-06-27 22:52:00.000000,0.0,78840000.0,75946790.0,154786780.0,0.0,75946790.0,78840000.0,154786780.0,2.7567e-05,0.0
2028-07-23 01:15:57.890625,0.0,78840000.0,78116696.0,156956700.0,0.0,78116696.0,78840000.0,156956700.0,2.2709e-05,0.0
2028-08-17 03:39:55.781250,0.0,78840000.0,80286610.0,159126610.0,0.0,80286610.0,78840000.0,159126610.0,1.7971e-05,0.0
2028-09-11 08:28:02.109375,0.0,78840000.0,82456510.0,161296510.0,0.0,82456510.0,78840000.0,161296510.0,1.3232e-05,0.0
2028-10-06 10:52:00.000000,0.0,78840000.0,84626424.0,163466420.0,0.0,84626424.0,78840000.0,163466420.0,8.6129e-06,0.0
2028-10-31 13:15:57.890625,0.0,78840000.0,86796330.0,165636340.0,0.0,86796330.0,78840000.0,165636340.0,3.9935e-06,0.0
2028-11-25 15:39:55.781250,0.0,78840000.0,88966240.0,167806240.0,0.0,88966240.0,78840000.0,167806240.0,-5.3644e-07,-0.0
2028-12-20 18:04:04.218750,0.0,78840000.0,91136140.0,169976140.0,0.0,91136140.0,78840000.0,169976140.0,-5.0068e-06,-0.0
2029-01-14 20:28:02.109375,0.0,78840000.0,93306056.0,172146050.0,0.0,93306056.0,78840000.0,172146050.0,-9.4473e-06,-0.0
2029-02-08 22:52:00.000000,0.0,78840000.0,95475960.0,174315970.0,0.0,95475960.0,78840000.0,174315970.0,-1.3858e-05,-0.0
2029-03-06 03:39:55.781250,0.0,78840000.0,97645870.0,176485870.0,0.0,97645870.0,78840000.0,176485870.0,-1.8209e-05,-0.0
2029-03-31 06:04:04.218750,0.0,78840000.0,99815780.0,178655780.0,0.0,99815780.0,78840000.0,178655780.0,-2.2501e-05,-0.0
2029-04-25 08:27:51.562500,0.0,78840000.0,101985690.0,180825700.0,0.0,101985690.0,78840000.0,180825700.0,-2.6762e-05,-0.0
2029-05-20 10:52:00.000000,0.0,78840000.0,104155600.0,182995600.0,0.0,104155600.0,78840000.0,182995600.0,-3.0994e-05,-0.0
2029-06-14 13:16:08.437500,0.0,78840000.0,106325500.0,185165500.0,0.0,106325500.0,78840000.0,185165500.0,-3.5137e-05,-0.0
2029-07-09 15:39:55.781250,0.0,78840000.0,108495416.0,187335410.0,0.0,108495416.0,78840000.0,187335410.0,-3.9279e-05,-0.0
2029-08-03 18:04:04.218750,0.0,78840000.0,110665320.0,189505330.0,0.0,110665320.0,78840000.0,189505330.0,-4.3362e-05,-0.0
2029-08-28 22:52:00.000000,0.0,78840000.0,112835230.0,191675230.0,0.0,112835230.0,78840000.0,191675230.0,-4.7445e-05,-0.0
2029-09-23 01:16:08.437500,0.0,78840000.0,115005140.0,193845140.0,0.0,115005140.0,78840000.0,193845140.0,-5.1469e-05,-0.0
2029-10-18 03:39:55.781250,0.0,78840000.0,117175050.0,196015040.0,0.0,117175050.0,78840000.0,196015040.0,-5.5432e-05,-0.0
2029-11-12 06:04:04.218750,0.0,78840000.0,119344950.0,198184960.0,0.0,119344950.0,78840000.0,198184960.0,-5.9396e-05,-0.0
2029-12-07 08:27:51.562500,0.0,78840000.0,121514860.0,200354860.0,0.0,121514860.0,78840000.0,200354860.0,-6.33e-05,-0.0
2030-01-01 10:52:00.000000,0.0,78840000.0,123684770.0,202524770.0,0.0,123684770.0,78840000.0,202524770.0,-6.7204e-05,-0.0
2030-01-26 15:39:55.781250,0.0,78840000.0,125854680.0,204694670.0,0.0,125854680.0,78840000.0,204694670.0,-7.1049e-05,-0.0
2030-02-20 18:04:04.218750,0.0,78840000.0,128024584.0,206864590.0,0.0,128024584.0,78840000.0,206864590.0,-7.4893e-05,-0.0
2030-03-17 20:27:51.562500,0.0,78840000.0,130194500.0,209034500.0,0.0,130194500.0,78840000.0,209034500.0,-7.8678e-05,-0.0
2030-04-11 22:52:00.000000,0.0,78840000.0,132364400.0,211204400.0,0.0,132364400.0,78840000.0,211204400.0,-8.2463e-05,-0.0
2030-05-07 01:16:08.437500,0.0,78840000.0,134534300.0,213374300.0,0.0,134534300.0,78840000.0,213374300.0,-8.6188e-05,-0.0
2030-06-01 03:39:55.781250,0.0,78840000.0,136704220.0,215544220.0,0.0,136704220.0,78840000.0,215544220.0,-8.9914e-05,-0.0
2030-06-26 06:04:04.218750,0.0,78840000.0,138874130.0,217714130.0,0.0,138874130.0,78840000.0,217714130.0,-9.3609e-05,-0.0
2030-07-21 10:52:00.000000,0.0,78840000.0,141044030.0,219884030.0,0.0,141044030.0,78840000.0,219884030.0,-9.7275e-05,-0.0
2030-08-15 13:16:08.437500,0.0,78840000.0,143213950.0,222053950.0,0.0,143213950.0,78840000.0,222053950.0,-0.00010091,-0.0
2030-09-09 15:39:55.781250,0.0,78840000.0,145383860.0,224223860.0,0.0,145383860.0,78840000.0,224223860.0,-0.00010452,-0.0
2030-10-04 18:04:04.218750,0.0,78840000.0,147553760.0,226393760.0,0.0,147553760.0,78840000.0,226393760.0,-0.00010809,-0.0
2030-10-29 20:27:51.562500,0.0,78840000.0,149723660.0,228563660.0,0.0,149723660.0,78840000.0,228563660.0,-0.00011164,-0.0
2030-11-23 22:52:00.000000,0.0,78840000.0,151893580.0,230733580.0,0.0,151893580.0,78840000.0,230733580.0,-0.00011519,-0.0
2030-12-19 01:16:08.437500,0.0,78840000.0,154063490.0,232903490.0,0.0,154063490.0,78840000.0,232903490.0,-0.0001187,-0.0
2031-01-13 06:04:04.218750,0.0,78840000.0,156233390.0,235073390.0,0.0,156233390.0,78840000.0,235073390.0,-0.00012219,-0.0
2031-02-07 08:27:51.562500,0.0,78840000.0,158403300.0,237243300.0,0.0,158403300.0,78840000.0,237243300.0,-0.00012565,-0.0
2031-03-04 10:52:00.000000,0.0,78840000.0,160573220.0,239413220.0,0.0,160573220.0,78840000.0,239413220.0,-0.0001291,-0.0
2031-03-29 13:16:08.437500,0.0,78840000.0,162743120.0,241583120.0,0.0,162743120.0,78840000.0,241583120.0,-0.00013253,-0.0
2031-04-23 15:39:55.781250,0.0,78840000.0,164913020.0,243753020.0,0.0,164913020.0,78840000.0,243753020.0,-0.00013593,-0.0
2031-05-18 18:04:04.218750,0.0,78840000.0,167082930.0,245922930.0,0.0,167082930.0,78840000.0,245922930.0,-0.0001393,-0.0
2031-06-12 20:27:51.562500,0.0,78840000.0,169252850.0,248092850.0,0.0,169252850.0,78840000.0,248092850.0,-0.00014266,-0.0
2031-07-08 01:16:08.437500,0.0,78840000.0,171422750.0,250262750.0,0.0,171422750.0,78840000.0,250262750.0,-0.000146,-0.0
2031-08-02 03:39:55.781250,0.0,78840000.0,173592660.0,252432660.0,0.0,173592660.0,78840000.0,252432660.0,-0.00014931,-0.0
2031-08-27 06:04:04.218750,0.0,78840000.0,175762580.0,254602580.0,0.0,175762580.0,78840000.0,254602580.0,-0.00015262,-0.0
2031-09-21 08:27:51.562500,0.0,78840000.0,177932480.0,256772480.0,0.0,177932480.0,78840000.0,256772480.0,-0.0001559,-0.0
2031-10-16 10:52:00.000000,0.0,78840000.0,180102380.0,258942380.0,0.0,180102380.0,78840000.0,258942380.0,-0.00015917,-0.0
2031-11-10 13:16:08.437500,0.0,78840000.0,182272290.0,261112290.0,0.0,182272290.0,78840000.0,261112290.0,-0.00016242,-0.0
2031-12-05 15:39:55.781250,0.0,78840000.0,184442200.0,263282200.0,0.0,184442200.0,78840000.0,263282200.0,-0.00016564,-0.0
2031-12-30 20:27:51.562500,0.0,78840000.0,186612110.0,265452110.0,0.0,186612110.0,78840000.0,265452110.0,-0.00016886,-0.0
2032-01-24 22:52:00.000000,0.0,78840000.0,188782020.0,267622020.0,0.0,188782020.0,78840000.0,267622020.0,-0.00017205,-0.0
2032-02-19 01:16:08.437500,0.0,78840000.0,190951920.0,269791940.0,0.0,190951920.0,78840000.0,269791940.0,-0.00017524,-0.0
2032-03-15 03:39:55.781250,0.0,78840000.0,193121840.0,271961820.0,0.0,193121840.0,78840000.0,271961820.0,-0.00017846,-0.0
2032-04-09 06:04:04.218750,0.0,78840000.0,195291740.0,274131740.0,0.0,195291740.0,78840000.0,274131740.0,-0.00018156,-0.0
2032-05-04 08:27:51.562500,0.0,78840000.0,197461650.0,276301660.0,0.0,197461650.0,78840000.0,276301660.0,-0.00018466,-0.0
2032-05-29 13:16:08.437500,0.0,78840000.0,199631550.0,278471550.0,0.0,199631550.0,78840000.0,278471550.0,-0.00018775,-0.0
2032-06-23 15:39:55.781250,0.0,78840000.0,201801470.0,280641470.0,0.0,201801470.0,78840000.0,280641470.0,-0.00019091,-0.0
