,parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y,zone
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,6,hk,m,gr,1625.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,7,hk,m,gr,1875.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,8,hk,m,gr,2125.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,9,hk,m,gr,2375.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:2625.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:2625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,10,hk,m,gr,2625.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:2875.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:2875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,11,hk,m,gr,2875.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:3125.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:3125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,12,hk,m,gr,3125.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:3375.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:3375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,13,hk,m,gr,3375.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:14_x:3625.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:14_x:3625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,14,hk,m,gr,3625.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:15_x:3875.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:15_x:3875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,15,hk,m,gr,3875.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:16_x:4125.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:16_x:4125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,16,hk,m,gr,4125.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:17_x:4375.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:17_x:4375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,17,hk,m,gr,4375.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:18_x:4625.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:18_x:4625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,18,hk,m,gr,4625.00,9625.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:19_x:4875.00_y:9625.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:1_j:19_x:4875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,1,0,19,hk,m,gr,4875.00,9625.00,1
