,(sec),(meters)
0,30.0,0.3
1,60.0,0.37
2,79.80000000000001,0.38
3,120.0,0.4
4,180.0,0.43
5,300.0,0.49
6,420.0,0.52
7,559.8,0.53
8,810.0,0.55
9,1320.0,0.56
10,1800.0,0.57
