,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3.6,4.0,5.2,5.7,3.1,2.9,2.1,1.3,1.6,1.6,1.7,0.8,1.9,1.4,1.3,2.4,5.0,6.1,4.7,12.9
1,6.0,6.7,7.2,4.9,3.0,4.2,4.2,2.3,1.9,2.1,1.9,1.2,1.4,1.2,1.7,2.3,5.0,5.7,5.3,6.4
2,4.8,5.1,4.5,3.5,4.7,5.1,5.2,3.4,2.5,2.3,2.0,1.9,1.9,1.4,1.4,3.4,4.5,3.9,7.2,7.6
3,5.3,4.4,4.2,4.8,6.9,5.7,4.2,3.3,2.7,3.2,2.2,2.0,1.8,1.4,2.1,3.6,5.4,5.0,5.6,4.2
4,4.8,6.8,6.4,3.4,4.2,3.0,3.2,5.3,3.7,2.2,2.6,2.5,2.9,2.6,2.7,4.2,5.1,6.5,8.9,5.1
5,2.9,5.7,4.8,5.8,3.8,5.0,3.4,2.9,2.8,2.5,3.2,2.9,2.8,3.7,3.6,6.0,7.8,7.9,13.0,5.7
6,2.6,4.4,5.6,3.6,4.8,3.6,2.8,2.6,3.4,3.1,3.2,2.9,4.9,4.3,5.8,9.1,7.9,7.8,8.2,8.0
7,4.9,4.4,4.0,3.0,4.7,7.7,3.4,4.5,3.4,5.8,5.7,6.0,6.9,8.0,5.8,6.2,6.7,5.0,7.5,12.2
8,5.5,5.1,4.8,6.3,11.1,11.1,11.1,4.8,10.2,10.0,8.9,5.6,7.8,6.1,5.8,6.0,7.7,12.9,17.6,14.2
9,7.4,5.9,7.2,6.2,11.1,11.1,11.1,11.1,7.3,6.8,6.6,13.4,9.1,8.1,8.5,9.3,14.2,12.6,14.4,11.8
10,7.7,12.6,14.3,9.5,11.1,11.1,11.1,11.1,9.7,15.4,8.7,11.9,7.1,6.6,10.1,13.2,11.5,23.7,31.4,14.5
11,11.8,13.2,12.8,14.3,11.1,11.1,11.1,11.1,10.2,10.1,13.1,11.7,11.4,9.2,11.9,8.3,16.9,25.5,32.4,18.5
12,13.3,19.3,19.5,13.6,11.1,11.1,11.1,11.1,21.1,13.3,7.5,13.4,10.7,8.4,9.5,8.7,10.9,27.7,31.8,35.7
13,6.9,16.1,21.9,11.2,11.1,11.1,11.1,11.1,23.8,21.1,10.2,6.9,10.9,10.0,8.3,7.9,10.5,10.9,15.0,15.3
14,9.3,9.1,9.1,8.7,11.1,11.1,11.1,11.1,20.0,21.9,13.5,10.2,9.0,10.9,10.6,10.7,10.4,10.1,13.3,13.7
15,11.1,6.1,5.4,4.3,11.1,11.1,11.1,11.1,12.6,11.7,13.0,8.6,6.8,13.3,10.8,6.3,11.0,9.4,17.7,15.0
16,5.9,4.1,4.3,5.4,11.1,11.1,11.1,11.1,7.4,6.8,6.6,6.2,7.3,10.1,8.5,12.2,19.5,25.4,18.1,15.9
17,7.8,4.6,6.7,4.7,11.1,11.1,11.1,11.1,4.3,6.3,12.5,18.5,11.9,11.6,9.3,15.3,17.6,33.6,21.1,10.0
18,5.7,4.2,3.4,3.7,11.1,11.1,11.1,11.1,8.3,10.6,10.0,18.1,14.4,13.8,11.4,14.7,20.8,20.5,28.7,16.4
19,5.8,6.0,5.1,4.6,11.1,11.1,11.1,11.1,9.5,7.3,14.0,17.5,21.1,24.9,19.3,15.1,18.4,25.6,20.6,20.0
