Site,Lat1,Lat2,Lat3,Lon1,Lon2,Lon3,Lat ,Lon
11J025,31,16,47.4,84,17,38.1,31.2798333333333,-84.2939166666667
11J029,31,16,47.43,84,17,38.66,31.2798416666667,-84.2940722222222
11J030,31,16,47.3,84,17,38.3,31.2798055555556,-84.2939722222222
