time,HEAD,Q1,Q2
0.5087819625434E-04,4.748878019,-189.2090804,1956.209080
0.1119320317595E-03,4.748762862,-189.1893885,1956.189389
0.1851966343658E-03,4.748624694,-189.1657627,1956.165763
0.2731141574933E-03,4.748458921,-189.1374180,1956.137418
0.3786151852463E-03,4.748260034,-189.1034138,1956.103414
0.5052164185499E-03,4.748021431,-189.0626220,1956.062622
0.6571378985142E-03,4.747735193,-189.0136909,1956.013691
0.8394436744713E-03,4.747391831,-188.9550013,1955.955001
0.1058210605620E-02,4.746979976,-188.8846134,1955.884613
0.1320730922998E-02,4.746486007,-188.8002050,1955.800205
0.1635755303852E-02,4.745893614,-188.6989971,1955.698997
0.2013784560877E-02,4.745183274,-188.5776659,1955.577666
0.2467419669307E-02,4.744331632,-188.4322382,1955.432238
0.3011781799422E-02,4.743310763,-188.2579694,1955.257969
0.3665016355561E-02,4.742087302,-188.0491979,1955.049198
0.4448897822928E-02,4.740621423,-187.7991766,1954.799177
0.5389555583768E-02,4.738865636,-187.4998754,1954.499875
0.6518344896776E-02,4.736763384,-187.1417537,1954.141754
0.7872892072385E-02,4.734247415,-186.7134988,1953.713499
0.9498348683117E-02,4.731237912,-186.2017299,1953.201730
0.1144889661599E-01,4.727640349,-185.5906668,1952.590667
0.1378955413545E-01,4.723343090,-184.8617669,1951.861767
0.1659834315879E-01,4.718214720,-183.9933361,1950.993336
0.1996888998680E-01,4.712101150,-182.9601295,1949.960129
0.2401354618042E-01,4.704822573,-181.7329614,1948.732961
0.2886713361276E-01,4.696170400,-180.2783616,1947.278362
0.3469143853156E-01,4.685904376,-178.5583284,1945.558328
0.4168060443413E-01,4.673750204,-176.5302514,1943.530251
0.5006760351721E-01,4.659398107,-174.1471041,1941.147104
0.6013200241691E-01,4.642502955,-171.3580320,1938.358032
0.7220928109654E-01,4.622686753,-168.1094972,1935.109497
0.8670201551210E-01,4.599544490,-164.3471571,1931.347157
0.1040932968108,4.572654490,-160.0186638,1927.018664
0.1249628343692,4.541594492,-155.0775389,1922.077539
0.1500062794393,4.505964509,-149.4881900,1916.488190
0.1800584135234,4.465417051,-143.2319622,1910.231962
0.2161209744243,4.419694363,-136.3138464,1903.313846
0.2593960475054,4.368670738,-128.7690847,1895.769085
0.3113261352028,4.312395905,-120.6684849,1887.668485
0.3736422404396,4.251133009,-112.1208788,1879.120879
0.4484215667238,4.185382529,-103.2710306,1870.271031
0.5381567582648,4.115882548,-94.29165752,1861.291658
0.6458389881140,4.043577246,-85.36923781,1852.369238
0.7750576639330,3.969550236,-76.68492768,1843.684928
0.9301200749159,3.894927311,-68.39380014,1835.393800
1.116194968095,3.820762564,-60.60699515,1827.606995
1.339484839911,3.747929542,-53.38138879,1820.381389
1.607432686089,3.677041218,-46.71960938,1813.719609
1.928970101503,3.608416930,-40.58009171,1807.580092
2.314815000000,3.542101856,-34.89366668,1801.893667
