,time,STAGE,INFLOW,RAINFALL,RUNOFF,LAK,WITHDRAWAL,EVAPORATION,STORAGE,VOLUME,SURFACE-AREA,WETTED-AREA,CONDUCTANCE
0,1.0,302.0008183,0.0,2048.465617,0.0,1432.796191,0.0,-480.8723056,0.0,4820408.264,763500.0,540000.0,13694.60149
1,32.0,301.9500656,0.0,494.2061613,0.0,1499.121637,0.0,-196.7053063,1249.989555,4781658.588,763500.0,540000.0,13694.60149
2,61.0,301.9037078,0.0,668.7206897,0.0,1511.548756,0.0,-311.9523555,1220.489893,4746264.381,763500.0,540000.0,13694.60149
3,92.0,301.8849498,0.0,1851.709161,0.0,1368.143521,0.0,-873.1646632,461.9895936,4731942.704,763500.0,540000.0,13694.60149
4,122.0,301.8892808,0.0,2333.6123,0.0,1096.265713,0.0,-1055.726856,-110.2230343,4735249.395,763500.0,540000.0,13694.60149
5,153.0,301.9470197,0.0,4385.29771,0.0,709.2479944,0.0,-2204.31955,-1422.052652,4779333.027,763500.0,540000.0,13694.60149
6,183.0,301.8400226,0.0,1131.2525,0.0,694.9730158,0.0,-3070.006963,2723.075477,4697640.763,763500.0,540000.0,13694.60149
7,214.0,301.6758386,0.0,287.7656129,0.0,360.0279896,0.0,-3820.913943,4043.692174,4572286.305,763500.0,540000.0,13694.60149
8,245.0,301.6197879,0.0,1770.384097,0.0,482.7067074,0.0,-2496.501291,1380.475635,4529491.561,763500.0,540000.0,13694.60149
9,275.0,301.5620373,0.0,659.3586,0.0,523.7750072,0.0,-1412.150205,1469.752573,4485398.983,763500.0,540000.0,13694.60149
10,306.0,301.6338305,0.0,3484.466226,0.0,863.652464,0.0,-685.9654397,-1768.197055,4540213.092,763500.0,540000.0,13694.60149
11,336.0,301.6083444,0.0,866.2162,0.0,989.3748228,0.0,-349.7190749,648.6216338,4520754.443,763500.0,540000.0,13694.60149
12,367.0,301.5956032,0.0,1238.64329,0.0,1158.852758,0.0,-213.0057804,313.8027091,4511026.559,763500.0,540000.0,13694.60149
