time,W1L1,W1L2,W1L3,W1L4,W2L1,W2L2,W2L3,W2L4,S1L1,S1L2,S1L3,S1L4,S2L1,S2L2,S2L3,S2L4,C1L1,C1L2,C1L3,C1L4,C2L1,C2L2,C2L3,C2L4,W2L4Q,GS1,ES1,PC1,GS2,ES2,PC2,GS3,ES3,PC3,GS4,ES4,PC4,SK1L2,SK2L4,T1L2,W1QIE,W1QII,W1QAQ,W1QT,W1WC,W2QIE,W2QII,W2QAQ,W2QT,W2WC
3652.500000000,0.7662618341E-01,0.8716327181E-01,0.4514345759E-02,0.2081509060E-02,0.9769406823E-02,0.6671913136E-02,0.2795035990E-01,0.1463595310,-0.1725968765E-01,0.1077837438E-01,0.000000000,0.1572695734E-02,-0.7465412014E-02,0.4713663306E-02,0.000000000,0.9603600133E-02,0.5936649576E-01,0.9794164619E-01,0.4514345759E-02,0.3654204794E-02,0.2303994809E-02,0.1138557644E-01,0.2795035990E-01,0.1559631311,38.39458495,194.3973389,134.4065152,133.9555671,501.8973389,292.0750876,291.6263652,598.8973389,331.7563429,335.2821715,1010.897339,536.4333398,547.2837209,0.1337542117E-02,0.8289673986E-03,0.4499995523,0.000000000,96.29204181,2.721188090,99.01322990,1.856011029,0.000000000,37.26825545,1.126329498,38.39458495,1.654535790
4017.750000000,0.8298116561E-01,0.9517105464E-01,0.4652040339E-02,0.2232222778E-02,0.1009557253E-01,0.6941088362E-02,0.3080852216E-01,0.1496013331,-0.1767959924E-01,0.1100467224E-01,0.000000000,0.1686568321E-02,-0.7787822852E-02,0.4903833856E-02,0.000000000,0.9701574595E-02,0.6530156637E-01,0.1061757269,0.4652040339E-02,0.3918791099E-02,0.2307749683E-02,0.1184492222E-01,0.3080852216E-01,0.1593029077,36.57523926,194.2293388,134.8178256,134.4065152,501.7293388,292.4845389,292.0750876,598.7293388,332.1121488,335.2821715,1010.729339,536.7353169,547.2837209,0.1334979788E-02,0.8284673701E-03,0.4499994139,0.000000000,87.69645810,2.478279127,90.17473723,1.692790681,0.000000000,35.50228142,1.072957838,36.57523926,1.567699286
4383.000000000,0.8875610000E-01,0.1025504814,0.4780492425E-02,0.2375076488E-02,0.1039769454E-01,0.7194448813E-02,0.3351755781E-01,0.1526997013,-0.1806795061E-01,0.1121321293E-01,0.000000000,0.1794502236E-02,-0.8092412180E-02,0.5082831369E-02,0.000000000,0.9795214167E-02,0.7068814939E-01,0.1137636943,0.4780492425E-02,0.4169578724E-02,0.2305282358E-02,0.1227728018E-01,0.3351755781E-01,0.1624949154,34.95696372,194.0742983,135.1974076,134.8178256,501.5742983,292.8625286,292.4845389,598.5742983,332.4444293,335.2821715,1010.574298,537.0217357,547.2837209,0.1332623043E-02,0.8279897538E-03,0.4499992512,0.000000000,80.81507740,2.283813096,83.09889050,1.562079193,0.000000000,33.93147902,1.025484699,34.95696372,1.492002382
4748.250000000,0.9405905175E-01,0.1094156908,0.4901220996E-02,0.2511089884E-02,0.1067928345E-01,0.7434210158E-02,0.3609650383E-01,0.1556700050,-0.1843043965E-01,0.1140722196E-01,0.000000000,0.1897267912E-02,-0.8381653142E-02,0.5252221203E-02,0.000000000,0.9884983346E-02,0.7562861211E-01,0.1208229128,0.4901220996E-02,0.4408357796E-02,0.2297630309E-02,0.1268643136E-01,0.3609650383E-01,0.1655549883,33.51209196,193.9298619,135.5510279,135.1974076,501.4298619,293.2147575,292.8625286,598.4298619,332.7570465,335.2821715,1010.429862,537.2946124,547.2837209,0.1330434393E-02,0.8275321426E-03,0.4499990631,0.000000000,75.18367614,2.124671159,77.30834730,1.455085199,0.000000000,32.52899349,0.9830984698,33.51209196,1.425380945
5113.500000000,0.9897058579E-01,0.1158524853,0.5015402146E-02,0.2641116696E-02,0.1094310179E-01,0.7662125418E-02,0.3856088485E-01,0.1585255907,-0.1877135888E-01,0.1158912410E-01,0.000000000,0.1995510393E-02,-0.8657503588E-02,0.5413241854E-02,0.000000000,0.9971285494E-02,0.8019922691E-01,0.1274416094,0.5015402146E-02,0.4636627089E-02,0.2285598200E-02,0.1307536727E-01,0.3856088485E-01,0.1684968762,32.21780067,193.7942588,135.8830215,135.5510279,501.2942588,293.5455153,293.2147575,598.2942588,333.0529927,335.2821715,1010.294259,537.5556364,547.2837209,0.1328385693E-02,0.8270924483E-03,0.4499988489,0.000000000,70.49193152,1.992083669,72.48401519,1.365929380,0.000000000,31.27267105,0.9451296141,32.21780067,1.366321879
5478.750000000,0.1035523999,0.1219270878,0.5123967249E-02,0.2765876161E-02,0.1119138079E-01,0.7879621028E-02,0.4092364629E-01,0.1612781191,-0.1909402810E-01,0.1176079079E-01,0.000000000,0.2089773099E-02,-0.8921558963E-02,0.5566901090E-02,0.000000000,0.1005447302E-01,0.8445837177E-01,0.1336878786,0.5123967249E-02,0.4855649260E-02,0.2269821825E-02,0.1344652212E-01,0.4092364629E-01,0.1713325921,31.05506731,193.6661225,136.1967345,135.8830215,501.1661225,293.8581159,293.5455153,598.1661225,333.3346386,335.2821715,1010.166123,537.8062319,547.2837209,0.1326455249E-02,0.8266688477E-03,0.4499986082,0.000000000,66.52542035,1.879991094,68.40541145,1.290548220,0.000000000,30.14404721,0.9110200935,31.05506731,1.313675574
5844.000000000,0.1078528335,0.1276917736,0.5227668056E-02,0.2885978180E-02,0.1142596017E-01,0.8087883903E-02,0.4319577132E-01,0.1639378315,-0.1940107312E-01,0.1192369931E-01,0.000000000,0.2180516847E-02,-0.9175149776E-02,0.5714037459E-02,0.000000000,0.1013485544E-01,0.8845176040E-01,0.1396154729,0.5227668056E-02,0.5066495027E-02,0.2250810390E-02,0.1380192136E-01,0.4319577132E-01,0.1740726870,30.00788396,193.5443739,136.4948087,136.1967345,501.0443739,294.1551779,293.8581159,598.0443739,333.6038991,335.2821715,1010.044374,538.0476071,547.2837209,0.1324625955E-02,0.8262597406E-03,0.4499983409,0.000000000,63.13139869,1.784076924,64.91547562,1.226046475,0.000000000,29.12758366,0.8803003061,30.00788396,1.266541166
6209.250000000,0.1119104985,0.1331886046,0.5327121123E-02,0.3001943280E-02,0.1164838156E-01,0.8287919036E-02,0.4538670295E-01,0.1665137638,-0.1969461096E-01,0.1207903833E-01,0.000000000,0.2268134922E-02,-0.9419405767E-02,0.5855360981E-02,0.000000000,0.1021270583E-01,0.9221588757E-01,0.1452676429,0.5327121123E-02,0.5270078202E-02,0.2228975792E-02,0.1414328002E-01,0.4538670295E-01,0.1767264696,29.06264365,193.4281444,136.7793706,136.4948087,500.9281444,294.4388099,294.1551779,597.9281444,333.8623455,335.2821715,1009.928144,538.2807939,547.2837209,0.1322884064E-02,0.8258637163E-03,0.4499980468,0.000000000,60.19801183,1.701180174,61.89919200,1.170303544,0.000000000,28.21007257,0.8525710822,29.06264365,1.224193623
6574.500000000,0.1157567444,0.1384519759,0.5422838997E-02,0.3114218416E-02,0.1185995327E-01,0.8480588934E-02,0.4750464304E-01,0.1690139171,-0.1997637624E-01,0.1222777983E-01,0.000000000,0.2352965025E-02,-0.9655299588E-02,0.5991481013E-02,0.000000000,0.1028826602E-01,0.9578036816E-01,0.1506797557,0.5422838997E-02,0.5467183440E-02,0.2204653683E-02,0.1447206995E-01,0.4750464304E-01,0.1793021831,28.20767637,193.3167235,137.0521597,136.7793706,500.8167235,294.7107379,294.4388099,597.8167235,334.1112849,335.2821715,1009.816724,538.5066788,547.2837209,0.1321218348E-02,0.8254795265E-03,0.4499977264,0.000000000,57.64130151,1.628928205,59.27022971,1.121727336,0.000000000,27.38018630,0.8274900747,28.20767637,1.186036390
6939.750000000,0.1194173792,0.1435104014,0.5515252645E-02,0.3223189553E-02,0.1206179669E-01,0.8666641542E-02,0.4955677115E-01,0.1714453986,-0.2024780983E-01,0.1237072962E-01,0.000000000,0.2435298773E-02,-0.9883677562E-02,0.6122925973E-02,0.000000000,0.1036175080E-01,0.9916956941E-01,0.1558811310,0.5515252645E-02,0.5658488326E-02,0.2178119132E-02,0.1478956751E-01,0.4955677115E-01,0.1818071494,27.43289600,193.2095219,137.3146187,137.0521597,500.7095219,294.9723943,294.7107379,597.7095219,334.3518168,335.2821715,1009.709522,538.7260276,547.2837209,0.1319619507E-02,0.8251060631E-03,0.4499973798,0.000000000,55.39685703,1.565500787,56.96235782,1.079096097,0.000000000,26.62813460,0.8047614012,27.43289600,1.151569771
7305.000000000,0.1229139017,0.1483877953,0.5604727974E-02,0.3329191734E-02,0.1225488061E-01,0.8846730669E-02,0.5154941013E-01,0.1738145382,-0.2051012258E-01,0.1250856351E-01,0.000000000,0.2515389309E-02,-0.1010528206E-01,0.6250157772E-02,0.000000000,0.1043335146E-01,0.1024037791,0.1608963589,0.5604727974E-02,0.5844581043E-02,0.2149598552E-02,0.1509688844E-01,0.5154941013E-01,0.1842478897,26.72953072,193.1060451,137.5679586,137.3146187,500.6060451,295.2249812,294.9723943,597.6060451,334.5848756,335.2821715,1009.606045,538.9395054,547.2837209,0.1318079752E-02,0.8247423398E-03,0.4499970078,0.000000000,53.41430732,1.509474447,54.92378177,1.041454053,0.000000000,25.94540299,0.7841277348,26.72953072,1.120369261
7670.250000000,0.1262644026,0.1531044143,0.5691578247E-02,0.3432517192E-02,0.1244004729E-01,0.9021431397E-02,0.5348815454E-01,0.1761269856,-0.2076434211E-01,0.1264185394E-01,0.000000000,0.2593457433E-02,-0.1032076832E-01,0.6373582702E-02,0.000000000,0.1050323876E-01,0.1055000605,0.1657462682,0.5691578247E-02,0.6025974624E-02,0.2119278975E-02,0.1539501410E-01,0.5348815454E-01,0.1866302244,26.08990771,193.0058739,137.8132053,137.5679586,500.5058739,295.4695179,295.2249812,597.5058739,334.8112615,335.2821715,1009.505874,539.1476927,547.2837209,0.1316592489E-02,0.8243874766E-03,0.4499966108,0.000000000,51.65359560,1.459717191,53.11331279,1.008040837,0.000000000,25.32454372,0.7653639880,26.08990771,1.092070057
8035.500000000,0.1294842395,0.1576775633,0.5776073588E-02,0.3533421936E-02,0.1261803279E-01,0.9191252025E-02,0.5537797299E-01,0.1783877929,-0.2101134797E-01,0.1277108994E-01,0.000000000,0.2669696573E-02,-0.1053071743E-01,0.6493559872E-02,0.000000000,0.1057156538E-01,0.1084728915,0.1704486533,0.5776073588E-02,0.6203118510E-02,0.2087315365E-02,0.1568481190E-01,0.5537797299E-01,0.1889593583,25.50728440,192.9086500,138.0512362,137.8132053,500.4086500,295.7068759,295.4695179,597.4086500,335.0316648,335.2821715,1009.408650,539.3510980,547.2837209,0.1315152093E-02,0.8240406873E-03,0.4499961896,0.000000000,50.08239874,1.415315577,51.49771432,0.9782426038,0.000000000,24.75901203,0.7482723637,25.50728440,1.066355843
8400.750000000,0.1325865488,0.1621221353,0.5858448382E-02,0.3632131144E-02,0.1278948311E-01,0.9356643554E-02,0.5722329132E-01,0.1806014850,-0.2125189848E-01,0.1289669239E-01,0.000000000,0.2744276864E-02,-0.1073564665E-01,0.6610407913E-02,0.000000000,0.1063846807E-01,0.1113346504,0.1750188277,0.5858448382E-02,0.6376408008E-02,0.2053836460E-02,0.1596705147E-01,0.5722329132E-01,0.1912399530,24.97571273,192.8140649,138.2828067,138.0512362,500.3140649,295.9378061,295.7068759,597.3140649,335.2466851,335.2821715,1009.314065,539.5501689,547.2837209,0.1313753726E-02,0.8237012679E-03,0.4499957449,0.000000000,48.67429987,1.375523068,50.04982294,0.9515574210,0.000000000,24.24303436,0.7326783717,24.97571273,1.042950381
8766.000000000,0.1355684330,0.1664293032,0.7474720580E-02,0.3727490747E-02,0.1295496369E-01,0.9518003770E-02,0.5902793204E-01,0.1827718373,-0.2148552912E-01,0.1301841184E-01,0.000000000,0.2816326341E-02,-0.1093601343E-01,0.6724407858E-02,0.000000000,0.1070406094E-01,0.1140829038,0.1794477151,0.7474720580E-02,0.6543817089E-02,0.2018950256E-02,0.1624241163E-01,0.5902793204E-01,0.1934758982,24.48673690,192.7222926,138.5074904,138.2828067,500.2222926,296.1618278,295.9378061,597.2222926,335.4496180,335.2821715,1009.222293,539.7425699,547.2837209,0.1312400030E-02,0.8233686308E-03,0.4499952775,0.000000000,47.16953196,1.332998721,48.50253068,0.9229725640,0.000000000,23.76840295,0.7183339558,24.48673690,1.021511655
9131.250000000,0.1384570419,0.1706373135,0.9424296041E-02,0.3822036178E-02,0.1311497780E-01,0.9675691394E-02,0.6079555200E-01,0.1849028108,-0.2171416422E-01,0.1313732911E-01,0.000000000,0.2887760667E-02,-0.1113223149E-01,0.6835813141E-02,0.000000000,0.1076846370E-01,0.1167428776,0.1837746426,0.9424296041E-02,0.6709796844E-02,0.1982746305E-02,0.1651150453E-01,0.6079555200E-01,0.1956712745,24.04245050,192.6325683,138.7271603,138.5074904,500.1325683,296.3809128,296.1618278,597.1325683,335.6534402,335.4496180,1009.132568,539.9334121,547.2837209,0.1311078862E-02,0.8230421609E-03,0.4499947884,0.000000000,46.08361645,1.302311031,47.38592748,0.9024020612,0.000000000,23.33714997,0.7053005324,24.04245050,1.002029558
9496.500000000,0.1412624421,0.1747575560,0.1135085784E-01,0.3915226376E-02,0.1326997137E-01,0.9830027101E-02,0.6252931803E-01,0.1869976603,-0.2193843836E-01,0.1325376610E-01,0.000000000,0.2958171038E-02,-0.1132467184E-01,0.6944850316E-02,0.000000000,0.1083177471E-01,0.1193240037,0.1880113221,0.1135085784E-01,0.6873397414E-02,0.1945299535E-02,0.1677487742E-01,0.6252931803E-01,0.1978294350,23.63488571,192.5446366,138.9424414,138.7271603,500.0446366,296.5956399,296.3809128,597.0446366,335.8549864,335.6534402,1009.044637,540.1216003,547.2837209,0.1309786551E-02,0.8227213526E-03,0.4499942782,0.000000000,45.12243705,1.275148351,46.39758540,0.8842784386,0.000000000,22.94154135,0.6933443607,23.63488571,0.9842039691
9861.750000000,0.1439899900,0.1787954481,0.1324286325E-01,0.4006906479E-02,0.1342034025E-01,0.9981297936E-02,0.6423206442E-01,0.1890593057,-0.2215863425E-01,0.1336787588E-01,0.000000000,0.3027440449E-02,-0.1151366738E-01,0.7051722178E-02,0.000000000,0.1089408221E-01,0.1218313558,0.1921633240,0.1324286325E-01,0.7034346928E-02,0.1906672867E-02,0.1703302011E-01,0.6423206442E-01,0.1999533879,23.26026517,192.4583812,139.1536185,138.9424414,499.9583812,296.8062788,296.5956399,596.9583812,336.0530430,335.8549864,1008.958381,540.3068180,547.2837209,0.1308521318E-02,0.8224057522E-03,0.4499937479,0.000000000,44.22058441,1.249662229,45.47024664,0.8672908915,0.000000000,22.57791054,0.6823546298,23.26026517,0.9678640037
10227.00000000,0.1466451071,0.1827570271,0.1510244132E-01,0.4097189522E-02,0.1356643682E-01,0.1012976150E-01,0.6590634888E-01,0.1910904040,-0.2237505609E-01,0.1347982907E-01,0.000000000,0.3095654304E-02,-0.1169951758E-01,0.7156610724E-02,0.000000000,0.1095546652E-01,0.1242700511,0.1962368561,0.1510244132E-01,0.7192843826E-02,0.1866919242E-02,0.1728637223E-01,0.6590634888E-01,0.2020458705,22.91562040,192.3736779,139.3609954,139.1536185,499.8736779,297.0131328,296.8062788,596.8736779,336.2478265,336.0530430,1008.873678,540.4892899,547.2837209,0.1307281197E-02,0.8220949473E-03,0.4499931983,0.000000000,43.38484847,1.226044549,44.61089301,0.8515603196,0.000000000,22.24337615,0.6722442569,22.91562040,0.9528697876
10592.25000000,0.1492329969,0.1866482371,0.1693212419E-01,0.4186186744E-02,0.1370857544E-01,0.1027564928E-01,0.6755447429E-01,0.1930933528,-0.2258800618E-01,0.1358979365E-01,0.000000000,0.3162896650E-02,-0.1188249209E-01,0.7259679489E-02,0.000000000,0.1101600008E-01,0.1266449907,0.2002380307,0.1693212419E-01,0.7349083393E-02,0.1826083354E-02,0.1753532877E-01,0.6755447429E-01,0.2041093529,22.59802718,192.2904041,139.5648727,139.3609954,499.7904041,297.2165018,297.0131328,596.7904041,336.4395960,336.2478265,1008.790404,540.6692375,547.2837209,0.1306064257E-02,0.8217885658E-03,0.4499926302,0.000000000,42.61420929,1.204266486,43.81847577,0.8370717423,0.000000000,21.93509972,0.6629274582,22.59802718,0.9390886967
10957.50000000,0.1517584691,0.1904746448,0.1873425946E-01,0.4273997854E-02,0.1384703701E-01,0.1041916945E-01,0.6917851452E-01,0.1950703145,-0.2279776929E-01,0.1369792694E-01,0.000000000,0.3229242822E-02,-0.1206283391E-01,0.7361075562E-02,0.000000000,0.1107574826E-01,0.1289606998,0.2041725717,0.1873425946E-01,0.7503240675E-02,0.1784203096E-02,0.1778024501E-01,0.6917851452E-01,0.2061460628,22.30483127,192.2084443,139.7655330,139.5648727,499.7084443,297.4166672,297.2165018,596.7084443,336.6285923,336.4395960,1008.708444,540.8468594,547.2837209,0.1304868698E-02,0.8214862721E-03,0.4499920446,0.000000000,41.90453347,1.184211232,43.08874470,0.8237487499,0.000000000,21.65050490,0.6543263704,22.30483127,0.9264010583
11322.75000000,0.1542258968,0.1942413535,0.2051098270E-01,0.4360712355E-02,0.1398207293E-01,0.1056050944E-01,0.7078033846E-01,0.1970232406,-0.2300460734E-01,0.1380437315E-01,0.000000000,0.3294760445E-02,-0.1224076218E-01,0.7460931345E-02,0.000000000,0.1113477002E-01,0.1312212895,0.2080457266,0.2051098270E-01,0.7655472800E-02,0.1741310750E-02,0.1802144078E-01,0.7078033846E-01,0.2081580106,22.03365169,192.1276925,139.9632356,139.7655330,499.6276925,297.6138874,297.4166672,596.6276925,336.8150346,336.6285923,1008.627693,541.0223340,547.2837209,0.1303692869E-02,0.8211877634E-03,0.4499914422,0.000000000,41.25074549,1.165735353,42.41648084,0.8114956570,0.000000000,21.38728055,0.6463711454,22.03365169,0.9146996262
11688.00000000,0.1566392290,0.1979529980,0.2226422758E-01,0.4446410866E-02,0.1411390855E-01,0.1069983807E-01,0.7236163160E-01,0.1989538932,-0.2320875878E-01,0.1390926326E-01,0.000000000,0.3359510431E-02,-0.1241647457E-01,0.7559366120E-02,0.000000000,0.1119311863E-01,0.1334304703,0.2118622613,0.2226422758E-01,0.7805921298E-02,0.1697433986E-02,0.1825920419E-01,0.7236163160E-01,0.2101470118,21.78235400,192.0480524,140.1582165,139.9632356,499.5480524,297.8083972,297.6138874,596.5480524,336.9991212,336.8150346,1008.548052,541.1958217,547.2837209,0.1302535274E-02,0.8208927666E-03,0.4499908239,0.000000000,40.64771609,1.148693899,41.79640999,0.8002151001,0.000000000,21.14335483,0.6389991683,21.78235400,0.9038882951
12053.25000000,0.1590020040,0.2016137411,0.2399569375E-01,0.4531161755E-02,0.1424272845E-01,0.1083728779E-01,0.7392304069E-01,0.2008618824,-0.2341043803E-01,0.1401271491E-01,0.000000000,0.3423544436E-02,-0.1259012545E-01,0.7656473453E-02,0.000000000,0.1125078231E-01,0.1355915660,0.2156264560,0.2399569375E-01,0.7954706192E-02,0.1652602997E-02,0.1849376125E-01,0.7392304069E-01,0.2121126648,21.52665798,191.9694373,140.3506879,140.1582165,499.4694373,298.0004077,297.8083972,596.4694373,337.1810265,336.9991212,1008.469437,541.3674587,547.2837209,0.1301394567E-02,0.8206013374E-03,0.4499901903,0.000000000,40.09027273,1.132940694,41.22321342,0.7898083993,0.000000000,20.89515982,0.6314981634,21.52665798,0.8931927077
