time,H1L1,H1L2,H1L3,H1L4,H2L1,H2L2,H3L2,H4L2
18627.75000000,97.14752854,97.00509923,104.9720942,112.9350923,110.4760523,110.4387719,101.4419657,92.39947200
18993.00000000,96.91591742,96.77386301,104.7478207,112.7178653,110.2657348,110.2285497,101.2342672,92.19432809
19358.25000000,96.68522291,96.54353049,104.5244654,112.5015398,110.0562004,110.0191102,101.0273106,91.98989491
19723.50000000,96.45522450,96.31389008,104.3017879,112.2858666,109.8476936,109.8107033,100.8215914,91.78693047
20088.75000000,96.22567724,96.08469585,104.0793688,112.0702417,109.6402148,109.6033240,100.6168711,91.58492056
20454.00000000,95.99684393,95.85622011,103.8577803,111.8555922,109.4335725,109.3967770,100.4128253,91.38341108
20819.25000000,95.76874489,95.62847841,103.6369040,111.6416248,109.2277014,109.1909995,100.2094786,91.18253310
21184.50000000,95.54137072,95.40146116,103.4168035,111.4284889,109.0225523,108.9859430,100.0067962,90.98226122
21549.75000000,95.31487038,95.17532021,103.1977318,111.2165474,108.8180965,108.7815788,99.80477659,90.78262284
21915.00000000,95.08904602,94.94985088,102.9791989,111.0049840,108.6161988,108.5798052,99.60515838,90.58527228
22280.25000000,105.4101621,105.6105452,109.8920660,114.1930674,111.5283844,111.5859084,113.0420211,114.5426197
22645.50000000,110.8487273,110.9549557,113.5006857,116.0573310,113.3539690,113.3905389,114.4640326,115.5424315
23010.75000000,113.9617670,114.0230425,115.6680976,117.3202255,114.5792700,114.6040568,115.4024278,116.2042336
23376.00000000,115.9029014,115.9414438,117.0882949,118.2400954,115.4648428,115.4829171,116.1100089,116.7398076
23741.25000000,117.2147865,117.2410634,118.0929347,118.9484962,116.1455502,116.1595454,116.6734097,117.1895001
24106.50000000,118.1653825,118.1845692,118.8496664,119.5176554,116.6945740,116.7059252,117.1403822,117.5767275
24471.75000000,118.8939196,118.9087140,119.4479698,119.9895785,117.1536068,117.1631356,117.5388661,117.9162340
24837.00000000,119.4768064,119.4886970,119.9384243,120.3901202,117.5475818,117.5557826,117.8860606,118.2177812
25202.25000000,119.9584157,119.9682724,120.3513326,120.7360745,117.8921493,117.8993345,118.1931010,118.4881534
25567.50000000,120.3659999,120.3743607,120.7059006,121.0389000,118.1976216,118.2039984,118.4675653,118.7322879
