,step,time,"(1, 11, 7)"
0,1,771837.0,2.00934e-06
1,2,1543670.0,2.07732e-05
2,3,2315510.0,0.000111591
3,4,3087350.0,0.000419658
4,5,3859180.0,0.00124302
5,6,4631020.0,0.00309668
6,7,5402860.0,0.0067445
7,8,6174700.0,0.0131917
8,9,6946530.0,0.0236227
9,10,7718370.0,0.0392896
10,11,8490210.0,0.0613686
11,12,9262040.0,0.0908074
12,13,10033900.0,0.12819
13,14,10805700.0,0.17364
14,15,11577600.0,0.22679
15,16,12349400.0,0.28676
16,17,13121200.0,0.35227
17,18,13893100.0,0.42171
18,19,14664900.0,0.49327
19,20,15436700.0,0.5651
20,21,16208600.0,0.63543
21,22,16980400.0,0.70267
22,23,17752200.0,0.76546
23,24,18524100.0,0.8228
24,25,19295900.0,0.874
25,26,20067800.0,0.91868
26,27,20839600.0,0.95678
27,28,21611400.0,0.98848
28,29,22383300.0,1.0142
29,30,23155100.0,1.0344
30,31,23926900.0,1.0497
31,32,24698800.0,1.0608
32,33,25470600.0,1.0684
33,34,26242400.0,1.0732
34,35,27014300.0,1.0756
35,36,27786100.0,1.0763
36,37,28558000.0,1.0758
37,38,29329800.0,1.0743
38,39,30101600.0,1.0722
39,40,30873500.0,1.0698
40,41,31536000.0,1.0677
41,1,32307800.0,1.0652
42,2,33079700.0,1.0628
43,3,33851500.0,1.0605
44,4,34623300.0,1.0581
45,5,35395200.0,1.0556
46,6,36167000.0,1.0522
47,7,36938900.0,1.0473
48,8,37710700.0,1.0399
49,9,38482500.0,1.0286
50,10,39254400.0,1.0124
51,11,40026200.0,0.98993
52,12,40798000.0,0.96027
53,13,41569900.0,0.92282
54,14,42341700.0,0.87743
55,15,43113500.0,0.82447
56,16,43885400.0,0.76478
57,17,44657200.0,0.69965
58,18,45429000.0,0.63066
59,19,46200900.0,0.55961
60,20,46972700.0,0.48833
61,21,47744600.0,0.41861
62,22,48516400.0,0.35202
63,23,49288200.0,0.28989
64,24,50060100.0,0.23323
65,25,50831900.0,0.18274
66,26,51603700.0,0.13877
67,27,52375600.0,0.10138
68,28,53147400.0,0.0703988
69,29,53919200.0,0.0454264
70,30,54691100.0,0.0259358
71,31,55462900.0,0.0113026
72,32,56234800.0,0.000857731
73,33,57006600.0,-0.00607324
74,34,57778400.0,-0.0101382
75,35,58550300.0,-0.0119361
76,36,59322100.0,-0.0120017
77,37,60093900.0,-0.0107983
78,38,60865800.0,-0.00871576
79,39,61637600.0,-0.00607234
80,40,62409400.0,-0.00312061
81,41,63072000.0,-0.00049213
