time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1902.407548264142,-1546.702234926214,3815.277324467189
3683.500000000,-1837.712258643654,-1494.577061847593,3703.054139952849
3712.500000000,-1887.197975318876,-1544.783515178381,3799.885066589074
3743.500000000,-1907.506133867682,-1572.337992144811,3845.966919196333
3773.500000000,-2301.350817317947,-1840.669334906290,4498.700689272099
3804.500000000,-2414.452668234510,-1951.384289098178,4718.031348222118
3834.500000000,-2417.904905485937,-1957.153597821552,4726.867279102872
3865.500000000,-1595.789648474922,-1349.835837134046,3319.756794877537
3896.500000000,-1014.663402477792,-885.2544814638778,2290.548182602275
3926.500000000,-712.7811431679856,-580.3748418716857,1696.089036431006
3957.500000000,-252.9796526350402,-268.8747399085232,934.6116514507628
3987.500000000,-60.38376986507846,-78.98133584528151,558.2221558867116
4018.500000000,-189.6960850920466,-98.59710761308290,706.8571895907940
4049.500000000,-565.4216777484729,-319.0527666204849,1296.175971432412
4077.500000000,-728.0843744966372,-437.6884527165505,1573.970178192928
4108.500000000,-1096.970671662569,-747.6163617753576,2241.349834950724
4138.500000000,-1218.256745107070,-898.0631924655009,2505.599233275794
4169.500000000,-1224.116879031940,-906.1685944971740,2518.993615709105
4199.500000000,-1270.868976080830,-911.3632878576491,2571.035766399139
4230.500000000,-1034.028771522392,-674.0025092105740,2107.380267879495
4261.500000000,-595.4277961896464,-395.4614626959285,1398.837664537186
4291.500000000,-324.9478914316418,-152.1129059056452,894.5312108230995
4322.500000000,-105.2578311590267,15.11882946331070,513.6620020012582
4352.500000000,-4.054109775897309,87.77233866701025,342.2941774002261
4383.500000000,-290.4277196014443,-85.39753042786472,797.2612932523566
