,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,780.826,780.848,780.871,780.894,780.917,780.939,780.962,780.985,781.008,781.03,781.053,781.076,781.099,781.121,781.144,781.167,781.19,781.212,781.235,781.258,781.281,781.303,781.326,781.349,781.372,781.394,781.417,781.44
1,780.773,780.796,780.819,780.842,780.865,780.887,780.91,780.933,780.956,780.978,781.001,781.024,781.047,781.069,781.092,781.115,781.138,781.16,781.183,781.206,781.229,781.251,781.274,781.297,781.32,781.342,781.365,781.388
2,780.721,780.744,780.767,780.79,780.813,780.835,780.858,780.881,780.904,780.926,780.949,780.972,780.995,781.017,781.04,781.063,781.086,781.108,781.131,781.154,781.177,781.199,781.222,781.245,781.268,781.29,781.313,781.336
3,780.669,780.692,780.715,780.738,780.76,780.783,780.806,780.829,780.852,780.874,780.897,780.92,780.943,780.965,780.988,781.011,781.034,781.056,781.079,781.102,781.125,781.147,781.17,781.193,781.216,781.238,781.261,781.284
4,780.617,780.64,780.663,780.686,780.708,780.731,780.754,780.777,780.799,780.822,780.845,780.868,780.891,780.913,780.936,780.959,780.982,781.004,781.027,781.05,781.073,781.095,781.118,781.141,781.164,781.186,781.209,781.232
5,780.565,780.588,780.611,780.634,780.656,780.679,780.702,780.725,780.747,780.77,780.793,780.816,780.839,780.861,780.884,780.907,780.93,780.952,780.975,780.998,781.021,781.043,781.066,781.089,781.112,781.134,781.157,781.18
6,780.513,780.536,780.559,780.582,780.604,780.627,780.65,780.673,780.695,780.718,780.741,780.764,780.786,780.809,780.832,780.855,780.878,780.9,780.923,780.946,780.969,780.991,781.014,781.037,781.06,781.082,781.105,781.128
7,780.461,780.484,780.507,780.53,780.552,780.575,780.598,780.621,780.643,780.666,780.689,780.712,780.734,780.757,780.78,780.803,780.826,780.848,780.871,780.894,780.917,780.939,780.962,780.985,781.008,781.03,781.053,781.076
8,780.409,780.432,780.455,780.478,780.5,780.523,780.546,780.569,780.591,780.614,780.637,780.66,780.682,780.705,780.728,780.751,780.773,780.796,780.819,780.842,780.865,780.887,780.91,780.933,780.956,780.978,781.001,781.024
9,780.357,780.38,780.403,780.426,780.448,780.471,780.494,780.517,780.539,780.562,780.585,780.608,780.63,780.653,780.676,780.699,780.721,780.744,780.767,780.79,780.813,780.835,780.858,780.881,780.904,780.926,780.949,780.972
10,780.305,780.328,780.351,780.374,780.396,780.419,780.442,780.465,780.487,780.51,780.533,780.556,780.578,780.601,780.624,780.647,780.669,780.692,780.715,780.738,780.76,780.783,780.806,780.829,780.852,780.874,780.897,780.92
11,780.253,780.276,780.299,780.322,780.344,780.367,780.39,780.413,780.435,780.458,780.481,780.504,780.526,780.549,780.572,780.595,780.617,780.64,780.663,780.686,780.708,780.731,780.754,780.777,780.799,780.822,780.845,780.868
12,780.201,780.224,780.247,780.27,780.292,780.315,780.338,780.361,780.383,780.406,780.429,780.452,780.474,780.497,780.52,780.543,780.565,780.588,780.611,780.634,780.656,780.679,780.702,780.725,780.747,780.77,780.793,780.816
13,780.149,780.172,780.195,780.218,780.24,780.263,780.286,780.309,780.331,780.354,780.377,780.4,780.422,780.445,780.468,780.491,780.513,780.536,780.559,780.582,780.604,780.627,780.65,780.673,780.695,780.718,780.741,780.764
14,780.097,780.12,780.143,780.166,780.188,780.211,780.234,780.257,780.279,780.302,780.325,780.348,780.37,780.393,780.416,780.439,780.461,780.484,780.507,780.53,780.552,780.575,780.598,780.621,780.643,780.666,780.689,780.712
15,780.045,780.068,780.091,780.114,780.136,780.159,780.182,780.205,780.227,780.25,780.273,780.296,780.318,780.341,780.364,780.387,780.409,780.432,780.455,780.478,780.5,780.523,780.546,780.569,780.591,780.614,780.637,780.66
16,779.994,780.016,780.039,780.062,780.084,780.107,780.13,780.153,780.175,780.198,780.221,780.244,780.266,780.289,780.312,780.335,780.357,780.38,780.403,780.426,780.448,780.471,780.494,780.517,780.539,780.562,780.585,780.608
17,779.942,779.964,779.987,780.01,780.032,780.055,780.078,780.101,780.123,780.146,780.169,780.192,780.214,780.237,780.26,780.283,780.305,780.328,780.351,780.374,780.396,780.419,780.442,780.465,780.487,780.51,780.533,780.556
18,779.89,779.912,779.935,779.958,779.981,780.003,780.026,780.049,780.071,780.094,780.117,780.14,780.162,780.185,780.208,780.231,780.253,780.276,780.299,780.322,780.344,780.367,780.39,780.413,780.435,780.458,780.481,780.504
19,779.838,779.86,779.883,779.906,779.929,779.951,779.974,779.997,780.019,780.042,780.065,780.088,780.11,780.133,780.156,780.179,780.201,780.224,780.247,780.27,780.292,780.315,780.338,780.361,780.383,780.406,780.429,780.452
20,779.786,779.808,779.831,779.854,779.877,779.899,779.922,779.945,779.968,779.99,780.013,780.036,780.058,780.081,780.104,780.127,780.149,780.172,780.195,780.218,780.24,780.263,780.286,780.309,780.331,780.354,780.377,780.4
21,779.734,779.756,779.779,779.802,779.825,779.847,779.87,779.893,779.916,779.938,779.961,779.984,780.006,780.029,780.052,780.075,780.097,780.12,780.143,780.166,780.188,780.211,780.234,780.257,780.279,780.302,780.325,780.348
22,779.682,779.704,779.727,779.75,779.773,779.795,779.818,779.841,779.864,779.886,779.909,779.932,779.955,779.977,780.0,780.023,780.045,780.068,780.091,780.114,780.136,780.159,780.182,780.205,780.227,780.25,780.273,780.296
23,779.63,779.652,779.675,779.698,779.721,779.743,779.766,779.789,779.812,779.834,779.857,779.88,779.903,779.925,779.948,779.971,779.994,780.016,780.039,780.062,780.084,780.107,780.13,780.153,780.175,780.198,780.221,780.244
24,779.578,779.6,779.623,779.646,779.669,779.691,779.714,779.737,779.76,779.782,779.805,779.828,779.851,779.873,779.896,779.919,779.942,779.964,779.987,780.01,780.032,780.055,780.078,780.101,780.123,780.146,780.169,780.192
25,779.526,779.548,779.571,779.594,779.617,779.639,779.662,779.685,779.708,779.73,779.753,779.776,779.799,779.821,779.844,779.867,779.89,779.912,779.935,779.958,779.981,780.003,780.026,780.049,780.071,780.094,780.117,780.14
26,779.474,779.496,779.519,779.542,779.565,779.587,779.61,779.633,779.656,779.678,779.701,779.724,779.747,779.769,779.792,779.815,779.838,779.86,779.883,779.906,779.929,779.951,779.974,779.997,780.019,780.042,780.065,780.088
27,779.422,779.444,779.467,779.49,779.513,779.535,779.558,779.581,779.604,779.626,779.649,779.672,779.695,779.717,779.74,779.763,779.786,779.808,779.831,779.854,779.877,779.899,779.922,779.945,779.968,779.99,780.013,780.036
28,779.37,779.392,779.415,779.438,779.461,779.483,779.506,779.529,779.552,779.574,779.597,779.62,779.643,779.665,779.688,779.711,779.734,779.756,779.779,779.802,779.825,779.847,779.87,779.893,779.916,779.938,779.961,779.984
29,779.318,779.34,779.363,779.386,779.409,779.431,779.454,779.477,779.5,779.522,779.545,779.568,779.591,779.613,779.636,779.659,779.682,779.704,779.727,779.75,779.773,779.795,779.818,779.841,779.864,779.886,779.909,779.932
30,779.266,779.288,779.311,779.334,779.357,779.379,779.402,779.425,779.448,779.47,779.493,779.516,779.539,779.561,779.584,779.607,779.63,779.652,779.675,779.698,779.721,779.743,779.766,779.789,779.812,779.834,779.857,779.88
31,779.214,779.236,779.259,779.282,779.305,779.327,779.35,779.373,779.396,779.418,779.441,779.464,779.487,779.509,779.532,779.555,779.578,779.6,779.623,779.646,779.669,779.691,779.714,779.737,779.76,779.782,779.805,779.828
32,779.161,779.184,779.207,779.23,779.253,779.275,779.298,779.321,779.344,779.366,779.389,779.412,779.435,779.457,779.48,779.503,779.526,779.548,779.571,779.594,779.617,779.639,779.662,779.685,779.708,779.73,779.753,779.776
33,779.109,779.132,779.155,779.178,779.201,779.223,779.246,779.269,779.292,779.314,779.337,779.36,779.383,779.405,779.428,779.451,779.474,779.496,779.519,779.542,779.565,779.587,779.61,779.633,779.656,779.678,779.701,779.724
34,779.057,779.08,779.103,779.126,779.148,779.171,779.194,779.217,779.24,779.262,779.285,779.308,779.331,779.353,779.376,779.399,779.422,779.444,779.467,779.49,779.513,779.535,779.558,779.581,779.604,779.626,779.649,779.672
35,779.005,779.028,779.051,779.074,779.096,779.119,779.142,779.165,779.188,779.21,779.233,779.256,779.279,779.301,779.324,779.347,779.37,779.392,779.415,779.438,779.461,779.483,779.506,779.529,779.552,779.574,779.597,779.62
36,778.953,778.976,778.999,779.022,779.044,779.067,779.09,779.113,779.135,779.158,779.181,779.204,779.227,779.249,779.272,779.295,779.318,779.34,779.363,779.386,779.409,779.431,779.454,779.477,779.5,779.522,779.545,779.568
37,778.901,778.924,778.947,778.97,778.992,779.015,779.038,779.061,779.083,779.106,779.129,779.152,779.174,779.197,779.22,779.243,779.266,779.288,779.311,779.334,779.357,779.379,779.402,779.425,779.448,779.47,779.493,779.516
38,778.849,778.872,778.895,778.918,778.94,778.963,778.986,779.009,779.031,779.054,779.077,779.1,779.122,779.145,779.168,779.191,779.214,779.236,779.259,779.282,779.305,779.327,779.35,779.373,779.396,779.418,779.441,779.464
39,778.797,778.82,778.843,778.866,778.888,778.911,778.934,778.957,778.979,779.002,779.025,779.048,779.07,779.093,779.116,779.139,779.161,779.184,779.207,779.23,779.253,779.275,779.298,779.321,779.344,779.366,779.389,779.412
40,778.745,778.768,778.791,778.814,778.836,778.859,778.882,778.905,778.927,778.95,778.973,778.996,779.018,779.041,779.064,779.087,779.109,779.132,779.155,779.178,779.201,779.223,779.246,779.269,779.292,779.314,779.337,779.36
41,778.693,778.716,778.739,778.762,778.784,778.807,778.83,778.853,778.875,778.898,778.921,778.944,778.966,778.989,779.012,779.035,779.057,779.08,779.103,779.126,779.148,779.171,779.194,779.217,779.24,779.262,779.285,779.308
42,778.641,778.664,778.687,778.71,778.732,778.755,778.778,778.801,778.823,778.846,778.869,778.892,778.914,778.937,778.96,778.983,779.005,779.028,779.051,779.074,779.096,779.119,779.142,779.165,779.188,779.21,779.233,779.256
43,778.589,778.612,778.635,778.658,778.68,778.703,778.726,778.749,778.771,778.794,778.817,778.84,778.862,778.885,778.908,778.931,778.953,778.976,778.999,779.022,779.044,779.067,779.09,779.113,779.135,779.158,779.181,779.204
44,778.537,778.56,778.583,778.606,778.628,778.651,778.674,778.697,778.719,778.742,778.765,778.788,778.81,778.833,778.856,778.879,778.901,778.924,778.947,778.97,778.992,779.015,779.038,779.061,779.083,779.106,779.129,779.152
