,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
19,0.0,0.0,0.0,0.0,10.756,27.286,37.206,44.339,51.806,59.526,67.406,75.355,83.276,91.072,98.648,105.912,112.773,119.139,124.91,129.972,134.183,137.361,139.27,139.62,138.083,134.343,128.238,121.292,118.964,115.721,110.601,103.913,96.028,87.28,73.126,43.304,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,11.623,28.56,38.691,45.966,53.57,61.415,69.397,77.405,85.325,93.036,100.423,107.369,113.766,119.508,124.49,128.6,131.708,133.663,134.278,133.34,130.627,125.954,119.343,112.533,109.851,106.866,102.316,96.342,89.215,81.21,68.073,39.885,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,12.094,29.379,39.735,47.175,54.949,62.958,71.084,79.199,87.166,94.841,102.084,108.758,114.736,119.906,124.165,127.416,129.561,130.495,130.102,128.269,124.923,120.119,114.296,108.697,104.366,100.319,95.534,89.75,83.027,75.529,63.223,36.743,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,12.151,29.722,40.317,47.949,55.932,64.154,72.482,80.768,88.85,96.558,103.726,110.192,115.813,120.472,124.076,126.555,127.854,127.927,126.737,124.267,120.564,115.812,110.432,105.053,100.057,95.174,89.925,84.043,77.478,70.299,58.645,33.836,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,11.783,29.564,40.413,48.266,56.502,64.995,73.595,82.131,90.414,98.247,105.43,111.771,117.106,121.314,124.319,126.088,126.62,125.934,124.065,121.075,117.08,112.282,106.993,101.555,96.16,90.737,85.077,79.01,72.473,65.486,54.343,31.075,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,10.981,28.878,39.992,48.099,56.638,65.467,74.417,83.295,91.885,99.955,107.263,113.579,118.706,122.516,124.953,126.037,125.832,124.426,121.923,118.437,114.116,109.148,103.756,98.15,92.452,86.659,80.685,74.439,67.879,61.014,50.27,28.376,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,9.742,27.631,39.02,47.415,56.311,65.545,74.929,84.248,93.263,101.703,109.274,115.685,120.689,124.135,126.002,126.378,125.414,123.278,120.131,116.13,111.43,106.198,100.6,94.78,88.827,82.76,76.552,70.162,63.569,56.788,46.367,25.667,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8.074,25.79,37.459,46.18,55.486,65.193,75.09,84.951,94.514,103.477,111.481,118.144,123.119,126.214,127.454,127.041,125.247,122.329,118.506,113.956,108.835,103.284,97.432,91.385,85.209,78.932,72.551,66.054,59.439,52.723,42.566,22.9,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,6.004,23.32,35.273,44.363,54.136,64.373,74.848,85.328,95.553,105.201,113.852,120.98,126.053,128.772,129.248,127.889,125.149,121.384,116.852,111.733,106.171,100.282,94.166,87.901,81.537,75.101,68.598,62.031,55.406,48.75,38.811,20.037,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,3.592,20.188,32.438,41.956,52.253,63.059,74.136,85.266,96.218,106.694,116.245,124.166,129.542,131.787,131.218,128.672,124.854,120.197,114.953,109.28,103.293,97.082,90.721,84.268,77.759,71.213,64.637,58.035,51.42,44.819,35.061,17.053,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.949,16.366,28.963,39.002,49.88,61.257,72.897,84.617,96.254,107.596,118.278,127.507,133.629,135.117,132.962,128.944,123.986,118.473,112.584,106.425,100.071,93.586,87.025,80.433,73.832,67.233,60.634,54.038,47.453,40.911,31.294,13.932,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,11.838,24.938,35.658,47.152,59.035,71.104,83.237,95.345,107.34,119.08,130.157,138.328,138.062,133.51,127.996,122.082,115.91,109.542,103.024,96.399,89.715,83.021,76.354,69.729,63.141,56.577,50.031,43.506,37.029,27.52,10.664,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,6.599,20.705,32.294,44.335,56.542,68.798,81.043,93.232,105.328,117.296,129.077,139.903,137.039,131.165,125.042,118.738,112.277,105.682,98.982,92.213,85.423,78.669,72.004,65.435,58.935,52.471,46.028,39.602,33.212,23.786,7.248,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.753,17.335,29.558,41.787,53.979,66.092,78.084,89.891,101.412,112.428,122.308,128.91,129.15,125.223,119.838,113.844,107.516,100.972,94.284,87.507,80.702,73.956,67.375,60.963,54.637,48.344,42.062,35.788,29.526,20.209,3.694,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,1.917,16.407,28.008,39.776,51.519,63.138,74.537,85.587,96.085,105.646,113.516,118.431,119.437,117.168,112.948,107.662,101.767,95.497,88.992,82.34,75.61,68.899,62.49,56.363,50.291,44.23,38.171,32.11,26.049,16.967,0.123,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,4.784,17.201,27.478,38.292,49.234,60.077,70.641,80.727,90.062,98.24,104.67,108.668,109.851,108.469,105.188,100.647,95.295,89.425,83.226,76.822,70.299,63.72,57.561,51.756,45.959,40.169,34.383,28.604,22.831,14.207,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,7.053,18.275,27.371,37.114,47.09,57.005,66.617,75.677,83.893,90.903,96.28,99.633,100.771,99.823,97.161,93.222,88.386,82.945,77.115,71.052,64.883,58.748,52.855,47.211,41.67,36.175,30.71,25.274,19.872,11.896,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,8.76,19.107,27.261,36.013,45.018,53.978,62.627,70.697,77.905,83.942,88.496,91.318,92.299,91.519,89.214,85.695,81.274,76.222,70.764,65.076,59.306,53.587,48.027,42.649,37.403,32.241,27.141,22.097,17.12,9.867,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,9.954,19.57,26.96,34.849,42.961,51.021,58.767,65.937,72.266,77.489,81.364,83.714,84.469,83.685,81.536,78.262,74.126,69.382,64.251,58.919,53.535,48.215,43.033,38.011,33.127,28.349,23.655,19.039,14.513,7.981,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,10.685,19.656,26.407,33.56,40.885,48.143,55.088,61.473,67.054,71.595,74.894,76.81,77.289,76.38,74.226,71.035,67.048,62.505,57.629,52.607,47.584,42.663,37.895,33.29,28.83,24.486,20.236,16.071,12.004,6.16,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,11.0,19.389,25.597,32.125,38.779,45.347,51.609,57.335,62.296,66.276,69.087,70.599,70.764,69.631,67.336,64.08,60.1,55.641,50.93,46.16,41.475,36.959,32.64,28.507,24.525,20.659,16.882,13.183,9.572,4.38,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,10.942,18.801,24.545,30.544,36.633,42.627,48.326,53.519,57.99,61.526,63.934,65.077,64.901,63.455,60.89,57.423,53.309,48.808,44.165,39.588,35.22,31.128,27.304,23.697,20.244,16.893,13.611,10.384,7.22,2.642,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,10.548,17.924,23.269,28.822,34.44,39.963,45.213,49.998,54.109,57.327,59.433,60.254,59.711,57.863,54.897,51.075,46.684,42.01,37.329,32.88,28.824,25.198,21.934,18.917,16.042,13.237,10.46,7.701,4.967,0.962,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,9.851,16.789,21.787,26.961,32.187,37.326,42.226,46.715,50.597,53.637,55.572,56.143,55.212,52.857,49.346,45.024,40.222,35.247,30.41,26.018,22.286,19.212,16.609,14.259,12.005,9.76,7.486,5.176,2.845,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,8.879,15.423,20.119,24.966,29.855,34.673,39.294,43.576,47.346,50.371,52.317,52.768,51.424,48.408,44.184,39.235,33.927,28.55,23.422,18.979,15.617,13.261,11.467,9.861,8.251,6.556,4.756,2.86,0.896,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,7.664,13.861,18.29,22.842,27.427,31.954,36.328,40.446,44.18,47.337,49.56,50.152,48.345,44.393,39.262,33.627,27.827,22.046,16.497,11.761,8.878,7.58,6.762,5.927,4.928,3.73,2.345,0.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
