X	Y	10_Bott_L2	
1516794.3729465	5033563.1496854	45.477222442627	
1516844.8769381	5033575.7417448	45.546333312988	
1516895.3809296	5033588.3338041	45.644577026367	
1516945.8849211	5033600.9258634	45.750240325928	
1516996.3889127	5033613.5179228	45.874855041504	
1517046.8929042	5033626.1099821	45.996807098389	
1517097.3968957	5033638.7020415	46.112716674805	
1517147.9008873	5033651.2941008	46.21533203125	
1517198.4048788	5033663.8861602	46.32368850708	
1517248.9088704	5033676.4782195	46.428703308105	
1517299.4128619	5033689.0702789	46.526260375977	
1517349.9168534	5033701.6623382	46.63138961792	
1517400.420845	5033714.2543975	46.74055480957	
1517450.9248365	5033726.8464569	46.855495452881	
1517501.428828	5033739.4385162	46.993869781494	
1517551.9328196	5033752.0305756	47.110565185547	
1517602.4368111	5033764.6226349	47.218097686768	
1517652.9408026	5033777.2146943	47.309928894043	
1517703.4447942	5033789.8067536	47.374118804932	
1517753.9487857	5033802.398813	47.422386169434	
1517804.4527772	5033814.9908723	47.448371887207	
1517854.9567688	5033827.5829317	47.453300476074	
1517905.4607603	5033840.174991	47.427715301514	
1517955.9647518	5033852.7670503	47.393051147461	
1518006.4687434	5033865.3591097	47.339672088623	
1518056.9727349	5033877.951169	47.267383575439	
1518107.4767264	5033890.5432284	47.164691925049	
1518157.980718	5033903.1352877	47.053298950195	
1518208.4847095	5033915.7273471	46.924015045166	
1518258.9887011	5033928.3194064	46.780132293701	
1518309.4926926	5033940.9114658	46.618068695068	
1518359.9966841	5033953.5035251	46.456420898438	
1518410.5006757	5033966.0955844	46.289752960205	
1518461.0046672	5033978.6876438	46.087375640869	
1518511.5086587	5033991.2797031	45.909671783447	
1518562.0126503	5034003.8717625	45.738452911377	
1518612.5166418	5034016.4638218	45.567218780518	
1518663.0206333	5034029.0558812	45.388832092285	
1518713.5246249	5034041.6479405	45.220527648926	
1518764.0286164	5034054.2399999	45.060966491699	
1518814.5326079	5034066.8320592	44.917335510254	
1518865.0365995	5034079.4241186	44.781646728516	
