X	Y	11_Bott_L3	
1516794.3729465	5033563.1496854	-14.52277755737	
1516844.8769381	5033575.7417448	-14.45366668701	
1516895.3809296	5033588.3338041	-14.35542297363	
1516945.8849211	5033600.9258634	-14.24975967407	
1516996.3889127	5033613.5179228	-14.1251449585	
1517046.8929042	5033626.1099821	-14.00319290161	
1517097.3968957	5033638.7020415	-13.8872833252	
1517147.9008873	5033651.2941008	-13.78466796875	
1517198.4048788	5033663.8861602	-13.67631149292	
1517248.9088704	5033676.4782195	-13.57129669189	
1517299.4128619	5033689.0702789	-13.47373962402	
1517349.9168534	5033701.6623382	-13.36861038208	
1517400.420845	5033714.2543975	-13.25944519043	
1517450.9248365	5033726.8464569	-13.14450454712	
1517501.428828	5033739.4385162	-13.00613021851	
1517551.9328196	5033752.0305756	-12.88943481445	
1517602.4368111	5033764.6226349	-12.78190231323	
1517652.9408026	5033777.2146943	-12.69007110596	
1517703.4447942	5033789.8067536	-12.62588119507	
1517753.9487857	5033802.398813	-12.57761383057	
1517804.4527772	5033814.9908723	-12.55162811279	
1517854.9567688	5033827.5829317	-12.54669952393	
1517905.4607603	5033840.174991	-12.57228469849	
1517955.9647518	5033852.7670503	-12.60694885254	
1518006.4687434	5033865.3591097	-12.66032791138	
1518056.9727349	5033877.951169	-12.73261642456	
1518107.4767264	5033890.5432284	-12.83530807495	
1518157.980718	5033903.1352877	-12.9467010498	
1518208.4847095	5033915.7273471	-13.07598495483	
1518258.9887011	5033928.3194064	-13.2198677063	
1518309.4926926	5033940.9114658	-13.38193130493	
1518359.9966841	5033953.5035251	-13.54357910156	
1518410.5006757	5033966.0955844	-13.71024703979	
1518461.0046672	5033978.6876438	-13.91262435913	
1518511.5086587	5033991.2797031	-14.09032821655	
1518562.0126503	5034003.8717625	-14.26154708862	
1518612.5166418	5034016.4638218	-14.43278121948	
1518663.0206333	5034029.0558812	-14.61116790771	
1518713.5246249	5034041.6479405	-14.77947235107	
1518764.0286164	5034054.2399999	-14.9390335083	
1518814.5326079	5034066.8320592	-15.08266448975	
1518865.0365995	5034079.4241186	-15.21835327148	
1518915.540591	5034092.0161779	-15.32803344727	
1518966.0445825	5034104.6082372	-15.42422866821	
1519016.5485741	5034117.2002966	-15.5080947876	
1519067.0525656	5034129.7923559	-15.59025192261	
1519117.5565571	5034142.3844153	-15.64754867554	
1519168.0605487	5034154.9764746	-15.6870803833	
1519218.5645402	5034167.568534	-15.70468902588	
1519269.0685318	5034180.1605933	-15.71525192261	
1519319.5725233	5034192.7526527	-15.6859664917	
1519370.0765148	5034205.344712	-15.63362503052	
1519420.5805064	5034217.9367713	-15.56034851074	
1519471.0844979	5034230.5288307	-15.4659576416	
1519521.5884894	5034243.12089	-15.35486602783	
