,0,1,2,3,4,5,6,7,8
0,"(0, 2, 1)","(0, 0, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.53559924999297,left
1,"(0, 2, 1)","(0, 1, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,66.66666666666666,left
2,"(0, 2, 1)","(0, 2, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.53559924999297,left
3,"(0, 3, 1)","(0, 3, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.53559924999297,left
4,"(0, 3, 1)","(0, 4, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,66.66666666666666,left
5,"(0, 3, 1)","(0, 5, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.535599249993,left
6,"(0, 4, 1)","(0, 6, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.53559924999294,left
7,"(0, 4, 1)","(0, 7, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,66.66666666666666,left
8,"(0, 4, 1)","(0, 8, 0)",1,50.0,16.666666666666668,33.333333333333336,0.0,74.53559924999297,left
9,"(0, 5, 2)","(0, 8, 0)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.53559924999301,bottom
10,"(0, 5, 2)","(0, 8, 1)",1,50.0,16.666666666666668,33.333333333333336,90.0,66.66666666666669,bottom
11,"(0, 5, 2)","(0, 8, 2)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.535599249993,bottom
12,"(0, 5, 3)","(0, 8, 3)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.535599249993,bottom
13,"(0, 5, 3)","(0, 8, 4)",1,50.0,16.666666666666668,33.333333333333336,90.0,66.66666666666669,bottom
14,"(0, 5, 3)","(0, 8, 5)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.53559924999303,bottom
15,"(0, 5, 4)","(0, 8, 6)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.53559924999297,bottom
16,"(0, 5, 4)","(0, 8, 7)",1,50.0,16.666666666666668,33.333333333333336,90.0,66.66666666666669,bottom
17,"(0, 5, 4)","(0, 8, 8)",1,50.0,16.666666666666668,33.333333333333336,90.0,74.535599249993,bottom
18,"(0, 2, 5)","(0, 0, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.535599249993,right
19,"(0, 2, 5)","(0, 1, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,66.66666666666669,right
20,"(0, 2, 5)","(0, 2, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.535599249993,right
21,"(0, 3, 5)","(0, 3, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.535599249993,right
22,"(0, 3, 5)","(0, 4, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,66.66666666666669,right
23,"(0, 3, 5)","(0, 5, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.53559924999303,right
24,"(0, 4, 5)","(0, 6, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.53559924999297,right
25,"(0, 4, 5)","(0, 7, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,66.66666666666669,right
26,"(0, 4, 5)","(0, 8, 8)",1,50.0,16.666666666666668,33.333333333333336,180.0,74.535599249993,right
27,"(0, 1, 2)","(0, 0, 0)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.53559924999301,top
28,"(0, 1, 2)","(0, 0, 1)",1,50.0,16.666666666666668,33.333333333333336,270.0,66.66666666666669,top
29,"(0, 1, 2)","(0, 0, 2)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.535599249993,top
30,"(0, 1, 3)","(0, 0, 3)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.535599249993,top
31,"(0, 1, 3)","(0, 0, 4)",1,50.0,16.666666666666668,33.333333333333336,270.0,66.66666666666669,top
32,"(0, 1, 3)","(0, 0, 5)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.53559924999303,top
33,"(0, 1, 4)","(0, 0, 6)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.53559924999297,top
34,"(0, 1, 4)","(0, 0, 7)",1,50.0,16.666666666666668,33.333333333333336,270.0,66.66666666666669,top
35,"(0, 1, 4)","(0, 0, 8)",1,50.0,16.666666666666668,33.333333333333336,270.0,74.535599249993,top
