,q,x,y,boundname,screen_top,screen_botm,enddatetime,datetime,laymidpt
20,0.0,1519847.8747,5031737.3844,r10_ln__0,103.82524109,67.02360535,2022-12-31,2021-01-01,85.42442322
21,0.0,1519967.0929,5032427.1653,p12_ln__0,104.8481369,69.58693695,2022-12-31,2021-01-01,87.21753692499999
22,0.0,1518762.0032,5031310.9926,s__0,106.4753418,63.43370056,2022-12-31,2021-01-01,84.95452118
23,0.0,1518995.907,5031314.895,p1_ex__0,107.16414642,63.71901703,2022-12-31,2021-01-01,85.44158172499999
24,0.0,1519010.7429,5031322.4382,p2_ex__0,106.9144516,63.74479675,2022-12-31,2021-01-01,85.329624175
25,0.0,1519025.8164,5031329.9788,p3_ex__0,106.9144516,63.74479675,2022-12-31,2021-01-01,85.329624175
26,0.0,1519041.909,5031338.2682,p4_ex__0,106.76887512,63.88500977,2022-12-31,2021-01-01,85.326942445
27,0.0,1519101.7234,5031185.2122,r1_ex__0,107.34294128,63.33143616,2022-12-31,2021-01-01,85.33718872
28,0.0,1519121.5788,5031183.7007,r2_ex__0,107.3197403,63.39949799,2022-12-31,2021-01-01,85.35961914500001
29,0.0,1519133.1434,5031196.0142,r3_ex__0,107.3197403,63.39949799,2022-12-31,2021-01-01,85.35961914500001
30,0.0,1519144.9492,5031210.0884,r4_ex__0,107.15679169,63.55331802,2022-12-31,2021-01-01,85.355054855
31,0.0,1519160.4357,5031226.2654,r5_ex__0,107.20357513,63.58148956,2022-12-31,2021-01-01,85.392532345
32,0.0,1518884.1911,5031254.9478,p1_sky__0,106.16899872,63.37712479,2022-12-31,2021-01-01,84.773061755
33,0.0,1518900.776,5031262.9992,p2_sky__0,105.35591125,63.43870163,2022-12-31,2021-01-01,84.39730644
34,0.0,1518917.3727,5031274.5576,p3_sky__0,105.85125732,63.49369812,2022-12-31,2021-01-01,84.67247772
35,0.0,1518937.478,5031284.6102,p4_sky__0,105.5443573,63.56428909,2022-12-31,2021-01-01,84.554323195
36,0.0,1518911.5844,5031138.135,r1_sky__0,106.70581818,62.94184494,2022-12-31,2021-01-01,84.82383156
37,0.0,1518856.9256,5031071.3583,r2_sky__0,107.22766113,62.68336105,2022-12-31,2021-01-01,84.95551109
38,0.0,1518881.553,5031094.9778,r3_sky__0,107.55532837,62.80521011,2022-12-31,2021-01-01,85.18026924
39,0.0,1518894.1165,5031110.56,r4_sky__0,107.79597473,62.81738281,2022-12-31,2021-01-01,85.30667876999999
40,0.0,1519264.8579,5031768.3393,pc2_ams__0,108.07393646,66.34021759,2022-12-31,2021-01-01,87.20707702499999
41,0.0,1520038.0041,5031872.9992,prof_p2__0,105.02639008,67.67515564,2022-12-31,2021-01-01,86.35077286
42,0.0,1519388.4654,5031690.3563,pc3_ams__0,107.99062347,66.15500641,2022-12-31,2021-01-01,87.07281494
43,0.0,1518746.0021,5031297.9956,p1_s1__0,107.17964935,63.40849304,2022-12-31,2021-01-01,85.294071195
44,0.0,1518748.0041,5031291.9915,p2_s1__0,107.17964935,63.40849304,2022-12-31,2021-01-01,85.294071195
45,0.0,1518749.9975,5031283.9963,p3_s1__0,106.56459808,63.33836746,2022-12-31,2021-01-01,84.95148277
46,0.0,1518752.0013,5031276.993,p4_s1__0,106.56459808,63.33836746,2022-12-31,2021-01-01,84.95148277
47,0.0,1518784.0006,5031152.991,r1_s1__0,106.21948242,62.96896362,2022-12-31,2021-01-01,84.59422302
48,0.0,1518781.002,5031162.9926,r2_s1__0,106.21948242,62.96896362,2022-12-31,2021-01-01,84.59422302
49,0.0,1518778.9982,5031169.9959,r3_s1__0,105.86575317,63.03728867,2022-12-31,2021-01-01,84.45152092000001
50,0.0,1518777.0041,5031177.0016,r4_s1__0,105.86575317,63.03728867,2022-12-31,2021-01-01,84.45152092000001
51,-0.005,1518019.0028,5032595.9946,636__0,110.0019989,65.35330963,2022-12-31,2021-01-01,87.677654265
52,-0.005,1518020.0022,5032741.9932,637__0,110.50395966,65.55992126,2022-12-31,2021-01-01,88.03194046
53,-0.02,1519684.0051,5033258.9992,826__0,107.81092072,70.85401917,2022-12-31,2021-01-01,89.332469945
54,-0.0214,1519133.9997,5033304.9972,828__0,107.7279892,71.63817596,2022-12-31,2021-01-01,89.68308257999999
55,-0.003,1518029.0029,5032427.9935,830__0,109.74568176,65.14716339,2022-12-31,2021-01-01,87.446422575
56,-0.05,1519631.001,5033315.9995,833__0,107.49346924,71.22814941,2022-12-31,2021-01-01,89.36080932499999
57,0.0,1520107.9986,5034201.9935,838__0,108.02457428,71.76828766,2022-12-31,2021-01-01,89.89643097
58,0.0,1518003.0052,5032273.9998,878__0,109.7958374,64.95941925,2022-12-31,2021-01-01,87.37762832499999
59,-0.005,1519820.0039,5032380.0003,2503__0,105.78554535,69.65901184,2022-12-31,2021-01-01,87.722278595
60,0.0,1519740.0015,5032299.9996,2505__0,106.70915985,69.50313568,2022-12-31,2021-01-01,88.106147765
61,-0.01,1517747.0035,5032975.0001,2550__0,110.89460754,65.33467102,2022-12-31,2021-01-01,88.11463928
62,-0.008,1517591.9992,5032844.9996,2551__0,110.55115509,65.52301788,2022-12-31,2021-01-01,88.037086485
63,-0.012,1517866.0036,5032951.9955,2559__0,110.35852814,65.44393158,2022-12-31,2021-01-01,87.90122986
64,-0.0225,1519004.9995,5033871.9914,4740__0,109.94715881,72.90441895,2022-12-31,2021-01-01,91.42578888
65,-0.0225,1519003.9995,5033866.9909,4741__0,109.94715881,72.90441895,2022-12-31,2021-01-01,91.42578888
