,Kij,Q,b0,b1,b2
0,"(0, 0, 0)",0.01,0,0,0
1,"(0, 0, 50)",-0.01,0,0,50
2,"(0, 1, 0)",0.01,0,1,0
3,"(0, 1, 50)",-0.01,0,1,50
4,"(0, 2, 0)",0.01,0,2,0
5,"(0, 2, 50)",-0.01,0,2,50
6,"(0, 3, 0)",0.01,0,3,0
7,"(0, 3, 50)",-0.01,0,3,50
8,"(0, 4, 0)",0.01,0,4,0
9,"(0, 4, 50)",-0.01,0,4,50
10,"(0, 5, 0)",0.01,0,5,0
11,"(0, 5, 50)",-0.01,0,5,50
12,"(0, 6, 0)",0.01,0,6,0
13,"(0, 6, 50)",-0.01,0,6,50
14,"(0, 7, 0)",0.01,0,7,0
15,"(0, 7, 50)",-0.01,0,7,50
16,"(0, 8, 0)",0.01,0,8,0
17,"(0, 8, 50)",-0.01,0,8,50
18,"(0, 9, 0)",0.01,0,9,0
19,"(0, 9, 50)",-0.01,0,9,50
20,"(0, 10, 0)",0.01,0,10,0
21,"(0, 10, 50)",-0.01,0,10,50
22,"(0, 11, 0)",0.01,0,11,0
23,"(0, 11, 50)",-0.01,0,11,50
24,"(1, 0, 0)",0.01,1,0,0
25,"(1, 0, 50)",-0.01,1,0,50
26,"(1, 1, 0)",0.01,1,1,0
27,"(1, 1, 50)",-0.01,1,1,50
28,"(1, 2, 0)",0.01,1,2,0
29,"(1, 2, 50)",-0.01,1,2,50
30,"(1, 3, 0)",0.01,1,3,0
31,"(1, 3, 50)",-0.01,1,3,50
32,"(1, 4, 0)",0.01,1,4,0
33,"(1, 4, 50)",-0.01,1,4,50
34,"(1, 5, 0)",0.01,1,5,0
35,"(1, 5, 50)",-0.01,1,5,50
36,"(1, 6, 0)",0.01,1,6,0
37,"(1, 6, 50)",-0.01,1,6,50
38,"(1, 7, 0)",0.01,1,7,0
39,"(1, 7, 50)",-0.01,1,7,50
40,"(1, 8, 0)",0.01,1,8,0
41,"(1, 8, 50)",-0.01,1,8,50
42,"(1, 9, 0)",0.01,1,9,0
43,"(1, 9, 50)",-0.01,1,9,50
44,"(1, 10, 0)",0.01,1,10,0
45,"(1, 10, 50)",-0.01,1,10,50
46,"(1, 11, 0)",0.01,1,11,0
47,"(1, 11, 50)",-0.01,1,11,50
48,"(2, 0, 0)",0.01,2,0,0
49,"(2, 0, 50)",-0.01,2,0,50
50,"(2, 1, 0)",0.01,2,1,0
51,"(2, 1, 50)",-0.01,2,1,50
52,"(2, 2, 0)",0.01,2,2,0
53,"(2, 2, 50)",-0.01,2,2,50
54,"(2, 3, 0)",0.01,2,3,0
55,"(2, 3, 50)",-0.01,2,3,50
56,"(2, 4, 0)",0.01,2,4,0
57,"(2, 4, 50)",-0.01,2,4,50
58,"(2, 5, 0)",0.01,2,5,0
59,"(2, 5, 50)",-0.01,2,5,50
60,"(2, 6, 0)",0.01,2,6,0
61,"(2, 6, 50)",-0.01,2,6,50
62,"(2, 7, 0)",0.01,2,7,0
63,"(2, 7, 50)",-0.01,2,7,50
64,"(2, 8, 0)",0.01,2,8,0
65,"(2, 8, 50)",-0.01,2,8,50
66,"(2, 9, 0)",0.01,2,9,0
67,"(2, 9, 50)",-0.01,2,9,50
68,"(2, 10, 0)",0.01,2,10,0
69,"(2, 10, 50)",-0.01,2,10,50
70,"(2, 11, 0)",0.01,2,11,0
71,"(2, 11, 50)",-0.01,2,11,50
72,"(3, 0, 0)",0.01,3,0,0
73,"(3, 0, 50)",-0.01,3,0,50
74,"(3, 1, 0)",0.01,3,1,0
75,"(3, 1, 50)",-0.01,3,1,50
76,"(3, 2, 0)",0.01,3,2,0
77,"(3, 2, 50)",-0.01,3,2,50
78,"(3, 3, 0)",0.01,3,3,0
79,"(3, 3, 50)",-0.01,3,3,50
80,"(3, 4, 0)",0.01,3,4,0
81,"(3, 4, 50)",-0.01,3,4,50
82,"(3, 5, 0)",0.01,3,5,0
83,"(3, 5, 50)",-0.01,3,5,50
84,"(3, 6, 0)",0.01,3,6,0
85,"(3, 6, 50)",-0.01,3,6,50
86,"(3, 7, 0)",0.01,3,7,0
87,"(3, 7, 50)",-0.01,3,7,50
88,"(3, 8, 0)",0.01,3,8,0
89,"(3, 8, 50)",-0.01,3,8,50
90,"(3, 9, 0)",0.01,3,9,0
91,"(3, 9, 50)",-0.01,3,9,50
92,"(3, 10, 0)",0.01,3,10,0
93,"(3, 10, 50)",-0.01,3,10,50
94,"(3, 11, 0)",0.01,3,11,0
95,"(3, 11, 50)",-0.01,3,11,50
96,"(4, 0, 0)",0.01,4,0,0
97,"(4, 0, 50)",-0.01,4,0,50
98,"(4, 1, 0)",0.01,4,1,0
99,"(4, 1, 50)",-0.01,4,1,50
100,"(4, 2, 0)",0.01,4,2,0
101,"(4, 2, 50)",-0.01,4,2,50
102,"(4, 3, 0)",0.01,4,3,0
103,"(4, 3, 50)",-0.01,4,3,50
104,"(4, 4, 0)",0.01,4,4,0
105,"(4, 4, 50)",-0.01,4,4,50
106,"(4, 5, 0)",0.01,4,5,0
107,"(4, 5, 50)",-0.01,4,5,50
108,"(4, 6, 0)",0.01,4,6,0
109,"(4, 6, 50)",-0.01,4,6,50
110,"(4, 7, 0)",0.01,4,7,0
111,"(4, 7, 50)",-0.01,4,7,50
112,"(4, 8, 0)",0.01,4,8,0
113,"(4, 8, 50)",-0.01,4,8,50
114,"(4, 9, 0)",0.01,4,9,0
115,"(4, 9, 50)",-0.01,4,9,50
116,"(4, 10, 0)",0.01,4,10,0
117,"(4, 10, 50)",-0.01,4,10,50
118,"(4, 11, 0)",0.01,4,11,0
119,"(4, 11, 50)",-0.01,4,11,50
120,"(5, 0, 0)",0.01,5,0,0
121,"(5, 0, 50)",-0.01,5,0,50
122,"(5, 1, 0)",0.01,5,1,0
123,"(5, 1, 50)",-0.01,5,1,50
124,"(5, 2, 0)",0.01,5,2,0
125,"(5, 2, 50)",-0.01,5,2,50
126,"(5, 3, 0)",0.01,5,3,0
127,"(5, 3, 50)",-0.01,5,3,50
128,"(5, 4, 0)",0.01,5,4,0
129,"(5, 4, 50)",-0.01,5,4,50
130,"(5, 5, 0)",0.01,5,5,0
131,"(5, 5, 50)",-0.01,5,5,50
132,"(5, 6, 0)",0.01,5,6,0
133,"(5, 6, 50)",-0.01,5,6,50
134,"(5, 7, 0)",0.01,5,7,0
135,"(5, 7, 50)",-0.01,5,7,50
136,"(5, 8, 0)",0.01,5,8,0
137,"(5, 8, 50)",-0.01,5,8,50
138,"(5, 9, 0)",0.01,5,9,0
139,"(5, 9, 50)",-0.01,5,9,50
140,"(5, 10, 0)",0.01,5,10,0
141,"(5, 10, 50)",-0.01,5,10,50
142,"(5, 11, 0)",0.01,5,11,0
143,"(5, 11, 50)",-0.01,5,11,50
144,"(6, 0, 0)",0.01,6,0,0
145,"(6, 0, 50)",-0.01,6,0,50
146,"(6, 1, 0)",0.01,6,1,0
147,"(6, 1, 50)",-0.01,6,1,50
148,"(6, 2, 0)",0.01,6,2,0
149,"(6, 2, 50)",-0.01,6,2,50
150,"(6, 3, 0)",0.01,6,3,0
151,"(6, 3, 50)",-0.01,6,3,50
152,"(6, 4, 0)",0.01,6,4,0
153,"(6, 4, 50)",-0.01,6,4,50
154,"(6, 5, 0)",0.01,6,5,0
155,"(6, 5, 50)",-0.01,6,5,50
156,"(6, 6, 0)",0.01,6,6,0
157,"(6, 6, 50)",-0.01,6,6,50
158,"(6, 7, 0)",0.01,6,7,0
159,"(6, 7, 50)",-0.01,6,7,50
160,"(6, 8, 0)",0.01,6,8,0
161,"(6, 8, 50)",-0.01,6,8,50
162,"(6, 9, 0)",0.01,6,9,0
163,"(6, 9, 50)",-0.01,6,9,50
164,"(6, 10, 0)",0.01,6,10,0
165,"(6, 10, 50)",-0.01,6,10,50
166,"(6, 11, 0)",0.01,6,11,0
167,"(6, 11, 50)",-0.01,6,11,50
168,"(7, 0, 0)",0.01,7,0,0
169,"(7, 0, 50)",-0.01,7,0,50
170,"(7, 1, 0)",0.01,7,1,0
171,"(7, 1, 50)",-0.01,7,1,50
172,"(7, 2, 0)",0.01,7,2,0
173,"(7, 2, 50)",-0.01,7,2,50
174,"(7, 3, 0)",0.01,7,3,0
175,"(7, 3, 50)",-0.01,7,3,50
176,"(7, 4, 0)",0.01,7,4,0
177,"(7, 4, 50)",-0.01,7,4,50
178,"(7, 5, 0)",0.01,7,5,0
179,"(7, 5, 50)",-0.01,7,5,50
180,"(7, 6, 0)",0.01,7,6,0
181,"(7, 6, 50)",-0.01,7,6,50
182,"(7, 7, 0)",0.01,7,7,0
183,"(7, 7, 50)",-0.01,7,7,50
184,"(7, 8, 0)",0.01,7,8,0
185,"(7, 8, 50)",-0.01,7,8,50
186,"(7, 9, 0)",0.01,7,9,0
187,"(7, 9, 50)",-0.01,7,9,50
188,"(7, 10, 0)",0.01,7,10,0
189,"(7, 10, 50)",-0.01,7,10,50
190,"(7, 11, 0)",0.01,7,11,0
191,"(7, 11, 50)",-0.01,7,11,50
192,"(8, 0, 0)",0.01,8,0,0
193,"(8, 0, 50)",-0.01,8,0,50
194,"(8, 1, 0)",0.01,8,1,0
195,"(8, 1, 50)",-0.01,8,1,50
196,"(8, 2, 0)",0.01,8,2,0
197,"(8, 2, 50)",-0.01,8,2,50
198,"(8, 3, 0)",0.01,8,3,0
199,"(8, 3, 50)",-0.01,8,3,50
200,"(8, 4, 0)",0.01,8,4,0
201,"(8, 4, 50)",-0.01,8,4,50
202,"(8, 5, 0)",0.01,8,5,0
203,"(8, 5, 50)",-0.01,8,5,50
204,"(8, 6, 0)",0.01,8,6,0
205,"(8, 6, 50)",-0.01,8,6,50
206,"(8, 7, 0)",0.01,8,7,0
207,"(8, 7, 50)",-0.01,8,7,50
208,"(8, 8, 0)",0.01,8,8,0
209,"(8, 8, 50)",-0.01,8,8,50
210,"(8, 9, 0)",0.01,8,9,0
211,"(8, 9, 50)",-0.01,8,9,50
212,"(8, 10, 0)",0.01,8,10,0
213,"(8, 10, 50)",-0.01,8,10,50
214,"(8, 11, 0)",0.01,8,11,0
215,"(8, 11, 50)",-0.01,8,11,50
216,"(9, 0, 0)",0.01,9,0,0
217,"(9, 0, 50)",-0.01,9,0,50
218,"(9, 1, 0)",0.01,9,1,0
219,"(9, 1, 50)",-0.01,9,1,50
220,"(9, 2, 0)",0.01,9,2,0
221,"(9, 2, 50)",-0.01,9,2,50
222,"(9, 3, 0)",0.01,9,3,0
