time,A,B,C
4.382077105465,115.2450321971239,115.3316964685949,115.2320536915495
8.786064596457,115.5013773748197,115.6562492569397,115.4547924640798
13.21207202490,115.7711925362689,115.9433554335750,115.6671391917882
17.66020949049,116.0563221365155,116.1904290452925,115.8697968686473
22.13058764341,116.3583246800693,116.4037615285054,116.0642275121935
26.62331768709,116.6784571549322,116.5911924917832,116.2521388510901
31.13851138099,117.0176692324818,116.7598187689732,116.4352313413729
35.67628104336,117.3766056375396,116.9152749971362,116.6150741094744
40.23673955405,117.7556154436226,117.0617260639788,116.7930444424786
44.82000035728,118.1547671346572,117.2021044972462,116.9702977037546
49.42617746453,118.5738685546319,117.3383897146561,117.1477725400912
54.05538545732,119.0124898178283,117.4718732447187,117.3262060402509
58.70773949007,119.4699895737088,117.6033634113042,117.5061537014730
63.38335529299,119.9455291720702,117.7333489835237,117.6880114753374
68.08234917492,120.4380791546241,117.8621141311247,117.8720379570047
72.80483802626,120.9464449668438,117.9898093879360,118.0583753884382
77.55093932185,121.4685208763848,118.1165151680169,118.2470694438344
82.32077112393,122.0020838818591,118.2422698078094,118.4380869708400
87.11445208501,122.5450737253482,118.3670856021014,118.6313316051767
91.93210145090,123.0955304623575,118.4909781035520,118.8266579515708
96.77383906362,123.6515993009815,118.6139600411566,119.0238834660264
101.6397853644,124.2115387257046,118.7360417802183,119.2227985001801
106.5300613967,124.7737275327341,118.8572433978545,119.4231751048028
111.4447888091,125.3366634551193,118.9775961979694,119.6247744403795
116.3840898586,125.8989591304591,119.0971337322295,119.8273526294736
121.3480874134,126.4593415533700,119.2158898711569,120.0306654666785
126.3369049559,127.0166505520952,119.3338994559500,120.2344722061539
131.3506665862,127.5698363004599,119.4511994649404,120.4385380952283
136.3894970246,128.1179559270068,119.5678299144281,120.6426358718284
141.4535216152,128.6601693508551,119.6838342962723,120.8465441301246
146.5428663287,129.1957345035606,119.7992595912561,121.0500361467085
151.6576577658,129.7240027032335,119.9141559722269,121.2528873636362
156.7980231601,130.2444132212012,120.0285763106071,121.4548805919879
161.9640903814,130.7564871659554,120.1425755774398,121.6558097125642
167.1559879387,131.2598213475298,120.2562102043981,121.8554821938367
172.3738449839,131.7540822107623,120.3695374474846,122.0537206821988
177.6177913143,132.2389999092485,120.4826147785249,122.2503638710651
182.8879573763,132.7143625777428,120.5954993175619,122.4452668157034
188.1844742687,133.1800111009558,120.7082473114437,122.6383008287750
193.5074737455,133.6355914289653,120.8209136568844,122.8293530647748
198.8570882197,134.0806212961476,120.9335514642381,123.0183258802856
204.2334507662,134.5147474350113,121.0462116590416,123.2051360389084
209.6366951255,134.9377274821343,121.1589426119170,123.3897138156460
215.0669557066,135.3494134074273,121.2717897832569,123.5720019597930
220.5243675906,135.7497370334414,121.3847953829749,123.7519484976491
226.0090665340,136.1386974249371,121.4979980499858,123.9295043077284
231.5211889722,136.5163499339628,121.6114325572128,124.1046253956563
237.0608720225,136.8827966979152,121.7251295476330,124.2772173330758
242.6282534881,137.2381784282305,121.8391153057929,124.4471618875617
248.2234718610,137.5826673363589,121.9534115681385,124.6143774707760
253.8466663258,137.9164610270807,122.0680353742382,124.7787454774836
259.4979767629,138.2397772568118,122.1829989601155,124.9400674229186
265.1775437521,138.5528494472711,122.2983096937957,125.0982175281350
270.8855085764,138.8559228569436,122.4139700525398,125.2531257494668
276.6220132247,139.1492513238294,122.5299776403961,125.4047641828696
282.3872003963,139.4330945048775,122.6463252445947,125.5531365753601
288.1812135037,139.7077155456743,122.7630008816004,125.6982701670582
294.0041966767,139.9733671402425,122.8799874727940,125.8402080929572
299.8562947656,140.2300052060098,122.9972625172548,125.9790040451514
305.7376533449,140.4776874233776,123.1147978553374,126.1147185263647
311.6484187171,140.7165362709223,123.2325595512213,126.2474162077720
