parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:12_x:0.00_y:12.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,12,p,m,gr,0.00,12.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:13_x:0.00_y:13.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,13,p,m,gr,0.00,13.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:14_x:0.00_y:14.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,14,p,m,gr,0.00,14.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:15_x:0.00_y:15.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,15,p,m,gr,0.00,15.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:0.00_y:16.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,16,p,m,gr,0.00,16.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:0.00_y:17.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,17,p,m,gr,0.00,17.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:0.00_y:18.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,18,p,m,gr,0.00,18.00
pname:p_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:0.00_y:19.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,0,0,19,p,m,gr,0.00,19.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:1.00_y:0.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,0,p,m,gr,1.00,0.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:1.00_y:1.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,1,p,m,gr,1.00,1.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:1.00_y:2.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,2,p,m,gr,1.00,2.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:1.00_y:3.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,3,p,m,gr,1.00,3.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1.00_y:4.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,4,p,m,gr,1.00,4.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1.00_y:5.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,5,p,m,gr,1.00,5.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1.00_y:6.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,6,p,m,gr,1.00,6.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1.00_y:7.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,7,p,m,gr,1.00,7.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:1.00_y:8.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,8,p,m,gr,1.00,8.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:1.00_y:9.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,9,p,m,gr,1.00,9.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:1.00_y:10.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,10,p,m,gr,1.00,10.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:1.00_y:11.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,11,p,m,gr,1.00,11.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:1.00_y:12.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,12,p,m,gr,1.00,12.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:1.00_y:13.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,13,p,m,gr,1.00,13.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:14_x:1.00_y:14.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,14,p,m,gr,1.00,14.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:15_x:1.00_y:15.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,15,p,m,gr,1.00,15.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:16_x:1.00_y:16.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,16,p,m,gr,1.00,16.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:17_x:1.00_y:17.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,17,p,m,gr,1.00,17.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:18_x:1.00_y:18.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,18,p,m,gr,1.00,18.00
pname:p_inst:0_ptype:gr_pstyle:m_i:1_j:19_x:1.00_y:19.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,1,0,19,p,m,gr,1.00,19.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:0_x:2.00_y:0.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,0,p,m,gr,2.00,0.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:1_x:2.00_y:1.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,1,p,m,gr,2.00,1.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:2_x:2.00_y:2.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,2,p,m,gr,2.00,2.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:3_x:2.00_y:3.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,3,p,m,gr,2.00,3.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:4_x:2.00_y:4.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,4,p,m,gr,2.00,4.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:5_x:2.00_y:5.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,5,p,m,gr,2.00,5.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:6_x:2.00_y:6.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,6,p,m,gr,2.00,6.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:7_x:2.00_y:7.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,7,p,m,gr,2.00,7.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:8_x:2.00_y:8.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,8,p,m,gr,2.00,8.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:9_x:2.00_y:9.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,9,p,m,gr,2.00,9.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:10_x:2.00_y:10.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,10,p,m,gr,2.00,10.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:11_x:2.00_y:11.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,11,p,m,gr,2.00,11.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:12_x:2.00_y:12.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,12,p,m,gr,2.00,12.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:13_x:2.00_y:13.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,13,p,m,gr,2.00,13.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:14_x:2.00_y:14.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,14,p,m,gr,2.00,14.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:15_x:2.00_y:15.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,15,p,m,gr,2.00,15.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:16_x:2.00_y:16.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,16,p,m,gr,2.00,16.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:17_x:2.00_y:17.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,17,p,m,gr,2.00,17.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:18_x:2.00_y:18.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,18,p,m,gr,2.00,18.00
pname:p_inst:0_ptype:gr_pstyle:m_i:2_j:19_x:2.00_y:19.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,2,0,19,p,m,gr,2.00,19.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:0_x:3.00_y:0.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,0,p,m,gr,3.00,0.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:1_x:3.00_y:1.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,1,p,m,gr,3.00,1.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:2_x:3.00_y:2.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,2,p,m,gr,3.00,2.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:3_x:3.00_y:3.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,3,p,m,gr,3.00,3.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:4_x:3.00_y:4.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,4,p,m,gr,3.00,4.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:5_x:3.00_y:5.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,5,p,m,gr,3.00,5.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:6_x:3.00_y:6.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,6,p,m,gr,3.00,6.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:7_x:3.00_y:7.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,7,p,m,gr,3.00,7.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:8_x:3.00_y:8.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,8,p,m,gr,3.00,8.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:9_x:3.00_y:9.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,9,p,m,gr,3.00,9.00
