parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:10_x:3.00_y:10.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,10,p,m,gr,3.00,10.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:11_x:3.00_y:11.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,11,p,m,gr,3.00,11.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:12_x:3.00_y:12.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,12,p,m,gr,3.00,12.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:13_x:3.00_y:13.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,13,p,m,gr,3.00,13.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:14_x:3.00_y:14.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,14,p,m,gr,3.00,14.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:15_x:3.00_y:15.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,15,p,m,gr,3.00,15.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:16_x:3.00_y:16.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,16,p,m,gr,3.00,16.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:17_x:3.00_y:17.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,17,p,m,gr,3.00,17.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:18_x:3.00_y:18.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,18,p,m,gr,3.00,18.00
pname:p_inst:0_ptype:gr_pstyle:m_i:3_j:19_x:3.00_y:19.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,3,0,19,p,m,gr,3.00,19.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:0_x:4.00_y:0.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,0,p,m,gr,4.00,0.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:1_x:4.00_y:1.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,1,p,m,gr,4.00,1.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:2_x:4.00_y:2.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,2,p,m,gr,4.00,2.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:3_x:4.00_y:3.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,3,p,m,gr,4.00,3.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:4_x:4.00_y:4.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,4,p,m,gr,4.00,4.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:5_x:4.00_y:5.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,5,p,m,gr,4.00,5.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:6_x:4.00_y:6.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,6,p,m,gr,4.00,6.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:7_x:4.00_y:7.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,7,p,m,gr,4.00,7.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:8_x:4.00_y:8.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,8,p,m,gr,4.00,8.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:9_x:4.00_y:9.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,9,p,m,gr,4.00,9.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:10_x:4.00_y:10.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,10,p,m,gr,4.00,10.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:11_x:4.00_y:11.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,11,p,m,gr,4.00,11.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:12_x:4.00_y:12.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,12,p,m,gr,4.00,12.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:13_x:4.00_y:13.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,13,p,m,gr,4.00,13.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:14_x:4.00_y:14.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,14,p,m,gr,4.00,14.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:15_x:4.00_y:15.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,15,p,m,gr,4.00,15.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:16_x:4.00_y:16.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,16,p,m,gr,4.00,16.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:17_x:4.00_y:17.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,17,p,m,gr,4.00,17.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:18_x:4.00_y:18.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,18,p,m,gr,4.00,18.00
pname:p_inst:0_ptype:gr_pstyle:m_i:4_j:19_x:4.00_y:19.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,4,0,19,p,m,gr,4.00,19.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:0_x:5.00_y:0.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,0,p,m,gr,5.00,0.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:1_x:5.00_y:1.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,1,p,m,gr,5.00,1.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:2_x:5.00_y:2.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,2,p,m,gr,5.00,2.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:3_x:5.00_y:3.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,3,p,m,gr,5.00,3.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:4_x:5.00_y:4.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,4,p,m,gr,5.00,4.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:5_x:5.00_y:5.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,5,p,m,gr,5.00,5.00
pname:p_inst:0_ptype:gr_pstyle:m_i:5_j:6_x:5.00_y:6.00,log,factor,1.0,1e-10,10000000000.0,p_inst:0,1.0,0.0,1,5,0,6,p,m,gr,5.00,6.00
