time,W3_1_1
0.5000000000000,-10.70000000
1.000000000000,-10.70000000
1.500000000000,-10.70000000
2.000000000000,-10.70000000
2.500000000000,-10.70000000
3.000000000000,-10.70000000
3.500000000000,-10.70000000
4.000000000000,-10.70000000
4.500000000000,-10.70000000
5.000000000000,-10.70000000
5.500000000000,-10.70000000
6.000000000000,-10.70000000
6.500000000000,-10.70000000
7.000000000000,-10.70000000
7.500000000000,-10.70000000
8.000000000000,-10.70000000
8.500000000000,-10.70000000
9.000000000000,-10.70000000
9.500000000000,-10.69999998
10.00000000000,-10.69999996
10.50000000000,-10.70000002
11.00000000000,-10.70000000
11.50000000000,-10.69999916
12.00000000000,-10.69999613
12.50000000000,-10.69998904
13.00000000000,-10.69997570
13.50000000000,-10.69995367
14.00000000000,-10.69992073
14.50000000000,-10.69987534
15.00000000000,-10.69981613
15.50000000000,-10.69974155
16.00000000000,-10.69965036
16.50000000000,-10.69954214
17.00000000000,-10.69941656
17.50000000000,-10.69927268
18.00000000000,-10.69910980
18.50000000000,-10.69892819
19.00000000000,-10.69872863
19.50000000000,-10.69851128
20.00000000000,-10.69827516
20.50000000000,-10.69801949
21.00000000000,-10.69774478
21.50000000000,-10.69745152
22.00000000000,-10.69713907
22.50000000000,-10.69680723
23.00000000000,-10.69645786
23.50000000000,-10.69609479
24.00000000000,-10.69572287
24.50000000000,-10.69534766
25.00000000000,-10.69497628
25.50000000000,-10.69461719
26.00000000000,-10.69427848
26.50000000000,-10.69396663
27.00000000000,-10.69368655
27.50000000000,-10.69344176
28.00000000000,-10.69323448
28.50000000000,-10.69306578
29.00000000000,-10.69293561
29.50000000000,-10.69284280
30.00000000000,-10.69278519
30.50000000000,-10.69276012
31.00000000000,-10.69276479
31.50000000000,-10.69279625
32.00000000000,-10.69285134
32.50000000000,-10.69292735
33.00000000000,-10.69302250
33.50000000000,-10.69313549
34.00000000000,-10.69326496
34.50000000000,-10.69341014
35.00000000000,-10.69357140
35.50000000000,-10.69374966
36.00000000000,-10.69394589
36.50000000000,-10.69416128
37.00000000000,-10.69439788
37.50000000000,-10.69465840
38.00000000000,-10.69494400
38.50000000000,-10.69525290
39.00000000000,-10.69558199
39.50000000000,-10.69592852
40.00000000000,-10.69628955
40.50000000000,-10.69666142
41.00000000000,-10.69704046
41.50000000000,-10.69742420
42.00000000000,-10.69781167
42.50000000000,-10.69820175
43.00000000000,-10.69859188
43.50000000000,-10.69897914
44.00000000000,-10.69936102
44.50000000000,-10.69973457
45.00000000000,-10.70009595
45.50000000000,-10.70044162
46.00000000000,-10.70076932
46.50000000000,-10.70107768
47.00000000000,-10.70136564
47.50000000000,-10.70163265
48.00000000000,-10.70187891
48.50000000000,-10.70210536
49.00000000000,-10.70231300
49.50000000000,-10.70250242
50.00000000000,-10.70267401
50.50000000000,-10.70282832
51.00000000000,-10.70296594
51.50000000000,-10.70308767
52.00000000000,-10.70319495
52.50000000000,-10.70329006
53.00000000000,-10.70337555
53.50000000000,-10.70345334
54.00000000000,-10.70352436
54.50000000000,-10.70358862
55.00000000000,-10.70364569
55.50000000000,-10.70369535
56.00000000000,-10.70373804
56.50000000000,-10.70377502
57.00000000000,-10.70380791
57.50000000000,-10.70383762
58.00000000000,-10.70386361
58.50000000000,-10.70388455
59.00000000000,-10.70389928
