time,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST,SP2_PZ1,PROF_11,PROF_21,PROF_1,PROF_2,PROF_3,PROF_4,PROF_5,PROF_6,P1002,P1003,PC1_AMS_BIS,PC2_AMS,PC3_AMS,PC4_AMS,PIEZ1,PIEZ11,PIEZ13,PIEZ14,PIEZ15,PIEZ16,PIEZ17,PIEZ2,PIEZ3,PIEZ5,PIEZ6,PIEZ7,PIEZ8,PIEZ9,PIEZM1,PIEZM2,PIEZM3,PIEZM5,PIEZM6,PIEZM7,PIEZM8,PP202,PZ18,PZ20,PZ4,PZ7,PZB,PZP1_BIS,PZ1,MM35,MM97,MM32,PZ_ALER,PROF_22,SP1_PZEST,SP2_PZ1,PROF_11,PROF_21,PROF_1,PROF_2,PROF_3,PROF_4,PROF_5,PROF_6,P1002,P1003,PC1_AMS_BIS,PC2_AMS,PC3_AMS,PC4_AMS,PIEZ1,PIEZ11,PIEZ13,PIEZ14,PIEZ15,PIEZ16,PIEZ17,PIEZ2,PIEZ3,PIEZ5,PIEZ6,PIEZ7,PIEZ8,PIEZ9,PIEZM1,PIEZM2,PIEZM3,PIEZM5,PIEZM6,PIEZM7,PIEZM8,PP202,PZ18,PZ20,PZ4,PZ7,PZB,PZP1_BIS,PZ1,MM35
339754363.2838,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524
713484162.8959,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524
1124586942.469,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524
1576800000.000,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524,101.71,100.77,100.11,100.08,100.41,100.49,100.49,100.26,101.04,101.08,101.10,101.10,100.30,100.55,100.62,100.64,100.49,100.56,100.43,100.35,100.27,99.756,99.659,99.613,99.594,99.570,99.605,100.23,100.18,100.11,100.08,100.01,99.950,99.887,100.24,100.15,99.798,99.726,99.679,100.08,99.903,100.80,100.06,100.09,100.66,100.63,101.07,100.78,100.67,99.524
