,0,1,2,sidx,idx_strs,pargp4,parval1_4,4
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbcondcn,1.0,0.74349669541497209745983809625613503158092498779296875
