time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1261.640719793340,-922.1587178967829,2665.193381875586
3683.500000000,-1143.214294808882,-855.1937551372780,2481.767574184186
3712.500000000,-1205.447769096046,-915.3493703223878,2601.965237951408
3743.500000000,-1329.360930319436,-1014.247461187039,2822.077602641222
3773.500000000,-1433.159791389172,-1092.693458806288,3002.593654825585
3804.500000000,-1467.384345330191,-1111.295141656250,3055.575377012911
3834.500000000,-1402.552119390494,-1048.419049836284,2930.171769460034
3865.500000000,-1235.464609503518,-898.1395657914736,2617.422451109285
3896.500000000,-1015.258459701583,-717.3940924575452,2220.745033574513
3926.500000000,-789.7420881788264,-531.1620540863845,1813.223591499711
3957.500000000,-605.6782880906305,-382.6374664527430,1483.402229809994
3987.500000000,-515.4115936787739,-310.1216024072606,1321.271698864777
4018.500000000,-534.5724209660352,-324.7454125039954,1353.464268485790
4049.500000000,-650.9090632188068,-415.6581267402588,1557.453194570678
4077.500000000,-819.4670769687098,-547.9976645960320,1854.384012983372
4108.500000000,-1019.685623411555,-701.0723332200755,2203.746098573443
4138.500000000,-1174.647113968604,-815.1525965537401,2470.269123938119
4169.500000000,-1246.512082906209,-857.7847596713777,2584.423450154981
4199.500000000,-1248.216664733724,-860.8866593420511,2589.041938410055
4230.500000000,-1066.563389376807,-680.2654223496934,2232.751248703038
4261.500000000,-859.3680849549461,-499.4772346672570,1849.395680612368
4291.500000000,-646.9223668922233,-319.0600613240920,1460.620208928917
4322.500000000,-473.9274015832446,-174.9719577165223,1146.193479783779
4352.500000000,-392.8710510527892,-106.7539083760005,997.5346090420107
4383.500000000,-468.6721298451991,-164.6773108993758,1128.658841418880
