time,MYOBS
10.00000000000,0.9271286272E-01
20.00000000000,0.2624807784
30.00000000000,0.4598536659
40.00000000000,0.6396141210
50.00000000000,0.7811732805
60.00000000000,0.8828683582
70.00000000000,0.9516617814
80.00000000000,0.9963561066
90.00000000000,1.024601230
100.0000000000,1.042110791
110.0000000000,1.052818933
120.0000000000,1.059304567
130.0000000000,1.063205494
140.0000000000,1.065539974
150.0000000000,1.066931880
160.0000000000,1.067759538
168.0952380952,1.021908046
176.1904761905,0.9114729424
184.2857142857,0.7597809589
192.3809523810,0.6011880248
200.4761904762,0.4598467081
208.5714285714,0.3459936544
216.6666666667,0.2602214767
224.7619047619,0.1984875029
232.8571428571,0.1554457898
240.9523809524,0.1261054818
249.0476190476,0.1064265402
257.1428571429,0.9338230779E-01
265.2380952381,0.8481050501E-01
273.3333333333,0.7921375584E-01
281.4285714286,0.7557698961E-01
289.5238095238,0.7322233197E-01
297.6190476190,0.7170194265E-01
305.7142857143,0.7072227100E-01
313.8095238095,0.7009201422E-01
321.9047619048,0.6968704152E-01
330.0000000000,0.6942706980E-01
338.0952380952,0.6926030270E-01
346.1904761905,0.6915338526E-01
354.2857142857,0.6908486894E-01
362.3809523810,0.6904097667E-01
370.4761904762,0.6901286660E-01
378.5714285714,0.6899486793E-01
386.6666666667,0.6898334557E-01
394.7619047619,0.6897597027E-01
402.8571428571,0.6897125003E-01
410.9523809524,0.6896822939E-01
419.0476190476,0.6896629661E-01
427.1428571429,0.6896506014E-01
435.2380952381,0.6896426937E-01
443.3333333333,0.6896376399E-01
451.4285714286,0.6896344150E-01
459.5238095238,0.6896323642E-01
467.6190476190,0.6896310692E-01
475.7142857143,0.6896302611E-01
483.8095238095,0.6896297632E-01
491.9047619048,0.6896294571E-01
500.0000000000,0.6896292659E-01
508.0952380952,0.6896291426E-01
516.1904761905,0.6896290598E-01
524.2857142857,0.6896290016E-01
532.3809523810,0.6896289590E-01
540.4761904762,0.6896289265E-01
548.5714285714,0.6896289010E-01
556.6666666667,0.6896288804E-01
564.7619047619,0.6896288634E-01
572.8571428571,0.6896288491E-01
580.9523809524,0.6896288370E-01
589.0476190476,0.6896288264E-01
597.1428571429,0.6896288172E-01
605.2380952381,0.6896288090E-01
613.3333333333,0.6896288017E-01
621.4285714286,0.6896287952E-01
629.5238095238,0.6896287893E-01
637.6190476190,0.6896287839E-01
645.7142857143,0.6896287790E-01
653.8095238095,0.6896287745E-01
661.9047619048,0.6896287704E-01
670.0000000000,0.6896287665E-01
678.0952380952,0.6896287629E-01
686.1904761905,0.6896287596E-01
694.2857142857,0.6896287565E-01
702.3809523810,0.6896287536E-01
710.4761904762,0.6896287508E-01
718.5714285714,0.6896287482E-01
726.6666666667,0.6896287458E-01
734.7619047619,0.6896287435E-01
742.8571428571,0.6896287413E-01
750.9523809524,0.6896287392E-01
759.0476190476,0.6896287372E-01
767.1428571429,0.6896287353E-01
775.2380952381,0.6896287335E-01
783.3333333333,0.6896287318E-01
791.4285714286,0.6896287301E-01
799.5238095238,0.6896287286E-01
807.6190476190,0.6896287270E-01
815.7142857143,0.6896287256E-01
823.8095238095,0.6896287242E-01
831.9047619048,0.6896287229E-01
840.0000000000,0.6896287216E-01
