totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-2099314.8,-13510.66,-0.12,10641916.0,-4639190.0,1109.9438,-477539.44,-13511.0,-3440492.2
3683.5,-2116103.5,-13566.182,-0.12,10723861.0,-4672367.5,1170.0723,-454516.44,-13567.0,-3495610.0
3712.5,-2133946.2,-13537.75,-0.12,10890775.0,-4708816.0,1032.5449,-509833.0,-13538.0,-3552750.2
3743.5,-2154413.0,-13459.686,-0.11,11060633.0,-4755999.0,919.87354,-557258.4,-13459.0,-3607342.5
3773.5,-2176929.5,-13470.228,-0.11,11288206.0,-4804776.0,805.2461,-607848.5,-13470.0,-3712928.0
3804.5,-2197603.5,-13532.551,-0.11,11419279.0,-4845980.0,869.81055,-586036.5,-13533.0,-3804061.0
3834.5,-2217161.5,-13502.57,-0.11,11547619.0,-4887617.5,822.6206,-603139.94,-13503.0,-3854025.8
3865.5,-2235006.2,-13646.557,-0.11,11616001.0,-4915162.5,982.511,-538766.75,-13647.0,-3941694.2
3896.5,-2249692.5,-13662.023,-0.11,11642131.0,-4916327.0,1332.8406,-402527.12,-13662.0,-4088579.0
3926.5,-2261533.0,-13668.04,-0.11,11651285.0,-4908921.5,1567.0288,-308073.25,-13668.0,-4187992.2
3957.5,-2271768.0,-13616.027,-0.11,11659112.0,-4902304.0,1706.2957,-248371.62,-13616.0,-4251991.5
3987.5,-2280929.5,-13597.54,-0.11,11685088.0,-4895767.5,1844.094,-188584.12,-13598.0,-4335248.0
4018.5,-2290067.2,-13564.245,-0.1,11730796.0,-4889589.5,1892.467,-165675.12,-13565.0,-4400921.0
4049.5,-2302162.8,-13597.9375,-0.1,11846608.0,-4884325.5,1759.8423,-216493.5,-13598.0,-4458983.5
4077.5,-2314034.2,-13510.132,-0.1,11971578.0,-4883198.5,1749.6096,-222195.62,-13510.0,-4567409.5
4108.5,-2326718.8,-13666.685,-0.1,12094866.0,-4875249.0,1876.2593,-173133.5,-13666.0,-4735308.0
4138.5,-2339626.5,-13600.638,-0.1,12225426.0,-4869285.0,1827.998,-189808.38,-13600.0,-4842134.5
4169.5,-2353295.5,-13615.923,-0.1,12367924.0,-4862371.0,1820.4863,-197361.0,-13616.0,-4970332.5
4199.5,-2363714.2,-13637.889,-0.1,12471112.0,-4855656.5,2062.2725,-100343.25,-13638.0,-5167098.5
4230.5,-2368955.0,-13580.416,-0.1,12523114.0,-4849107.5,2402.692,44645.625,-13580.0,-5365679.5
4261.5,-2368571.8,-13611.098,-0.09,12560686.0,-4842100.0,2752.5835,194783.5,-13611.0,-5561161.0
4291.5,-2364923.2,-13694.103,-0.09,12572206.0,-4835441.5,3082.185,340045.62,-13694.0,-5728663.0
4322.5,-2358794.8,-13816.606,-0.09,12578814.0,-4828574.0,3311.2517,444194.0,-13817.0,-5852767.5
4352.5,-2353190.0,-13878.865,-0.09,12607731.0,-4821961.0,3329.4924,461346.88,-13879.0,-5911135.5
4383.5,-2349415.5,-13813.09,-0.09,12686214.0,-4815271.0,3301.4895,454334.5,-13813.0,-5992976.0
