,step,time,"(1, 16, 16)"
0,1,0.0,0.0
1,2,36.5,37.942
2,3,73.0,60.326
3,4,109.5,73.697
4,5,146.0,81.821
5,6,182.5,86.869
6,7,219.0,90.097
7,8,255.5,92.233
8,9,292.0,93.703
9,10,328.5,94.756
10,11,365.0,95.541
11,12,401.5,96.148
12,13,438.0,96.632
13,14,474.5,97.027
14,15,511.0,97.357
15,16,547.5,97.637
16,17,584.0,97.877
17,18,620.5,98.084
18,19,657.0,98.265
19,20,693.5,98.423
20,21,730.0,98.563
21,22,766.5,98.687
22,23,803.0,98.796
23,24,839.5,98.894
24,25,876.0,98.982
25,26,912.5,99.061
26,1,949.0,94.203
27,2,985.5,89.71
28,3,1022.0,85.526
29,4,1058.5,81.612
30,5,1095.0,77.936
31,6,1131.5,74.477
32,7,1168.0,71.215
33,8,1204.5,68.134
34,9,1241.0,65.22
35,10,1277.5,62.46
36,11,1314.0,59.845
37,12,1350.5,57.365
38,13,1387.0,55.009
39,14,1423.5,52.772
40,15,1460.0,50.644
41,16,1496.5,48.62
42,17,1533.0,46.693
43,18,1569.5,44.858
44,19,1606.0,43.109
45,20,1642.5,41.441
46,21,1679.0,39.85
47,22,1715.5,38.331
48,23,1752.0,36.881
49,24,1788.5,35.496
50,25,1825.0,34.171
51,26,1861.5,32.906
52,27,1898.0,31.695
53,28,1934.5,30.536
54,29,1971.0,29.427
55,30,2007.5,28.365
56,31,2044.0,27.348
57,32,2080.5,26.373
58,33,2117.0,25.439
59,34,2153.5,24.543
60,35,2190.0,23.684
61,36,2226.5,22.86
62,37,2263.0,22.069
63,38,2299.5,21.31
64,39,2336.0,20.581
65,40,2372.5,19.881
66,41,2409.0,19.208
67,42,2445.5,18.562
68,43,2482.0,17.941
69,44,2518.5,17.343
70,45,2555.0,16.769
71,46,2591.5,16.216
72,47,2628.0,15.685
73,48,2664.5,15.173
74,49,2701.0,14.681
75,50,2737.5,14.206
76,51,2774.0,13.75
77,52,2810.5,13.31
78,53,2847.0,12.886
79,54,2883.5,12.478
80,55,2920.0,12.084
81,56,2956.5,11.705
82,57,2993.0,11.339
83,58,3029.5,10.987
84,59,3066.0,10.646
85,60,3102.5,10.318
86,61,3139.0,10.001
87,62,3175.5,9.6957
88,63,3212.0,9.4007
89,64,3248.5,9.1159
90,65,3285.0,8.8409
91,66,3321.5,8.5753
92,67,3358.0,8.3187
93,68,3394.5,8.0708
94,69,3431.0,7.8314
95,70,3467.5,7.5999
96,71,3504.0,7.3762
97,72,3540.5,7.16
98,73,3577.0,6.9509
99,74,3613.5,6.7487
100,75,3650.0,6.5532
