iteration,total_runs,obs_realization,par_realization,oname:heads.csv_otype:lst_usecol:trgw-0-13-10,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,oname:heads.csv_otype:lst_usecol:trgw-0-29-15,oname:heads.csv_otype:lst_usecol:trgw-0-3-8,oname:heads.csv_otype:lst_usecol:trgw-0-33-7,oname:heads.csv_otype:lst_usecol:trgw-0-34-10,oname:heads.csv_otype:lst_usecol:trgw-0-9-1
0,50,40,40,70.5862,75.1482,70.5296,72.8496,74.1201,76.9548,77.8118,76.1293,75.0608,73.5746,74.7057,74.3516,75.1548
0,50,41,41,73.8838,76.071,74.7156,69.5237,75.5322,74.9314,75.7671,74.1356,73.973,71.4208,74.8111,74.7452,72.845
0,50,42,42,74.6063,74.5569,79.2642,74.4343,74.632,75.6904,75.6478,75.0483,77.0113,73.6063,75.1281,76.4719,71.1896
0,50,43,43,74.817,75.097,76.4495,72.9751,74.8142,75.4475,73.2128,74.6791,78.2579,72.0025,75.3171,76.786,71.3673
0,50,44,44,74.7446,76.5595,75.6476,75.3026,75.952,76.7304,74.9154,75.7398,76.1593,74.3247,74.6479,77.5387,73.4828
0,50,45,45,75.9423,76.3006,74.9768,74.6714,76.6241,75.7483,75.4693,75.9064,75.3637,75.5381,74.9604,74.5515,76.0643
0,50,46,46,76.1458,75.1411,77.9593,74.4997,75.1815,76.0336,76.8767,73.978,75.1304,75.082,74.47,76.1159,72.6074
0,50,47,47,69.3997,75.1214,74.192,75.3043,74.0827,75.2693,74.7141,75.3108,76.6599,75.0181,74.3236,74.5466,73.712
0,50,48,48,71.1323,75.919,77.1465,73.5065,77.0941,75.3047,77.5725,77.0659,76.4561,73.7607,77.0183,74.8613,74.6119
0,50,base,base,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614,75.614
