rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
38,2144,0,25,69,4,2,26.820961,1.0,0.062041082902832244,104.176,1,1.0,0.0,0.0,0.0,0.0,39,5,-0.36630797,1004,0
39,2143,0,25,68,4,3,46.100502,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,40,5,-0.32984722,1004,0
40,2226,0,26,68,4,4,80.93173,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,41,5,-0.2663311,1004,0
41,2309,0,27,68,4,5,6.6718497,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,42,5,-0.22252932,1004,0
42,2310,0,27,69,4,6,50.33196,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,43,5,-0.19402741,1004,0
43,2311,0,27,70,4,7,43.310593,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,44,5,-0.14720614,1004,0
44,2228,0,26,70,4,8,7.628179,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,45,5,-0.12173676,1004,0
45,2229,0,26,71,4,9,51.911434,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,46,5,-0.09196695,1004,0
46,2230,0,26,72,4,10,50.516605,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,47,5,-0.040752925,1004,0
47,2231,0,26,73,4,11,15.494623,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,48,5,-0.0077473116,1004,0
48,2231,0,26,73,5,1,29.430277,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,49,6,-0.6213031,1005,0
49,2314,0,27,73,5,2,9.390792,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,50,6,-0.60189253,1005,0
50,2315,0,27,74,5,3,60.90043,1.0,0.0001,102.512,1,1.0,0.0,0.0,0.0,0.0,51,6,-0.5667469,1005,0
51,2316,0,27,75,5,4,19.02652,1.0,0.00788381310138084,102.512,1,1.0,0.0,0.0,0.0,0.0,52,6,-0.52678347,1005,0
52,2399,0,28,75,5,5,42.736725,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,53,6,-0.49590182,1005,0
53,2400,0,28,76,5,6,38.10937,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,54,6,-0.45547876,1005,0
54,2483,0,29,76,5,7,28.942705,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,55,6,-0.42195272,1005,0
55,2484,0,29,77,5,8,40.125217,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,56,6,-0.38741878,1005,0
56,2567,0,30,77,5,9,51.673325,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,57,6,-0.3415195,1005,0
57,2568,0,30,78,5,10,4.96828,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,58,6,-0.3131987,1005,0
58,2651,0,31,78,5,11,52.132603,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,59,6,-0.28464824,1005,0
59,2734,0,32,78,5,12,51.535896,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,60,6,-0.232814,1005,0
60,2817,0,33,78,5,13,10.918079,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,61,6,-0.20158702,1005,0
61,2816,0,33,77,5,14,44.881695,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,62,6,-0.17368713,1005,0
62,2899,0,34,77,5,15,51.8906,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,63,6,-0.12530097,1005,0
63,2898,0,34,76,5,16,10.031227,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,64,6,-0.09434007,1005,0
64,2981,0,35,76,5,17,66.193504,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,65,6,-0.056227703,1005,0
65,3064,0,36,76,5,18,2.706711,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,66,6,-0.021777596,1005,0
66,3063,0,36,75,5,19,20.424242,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,67,6,-0.010212121,1005,0
67,3063,0,36,75,6,1,31.151495,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,68,7,-0.56340456,1006,0
68,3146,0,37,75,6,2,52.114315,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,69,7,-0.5217716,1006,0
69,3229,0,38,75,6,3,51.098503,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,70,7,-0.47016522,1006,0
70,3312,0,39,75,6,4,50.460785,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,71,7,-0.41938558,1006,0
71,3395,0,40,75,6,5,50.819786,1.0,0.0001,102.362,1,1.0,0.0,0.0,0.0,0.0,72,7,-0.3687453,1006,0
72,3478,0,41,75,6,6,20.028225,1.0,0.02206892243250311,102.362,1,1.0,0.0,0.0,0.0,0.0,73,7,-0.3333213,1006,0
73,3477,0,41,74,6,7,35.37663,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,74,7,-0.30561888,1006,0
74,3560,0,42,74,6,8,52.968826,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,75,7,-0.26144615,1006,0
75,3643,0,43,74,6,9,50.748096,1.0,0.0001,101.92,1,1.0,0.0,0.0,0.0,0.0,76,7,-0.20958768,1006,0
