time,HEAD,Q1,Q2
0.5087819625434E-04,7.922000000,-542.6090804,542.6090804
0.1119320317595E-03,7.922000000,-542.5893885,542.5893885
0.1851966343658E-03,7.922000000,-542.5657626,542.5657626
0.2731141574933E-03,7.922000000,-542.5374180,542.5374180
0.3786151852463E-03,7.922000000,-542.5034138,542.5034138
0.5052164185499E-03,7.922000000,-542.4626220,542.4626220
0.6571378985142E-03,7.922000000,-542.4136909,542.4136909
0.8394436744713E-03,7.922000000,-542.3550013,542.3550013
0.1058210605620E-02,7.922000000,-542.2846134,542.2846134
0.1320730922998E-02,7.922000000,-542.2002050,542.2002050
0.1635755303852E-02,7.922000000,-542.0989971,542.0989971
0.2013784560877E-02,7.922000000,-541.9776659,541.9776659
0.2467419669307E-02,7.922000000,-541.8322382,541.8322382
0.3011781799422E-02,7.922000000,-541.6579694,541.6579694
0.3665016355561E-02,7.922000000,-541.4491979,541.4491979
0.4448897822928E-02,7.922000000,-541.1991766,541.1991766
0.5389555583768E-02,7.922000000,-540.8998754,540.8998754
0.6518344896776E-02,7.922000000,-540.5417537,540.5417537
0.7872892072385E-02,7.922000000,-540.1134988,540.1134988
0.9498348683117E-02,7.922000000,-539.6017299,539.6017299
0.1144889661599E-01,7.922000000,-538.9906668,538.9906668
0.1378955413545E-01,7.922000000,-538.2617668,538.2617668
0.1659834315879E-01,7.922000000,-537.3933361,537.3933361
0.1996888998680E-01,7.922000000,-536.3601295,536.3601295
0.2401354618042E-01,7.922000000,-535.1329614,535.1329614
0.2886713361276E-01,7.922000000,-533.6783616,533.6783616
0.3469143853156E-01,7.922000000,-531.9583283,531.9583283
0.4168060443413E-01,7.922000000,-529.9302514,529.9302514
0.5006760351721E-01,7.922000000,-527.5471041,527.5471041
0.6013200241691E-01,7.922000000,-524.7580320,524.7580320
0.7220928109654E-01,7.922000000,-521.5094972,521.5094972
0.8670201551210E-01,7.922000000,-517.7471571,517.7471571
0.1040932968108,7.922000000,-513.4186638,513.4186638
0.1249628343692,7.922000000,-508.4775389,508.4775389
0.1500062794393,7.922000000,-502.8881900,502.8881900
0.1800584135234,7.922000000,-496.6319622,496.6319622
0.2161209744243,7.922000000,-489.7138464,489.7138464
0.2593960475054,7.922000000,-482.1690846,482.1690846
0.3113261352028,7.922000000,-474.0684849,474.0684849
0.3736422404396,7.922000000,-465.5208788,465.5208788
0.4484215667238,7.922000000,-456.6710306,456.6710306
0.5381567582648,7.922000000,-447.6916575,447.6916575
0.6458389881140,7.922000000,-438.7692378,438.7692378
0.7750576639330,7.922000000,-430.0849277,430.0849277
0.9301200749159,7.922000000,-421.7938001,421.7938001
1.116194968095,7.922000000,-414.0069952,414.0069952
1.339484839911,7.922000000,-406.7813888,406.7813888
1.607432686089,7.922000000,-400.1196094,400.1196094
1.928970101503,7.922000000,-393.9800917,393.9800917
2.314815000000,7.922000000,-388.2936667,388.2936667
