iteration,total_runs,obs_realization,par_realization,oname:hds_otype:lst_usecol:trgw-0-13-10,oname:hds_otype:lst_usecol:trgw-0-15-16,oname:hds_otype:lst_usecol:trgw-0-2-15,oname:hds_otype:lst_usecol:trgw-0-2-9,oname:hds_otype:lst_usecol:trgw-0-21-10,oname:hds_otype:lst_usecol:trgw-0-22-15,oname:hds_otype:lst_usecol:trgw-0-24-4,oname:hds_otype:lst_usecol:trgw-0-26-6,oname:hds_otype:lst_usecol:trgw-0-29-15,oname:hds_otype:lst_usecol:trgw-0-3-8,oname:hds_otype:lst_usecol:trgw-0-33-7,oname:hds_otype:lst_usecol:trgw-0-34-10,oname:hds_otype:lst_usecol:trgw-0-9-1,oname:sfr_otype:lst_usecol:gage-1,oname:sfr_otype:lst_usecol:headwater,oname:sfr_otype:lst_usecol:tailwater,freyberg6,inc,oname:inc_otype:lst_usecol:in-out,oname:inc_otype:lst_usecol:percent-discrepancy,oname:inc_otype:lst_usecol:rcha,oname:inc_otype:lst_usecol:sfr,oname:inc_otype:lst_usecol:sto-ss,oname:inc_otype:lst_usecol:sto-sy,oname:inc_otype:lst_usecol:total,oname:inc_otype:lst_usecol:wel,cum,oname:cum_otype:lst_usecol:in-out,oname:cum_otype:lst_usecol:percent-discrepancy,oname:cum_otype:lst_usecol:rcha,oname:cum_otype:lst_usecol:sfr,oname:cum_otype:lst_usecol:sto-ss,oname:cum_otype:lst_usecol:sto-sy,oname:cum_otype:lst_usecol:total,oname:cum_otype:lst_usecol:wel,oname:sfrtd_otype:lst_usecol:gage-1,oname:sfrtd_otype:lst_usecol:headwater,oname:sfrtd_otype:lst_usecol:tailwater,oname:hdstd_otype:lst_usecol:trgw-0-13-10,oname:hdstd_otype:lst_usecol:trgw-0-15-16,oname:hdstd_otype:lst_usecol:trgw-0-2-15,oname:hdstd_otype:lst_usecol:trgw-0-2-9,oname:hdstd_otype:lst_usecol:trgw-0-21-10,oname:hdstd_otype:lst_usecol:trgw-0-22-15,oname:hdstd_otype:lst_usecol:trgw-0-24-4,oname:hdstd_otype:lst_usecol:trgw-0-26-6,oname:hdstd_otype:lst_usecol:trgw-0-29-15,oname:hdstd_otype:lst_usecol:trgw-0-3-8,oname:hdstd_otype:lst_usecol:trgw-0-33-7,oname:hdstd_otype:lst_usecol:trgw-0-34-10,oname:hdstd_otype:lst_usecol:trgw-0-9-1,part
0,50,18,18,0,0,0,0,0,0,0,1.52191e+06,0,281465,0,0,0,4.76709e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38242e+06,0,0,0,0,0,0,0,0,0,6.13585e+07,0,1.05417e+07,0,0,0,0
0,50,19,19,0,0,0,0,0,0,0,2.82817e+06,0,2.75607e+06,0,0,0,7.34123e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05479e+06,0,0,0,0,0,0,0,0,0,1.53776e+06,0,1.9432e+06,0,0,0,0
0,50,20,20,0,0,0,0,0,0,0,2.12507e+06,0,1.94994e+06,0,0,0,4.06319e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00174e+07,0,0,0,0,0,0,0,0,0,1.79692e+07,0,2.32358e+06,0,0,0,0
0,50,21,21,0,0,0,0,0,0,0,2.15051e+06,0,2.09798e+06,0,0,0,4.44905e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46565e+06,0,0,0,0,0,0,0,0,0,1.29387e+07,0,1.17115e+07,0,0,0,0
0,50,22,22,0,0,0,0,0,0,0,2.80909e+06,0,3.47042e+06,0,0,0,4.99858e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76262e+06,0,0,0,0,0,0,0,0,0,5.8241e+06,0,1.03458e+06,0,0,0,0
0,50,23,23,0,0,0,0,0,0,0,1.39718e+06,0,913713,0,0,0,2.42815e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924707,0,0,0,0,0,0,0,0,0,2.79129e+06,0,1.10891e+06,0,0,0,0
0,50,24,24,0,0,0,0,0,0,0,4.04575e+06,0,2.91281e+06,0,0,0,1.54923e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65031e+06,0,0,0,0,0,0,0,0,0,5.03156e+06,0,4.33387e+06,0,0,0,0
0,50,25,25,0,0,0,0,0,0,0,960060,0,3.87881e+06,0,0,0,692751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573295,0,0,0,0,0,0,0,0,0,1.05814e+08,0,4.17048e+08,0,0,0,0
0,50,26,26,0,0,0,0,0,0,0,1.73706e+06,0,1.06531e+06,0,0,0,1.10797e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50152e+06,0,0,0,0,0,0,0,0,0,6.01077e+06,0,8.1118e+06,0,0,0,0
0,50,27,27,0,0,0,0,0,0,0,3.59307e+06,0,3.33642e+06,0,0,0,2.38845e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95137e+07,0,0,0,0,0,0,0,0,0,1.00402e+08,0,3.27676e+07,0,0,0,0
0,50,28,28,0,0,0,0,0,0,0,2.33918e+06,0,588752,0,0,0,9.09656e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70399e+06,0,0,0,0,0,0,0,0,0,3.73221e+06,0,4.01981e+06,0,0,0,0
0,50,29,29,0,0,0,0,0,0,0,2.51123e+06,0,1.2503e+06,0,0,0,7.11752e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30124e+06,0,0,0,0,0,0,0,0,0,7.79537e+06,0,7.7017e+06,0,0,0,0
0,50,30,30,0,0,0,0,0,0,0,2.81777e+06,0,2.54282e+06,0,0,0,1.02177e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46995e+06,0,0,0,0,0,0,0,0,0,1.19138e+07,0,3.42417e+06,0,0,0,0
0,50,31,31,0,0,0,0,0,0,0,1.12258e+07,0,530884,0,0,0,5.06305e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03349e+07,0,0,0,0,0,0,0,0,0,3.27802e+08,0,5.29138e+07,0,0,0,0
0,50,32,32,0,0,0,0,0,0,0,2.3501e+06,0,1.65129e+06,0,0,0,5.33653e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3435e+06,0,0,0,0,0,0,0,0,0,8.00039e+06,0,4.05845e+06,0,0,0,0
0,50,33,33,0,0,0,0,0,0,0,2.92617e+06,0,1.28448e+06,0,0,0,1.32448e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05037e+06,0,0,0,0,0,0,0,0,0,6.84132e+06,0,982718,0,0,0,0
0,50,34,34,0,0,0,0,0,0,0,1.54144e+06,0,49158.2,0,0,0,689220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677280,0,0,0,0,0,0,0,0,0,1.15957e+07,0,5.17655e+07,0,0,0,0
0,50,35,35,0,0,0,0,0,0,0,2.71129e+06,0,2.41784e+06,0,0,0,3.69516e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42499e+06,0,0,0,0,0,0,0,0,0,9.21869e+06,0,7.03544e+06,0,0,0,0
0,50,36,36,0,0,0,0,0,0,0,1.29768e+06,0,36563.5,0,0,0,6.76948e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64637e+07,0,0,0,0,0,0,0,0,0,2.80837e+07,0,3.68264e+06,0,0,0,0
0,50,37,37,0,0,0,0,0,0,0,1.27034e+06,0,1.05988e+06,0,0,0,2.08214e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5953e+06,0,0,0,0,0,0,0,0,0,5.85582e+06,0,1.22065e+07,0,0,0,0
0,50,38,38,0,0,0,0,0,0,0,3.73676e+06,0,4.04451e+06,0,0,0,8.54118e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32193e+06,0,0,0,0,0,0,0,0,0,1.97011e+07,0,1.63702e+06,0,0,0,0
0,50,39,39,0,0,0,0,0,0,0,877349,0,247995,0,0,0,7.12014e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45132e+06,0,0,0,0,0,0,0,0,0,1.29928e+07,0,4.04999e+06,0,0,0,0
0,50,40,40,0,0,0,0,0,0,0,1.84103e+06,0,46011.9,0,0,0,922940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63019e+06,0,0,0,0,0,0,0,0,0,2.09562e+07,0,2.44045e+07,0,0,0,0
0,50,41,41,0,0,0,0,0,0,0,3.79251e+06,0,3.87807e+06,0,0,0,1.13088e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54741e+06,0,0,0,0,0,0,0,0,0,9.32941e+06,0,4.17332e+06,0,0,0,0
0,50,42,42,0,0,0,0,0,0,0,3.35883e+07,0,1.39915e+07,0,0,0,2.57243e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737393,0,0,0,0,0,0,0,0,0,3.11359e+08,0,4.53468e+06,0,0,0,0
0,50,43,43,0,0,0,0,0,0,0,2.08355e+06,0,1.54634e+06,0,0,0,5.94425e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58163e+06,0,0,0,0,0,0,0,0,0,2.846e+07,0,4.628e+06,0,0,0,0
0,50,44,44,0,0,0,0,0,0,0,1.20595e+06,0,36441.1,0,0,0,4.51819e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9253e+07,0,0,0,0,0,0,0,0,0,7.41551e+06,0,5.13512e+06,0,0,0,0
0,50,45,45,0,0,0,0,0,0,0,2.52586e+06,0,3.26319e+06,0,0,0,4.35856e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728899,0,0,0,0,0,0,0,0,0,1.56026e+06,0,5.17717e+06,0,0,0,0
0,50,46,46,0,0,0,0,0,0,0,2.73673e+06,0,3.06885e+06,0,0,0,4.0796e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36669e+06,0,0,0,0,0,0,0,0,0,3.55421e+06,0,3.85829e+06,0,0,0,0
0,50,47,47,0,0,0,0,0,0,0,1.78059e+06,0,1.45425e+06,0,0,0,6.54565e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10729e+06,0,0,0,0,0,0,0,0,0,1.25527e+06,0,1.98263e+06,0,0,0,0
0,50,48,48,0,0,0,0,0,0,0,1.95481e+06,0,1.67821e+06,0,0,0,5.42119e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730107,0,0,0,0,0,0,0,0,0,1.10956e+07,0,2.34882e+06,0,0,0,0
0,50,base,base,0,0,0,0,0,0,0,1.58554e+06,0,1.58554e+06,0,0,0,1.58554e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58554e+06,0,0,0,0,0,0,0,0,0,1.58554e+06,0,1.58554e+06,0,0,0,0
