,cellid,q,boundname,layer,cell,laytop,laybot,laymidpt,rootname
0,"(0, 6230)",0.0,p1_ln__0,0,6230,104.77359009,69.46287537,87.11823273,p1_ln
1,"(0, 6229)",0.0,p2_ln__0,0,6229,104.72315216,69.48648834,87.10482024999999,p2_ln
2,"(0, 6236)",0.0,p3_ln__0,0,6236,104.67920685,69.459198,87.069202425,p3_ln
3,"(0, 6233)",0.0,p4_ln__0,0,6233,104.63341522,69.51740265,87.075408935,p4_ln
4,"(0, 6665)",0.0,p5_ln__0,0,6665,104.63870239,69.42118835,87.02994537000001,p5_ln
5,"(0, 7115)",0.0,p6_ln__0,0,7115,104.31946564,69.38813019,86.853797915,p6_ln
6,"(0, 7575)",0.0,p7_ln__0,0,7575,104.57498169,69.34114838,86.958065035,p7_ln
7,"(0, 7561)",0.0,p8_ln__0,0,7561,104.64643097,69.40110016,87.02376556499999,p8_ln
8,"(0, 7101)",0.0,p9_ln__0,0,7101,104.65125275,69.43352509,87.04238892000001,p9_ln
9,"(0, 7098)",0.0,p10_ln__0,0,7098,104.6543045,69.48300171,87.068653105,p10_ln
10,"(0, 7081)",0.0,p11_ln__0,0,7081,104.68740845,69.51322174,87.10031509500001,p11_ln
11,"(0, 11830)",0.0,r1_ln__0,0,11830,106.44245148,67.54310608,86.99277878000001,r1_ln
12,"(0, 11843)",0.0,r2_ln__0,0,11843,104.81584167,67.50757599,86.16170883000001,r2_ln
13,"(0, 12397)",0.0,r3_ln__0,0,12397,103.58574677,67.46085358,85.523300175,r3_ln
14,"(0, 12409)",0.0,r4_ln__0,0,12409,102.78664398,67.42708588,85.10686493,r4_ln
15,"(0, 12422)",0.0,r5_ln__0,0,12422,102.90380859,67.38273621,85.1432724,r5_ln
16,"(0, 12969)",0.0,r6_ln__0,0,12969,104.55529022,67.28401947,85.919654845,r6_ln
17,"(0, 12976)",0.0,r7_ln__0,0,12976,105.51892853,67.23162079,86.37527466,r7_ln
18,"(0, 12989)",0.0,r8_ln__0,0,12989,105.46818542,67.18165588,86.32492065,r8_ln
19,"(0, 13515)",0.0,r9_ln__0,0,13515,103.99253845,67.07696533,85.53475189,r9_ln
20,"(0, 13522)",0.0,r10_ln__0,0,13522,103.82524109,67.02360535,85.42442322,r10_ln
21,"(0, 6639)",0.0,p12_ln__0,0,6639,104.8481369,69.58693695,87.21753692499999,p12_ln
22,"(0, 14785)",0.0,s__0,0,14785,106.4753418,63.43370056,84.95452118,s
23,"(0, 15280)",0.0,p1_ex__0,0,15280,107.16414642,63.71901703,85.44158172499999,p1_ex
24,"(0, 15281)",0.0,p2_ex__0,0,15281,106.9144516,63.74479675,85.329624175,p2_ex
25,"(0, 15281)",0.0,p3_ex__0,0,15281,106.9144516,63.74479675,85.329624175,p3_ex
26,"(0, 15282)",0.0,p4_ex__0,0,15282,106.76887512,63.88500977,85.326942445,p4_ex
27,"(0, 16632)",0.0,r1_ex__0,0,16632,107.34294128,63.33143616,85.33718872,r1_ex
28,"(0, 16635)",0.0,r2_ex__0,0,16635,107.3197403,63.39949799,85.35961914500001,r2_ex
29,"(0, 16635)",0.0,r3_ex__0,0,16635,107.3197403,63.39949799,85.35961914500001,r3_ex
30,"(0, 16634)",0.0,r4_ex__0,0,16634,107.15679169,63.55331802,85.355054855,r4_ex
31,"(0, 16637)",0.0,r5_ex__0,0,16637,107.20357513,63.58148956,85.392532345,r5_ex
32,"(0, 15731)",0.0,p1_sky__0,0,15731,106.16899872,63.37712479,84.773061755,p1_sky
33,"(0, 15734)",0.0,p2_sky__0,0,15734,105.35591125,63.43870163,84.39730644,p2_sky
34,"(0, 15735)",0.0,p3_sky__0,0,15735,105.85125732,63.49369812,84.67247772,p3_sky
35,"(0, 15273)",0.0,p4_sky__0,0,15273,105.5443573,63.56428909,84.554323195,p4_sky
36,"(0, 16616)",0.0,r1_sky__0,0,16616,106.70581818,62.94184494,84.82383156,r1_sky
37,"(0, 17012)",0.0,r2_sky__0,0,17012,107.22766113,62.68336105,84.95551109,r2_sky
38,"(0, 17011)",0.0,r3_sky__0,0,17011,107.55532837,62.80521011,85.18026924,r3_sky
39,"(0, 17014)",0.0,r4_sky__0,0,17014,107.79597473,62.81738281,85.30667876999999,r4_sky
40,"(0, 11693)",0.0,pc2_ams__0,0,11693,108.07393646,66.34021759,87.20707702499999,pc2_ams
41,"(0, 12518)",0.0,prof_p2__0,0,12518,105.02639008,67.67515564,86.35077286,prof_p2
42,"(0, 12841)",0.0,pc3_ams__0,0,12841,107.99062347,66.15500641,87.07281494,pc3_ams
43,"(0, 14784)",0.0,p1_s1__0,0,14784,107.17964935,63.40849304,85.294071195,p1_s1
44,"(0, 14784)",0.0,p2_s1__0,0,14784,107.17964935,63.40849304,85.294071195,p2_s1
45,"(0, 15258)",0.0,p3_s1__0,0,15258,106.56459808,63.33836746,84.95148277,p3_s1
46,"(0, 15258)",0.0,p4_s1__0,0,15258,106.56459808,63.33836746,84.95148277,p4_s1
47,"(0, 16176)",0.0,r1_s1__0,0,16176,106.21948242,62.96896362,84.59422302,r1_s1
48,"(0, 16176)",0.0,r2_s1__0,0,16176,106.21948242,62.96896362,84.59422302,r2_s1
49,"(0, 16174)",0.0,r3_s1__0,0,16174,105.86575317,63.03728867,84.45152092000001,r3_s1
50,"(0, 16174)",0.0,r4_s1__0,0,16174,105.86575317,63.03728867,84.45152092000001,r4_s1
51,"(0, 3117)",-0.005,636__0,0,3117,110.0019989,65.35330963,87.677654265,636
52,"(0, 2749)",-0.005,637__0,0,2749,110.50395966,65.55992126,88.03194046,637
53,"(0, 2531)",-0.02,826__0,0,2531,107.81092072,70.85401917,89.332469945,826
54,"(0, 2038)",-0.0214,828__0,0,2038,107.7279892,71.63817596,89.68308257999999,828
