time,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019
0.3831380695111,0.6823042708E-04,0.9474210526E-02,-0.8904156557E-04,-0.8904156557E-04,0.9372796376,0.9979693980,0.9999342583,0.9999978716,0.9999999311,0.9999999978,0.9999999999,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.9999999999,0.9999999978,0.9999999311,0.9999978716,0.9999342583,0.9979693980,0.9372796376
0.7854330424977,0.1353229748E-03,0.1000000000E-01,-0.8338725595E-04,-0.8338725595E-04,0.8777605889,0.9939601541,0.9997338924,0.9999889933,0.9999995626,0.9999999831,0.9999999994,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.9999999994,0.9999999831,0.9999995626,0.9999889933,0.9997338924,0.9939601541,0.8777605889
1.207842764134,0.2012529453E-03,0.1000000000E-01,-0.7804030908E-04,-0.7804030908E-04,0.8214769377,0.9880406326,0.9993279152,0.9999659094,0.9999983835,0.9999999269,0.9999999968,0.9999999999,1.000000000,1.000000000,1.000000000,0.9999999999,0.9999999968,0.9999999269,0.9999983835,0.9999659094,0.9993279152,0.9880406326,0.8214769377
1.651372971851,0.2660098044E-03,0.1000000000E-01,-0.7300163317E-04,-0.7300163317E-04,0.7684382439,0.9802948180,0.9986443894,0.9999180269,0.9999954565,0.9999997635,0.9999999883,0.9999999994,1.000000000,1.000000000,1.000000000,0.9999999994,0.9999999883,0.9999997635,0.9999954565,0.9999180269,0.9986443894,0.9802948180,0.7684382439
2.117079689955,0.3295972415E-03,0.1000000000E-01,-0.6826983022E-04,-0.6826983022E-04,0.7186297918,0.9708212091,0.9976116788,0.9998313688,0.9999892461,0.9999993635,0.9999999644,0.9999999981,0.9999999999,1.000000000,0.9999999999,0.9999999981,0.9999999644,0.9999993635,0.9999892461,0.9998313688,0.9976116788,0.9708212091,0.7186297918
2.606071743964,0.3920329809E-03,0.1000000000E-01,-0.6384126172E-04,-0.6384126172E-04,0.6720132813,0.9597314064,0.9961597637,0.9996883997,0.9999774212,0.9999984957,0.9999999061,0.9999999944,0.9999999997,1.000000000,0.9999999997,0.9999999944,0.9999999061,0.9999984957,0.9999774212,0.9996883997,0.9961597637,0.9597314064,0.6720132813
3.119513400673,0.4533483436E-03,0.1000000000E-01,-0.5971015587E-04,-0.5971015587E-04,0.6285279565,0.9471484183,0.9942215880,0.9994679390,0.9999566359,0.9999967749,0.9999997767,0.9999999854,0.9999999991,0.9999999999,0.9999999991,0.9999999854,0.9999997767,0.9999967749,0.9999566359,0.9994679390,0.9942215880,0.9471484183,0.6285279565
3.658627140218,0.5135875696E-03,0.1000000000E-01,-0.5586875418E-04,-0.5586875418E-04,0.5880921493,0.9332047230,0.9917343974,0.9991451780,0.9999222943,0.9999935937,0.9999995108,0.9999999649,0.9999999976,0.9999999997,0.9999999976,0.9999999649,0.9999995108,0.9999935937,0.9999222943,0.9991451780,0.9917343974,0.9332047230,0.5880921493
4.224696566740,0.5728069159E-03,0.1000000000E-01,-0.5230749402E-04,-0.5230749402E-04,0.5506052002,0.9180401350,0.9886410276,0.9986918105,0.9998683065,0.9999880369,0.9999989980,0.9999999214,0.9999999941,0.9999999992,0.9999999941,0.9999999214,0.9999989980,0.9999880369,0.9998683065,0.9986918105,0.9886410276,0.9180401350,0.5506052002
4.819069464588,0.6310735553E-03,0.1000000000E-01,-0.4901522229E-04,-0.4901522229E-04,0.5159497083,0.9017995301,0.9848910987,0.9980762866,0.9997868442,0.9999787757,0.9999980589,0.9999998344,0.9999999866,0.9999999980,0.9999999866,0.9999998344,0.9999980589,0.9999787757,0.9997868442,0.9980762866,0.9848910987,0.9017995301,0.5159497083
5.443161007328,0.6884643076E-03,0.1000000000E-01,-0.4597943436E-04,-0.4597943436E-04,0.4839940459,0.8846304945,0.9804420755,0.9972641921,0.9996681080,0.9999639420,0.9999964133,0.9999996681,0.9999999709,0.9999999952,0.9999999709,0.9999996681,0.9999964133,0.9999639420,0.9996681080,0.9972641921,0.9804420755,0.8846304945,0.4839940459
6.098457127206,0.7450642402E-03,0.1000000000E-01,-0.4318653122E-04,-0.4318653122E-04,0.4545950655,0.8666809636,0.9752601523,0.9962187521,0.9995001193,0.9999409831,0.9999936379,0.9999993635,0.9999999398,0.9999999893,0.9999999398,0.9999993635,0.9999936379,0.9999409831,0.9995001193,0.9962187521,0.9752601523,0.8666809636,0.4545950655
6.786518053077,0.8009651824E-03,0.1000000000E-01,-0.4062208743E-04,-0.4062208743E-04,0.4276009203,0.8480969215,0.9693209309,0.9949014516,0.9992685486,0.9999064981,0.9999891111,0.9999988258,0.9999998803,0.9999999773,0.9999998803,0.9999988258,0.9999891111,0.9999064981,0.9992685486,0.9949014516,0.9693209309,0.8480969215,0.4276009203
7.508982025242,0.8562641957E-03,0.1000000000E-01,-0.3827112173E-04,-0.3827112173E-04,0.4028539129,0.8290202276,0.9626098631,0.9932727578,0.9989565960,0.9998560590,0.9999819439,0.9999979065,0.9999997707,0.9999999535,0.9999997707,0.9999979065,0.9999819439,0.9998560590,0.9989565960,0.9932727578,0.9626098631,0.8290202276,0.4028539129
8.267569196015,0.9110620487E-03,0.1000000000E-01,-0.3611836263E-04,-0.3611836263E-04,0.3801932909,0.8095866333,0.9551224406,0.9912929268,0.9985449362,0.9997840219,0.9999708949,0.9999963804,0.9999995748,0.9999999079,0.9999995748,0.9999963804,0.9999708949,0.9997840219,0.9985449362,0.9912929268,0.9551224406,0.8095866333,0.3801932909
9.064085725327,0.9654617401E-03,0.1000000000E-01,-0.3414850124E-04,-0.3414850124E-04,0.3594579078,0.7899240441,0.9468641248,0.9889228674,0.9980117405,0.9996833346,0.9999542685,0.9999939131,0.9999992346,0.9999998232,0.9999992346,0.9999939131,0.9999542685,0.9996833346,0.9980117405,0.9889228674,0.9468641248,0.7899240441,0.3594579078
